Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Jan Johnstone,Ben Lobb,James Rice,Justin L Smith,Jack Stecho,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35040,"Huron--Bruce/Huron--Bruce"," 119","Belgrave",21,99,32,1,10,1,164,315
35040,"Huron--Bruce/Huron--Bruce"," 120","Belgrave",18,100,35,1,16,2,172,294
35040,"Huron--Bruce/Huron--Bruce"," 121","Port Albert",36,91,38,1,14,2,182,387
35040,"Huron--Bruce/Huron--Bruce"," 122","Dungannon",26,113,36,5,22,1,203,395
35040,"Huron--Bruce/Huron--Bruce"," 123","Dungannon",24,115,28,3,10,1,181,360
35040,"Huron--Bruce/Huron--Bruce"," 124","Westfield",13,116,35,3,17,0,184,299
35040,"Huron--Bruce/Huron--Bruce"," 125","Summerhill",20,97,19,1,25,0,162,271
35040,"Huron--Bruce/Huron--Bruce"," 126","Morris",13,121,30,1,20,0,185,374
35040,"Huron--Bruce/Huron--Bruce"," 127","Huron East",10,135,21,2,25,0,193,371
35040,"Huron--Bruce/Huron--Bruce"," 128","Huron East",23,89,26,0,21,0,159,392
35040,"Huron--Bruce/Huron--Bruce"," 129","Huron East",18,92,34,4,14,3,165,299
35040,"Huron--Bruce/Huron--Bruce"," 130","Huron East",22,105,34,2,10,1,174,310
35040,"Huron--Bruce/Huron--Bruce"," 131","Huron East",17,114,35,1,31,0,198,367
35040,"Huron--Bruce/Huron--Bruce"," 132","Huron East",15,105,34,1,26,1,182,400
35040,"Huron--Bruce/Huron--Bruce"," 133A","Bogies Beach",16,62,39,1,10,0,128,397
35040,"Huron--Bruce/Huron--Bruce"," 133B","Bogies Beach",15,76,61,5,7,0,164,501
35040,"Huron--Bruce/Huron--Bruce"," 134","Goderich",16,46,19,0,12,0,93,272
35040,"Huron--Bruce/Huron--Bruce"," 135","Colborne",20,132,28,0,14,3,197,353
35040,"Huron--Bruce/Huron--Bruce"," 136","Saltford",38,66,32,0,4,0,140,366
35040,"Huron--Bruce/Huron--Bruce"," 137","Blyth",45,136,47,4,16,0,248,440
35040,"Huron--Bruce/Huron--Bruce"," 138","Blyth",26,133,50,5,34,2,250,440
35040,"Huron--Bruce/Huron--Bruce"," 139","Goderich",35,40,55,0,11,0,141,414
35040,"Huron--Bruce/Huron--Bruce"," 140","Goderich",24,43,19,0,7,2,95,375
35040,"Huron--Bruce/Huron--Bruce"," 141","Goderich",35,43,42,0,17,2,139,471
35040,"Huron--Bruce/Huron--Bruce"," 142","Goderich",34,48,52,1,11,1,147,454
35040,"Huron--Bruce/Huron--Bruce"," 143","Goderich",27,45,61,2,8,0,143,452
35040,"Huron--Bruce/Huron--Bruce"," 144","Goderich",48,59,44,1,14,0,166,499
35040,"Huron--Bruce/Huron--Bruce"," 145","Goderich",41,60,51,2,20,1,175,457
35040,"Huron--Bruce/Huron--Bruce"," 146","Goderich",41,75,38,4,9,0,167,455
35040,"Huron--Bruce/Huron--Bruce"," 147","Goderich",41,68,43,2,12,1,167,438
35040,"Huron--Bruce/Huron--Bruce"," 148","Goderich",41,57,37,7,5,0,147,421
35040,"Huron--Bruce/Huron--Bruce"," 149","Goderich",42,49,29,3,17,1,141,373
35040,"Huron--Bruce/Huron--Bruce"," 150","Goderich",39,45,35,1,12,2,134,392
35040,"Huron--Bruce/Huron--Bruce"," 151","Goderich",44,58,31,1,17,1,152,457
35040,"Huron--Bruce/Huron--Bruce"," 152","Goderich",40,75,58,0,16,1,190,561
35040,"Huron--Bruce/Huron--Bruce"," 153","Goderich",34,58,32,1,9,0,134,458
35040,"Huron--Bruce/Huron--Bruce"," 154","Goderich",34,90,30,2,24,0,180,486
35040,"Huron--Bruce/Huron--Bruce"," 155","Londesborough",16,134,37,1,24,2,214,344
35040,"Huron--Bruce/Huron--Bruce"," 156","Kinburn",12,110,18,0,13,0,153,289
35040,"Huron--Bruce/Huron--Bruce"," 157","Kinburn",16,71,12,1,12,1,113,294
35040,"Huron--Bruce/Huron--Bruce"," 158","Holmesville",25,91,27,3,13,0,159,347
35040,"Huron--Bruce/Huron--Bruce"," 159","Central Huron",23,67,49,1,10,0,150,339
35040,"Huron--Bruce/Huron--Bruce"," 160","Holmesville",21,107,27,1,10,2,168,355
35040,"Huron--Bruce/Huron--Bruce"," 161","Holmesville",23,111,27,0,11,0,172,340
35040,"Huron--Bruce/Huron--Bruce"," 162","Clinton ",20,66,31,0,14,2,133,353
35040,"Huron--Bruce/Huron--Bruce"," 163","Clinton ",19,72,23,0,10,0,124,356
