Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Stephanie Bell,Erica Charlton,Neil Ellis,Janine LeClerc,Ryan Williams,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35006,"Bay of Quinte/Baie de Quinte"," 143","Prince Edward County",47,3,58,8,20,3,139,444
35006,"Bay of Quinte/Baie de Quinte"," 144","Prince Edward County",33,8,108,9,71,1,230,589
35006,"Bay of Quinte/Baie de Quinte"," 145","Prince Edward County",37,9,47,11,50,0,154,372
35006,"Bay of Quinte/Baie de Quinte"," 146","Prince Edward County",35,4,59,2,65,0,165,442
35006,"Bay of Quinte/Baie de Quinte"," 147","Prince Edward County",43,5,55,7,34,2,146,448
35006,"Bay of Quinte/Baie de Quinte"," 148","Prince Edward County",37,8,26,9,41,0,121,460
35006,"Bay of Quinte/Baie de Quinte"," 149A","Quinte West",30,4,58,11,93,0,196,470
35006,"Bay of Quinte/Baie de Quinte"," 149B","Quinte West",38,1,48,7,96,4,194,419
35006,"Bay of Quinte/Baie de Quinte"," 150","Quinte West",43,7,79,13,160,0,302,746
35006,"Bay of Quinte/Baie de Quinte"," 151","Quinte West",30,8,65,9,93,1,206,450
35006,"Bay of Quinte/Baie de Quinte"," 152","Quinte West",24,7,59,24,89,0,203,439
35006,"Bay of Quinte/Baie de Quinte"," 153","Quinte West",29,5,100,15,93,1,243,487
35006,"Bay of Quinte/Baie de Quinte"," 154","Quinte West",40,4,87,14,111,0,256,611
35006,"Bay of Quinte/Baie de Quinte"," 155","Prince Edward County",26,5,55,18,78,0,182,437
35006,"Bay of Quinte/Baie de Quinte"," 156","Prince Edward County",16,2,31,7,51,1,108,316
35006,"Bay of Quinte/Baie de Quinte"," 157","Prince Edward County",27,5,56,12,74,0,174,519
35006,"Bay of Quinte/Baie de Quinte"," 158","Prince Edward County",49,4,72,12,96,0,233,511
35006,"Bay of Quinte/Baie de Quinte"," 159","Quinte West",52,3,49,9,43,2,158,559
35006,"Bay of Quinte/Baie de Quinte"," 160","Quinte West",39,4,46,18,71,3,181,539
35006,"Bay of Quinte/Baie de Quinte"," 161","Quinte West",29,7,71,20,86,0,213,612
35006,"Bay of Quinte/Baie de Quinte"," 162","Quinte West",32,1,73,4,85,0,195,443
35006,"Bay of Quinte/Baie de Quinte"," 163","Quinte West",21,4,48,2,39,0,114,355
35006,"Bay of Quinte/Baie de Quinte"," 164","Quinte West",39,2,94,12,95,0,242,614
35006,"Bay of Quinte/Baie de Quinte"," 165","Quinte West",28,2,51,6,79,0,166,427
35006,"Bay of Quinte/Baie de Quinte"," 166","Prince Edward County",51,11,101,12,61,0,236,734
35006,"Bay of Quinte/Baie de Quinte"," 167","Prince Edward County",38,5,71,5,32,2,153,518
35006,"Bay of Quinte/Baie de Quinte"," 168","Prince Edward County",25,6,53,5,33,1,123,480
35006,"Bay of Quinte/Baie de Quinte"," 169","Prince Edward County",34,5,71,10,52,0,172,447
35006,"Bay of Quinte/Baie de Quinte"," 170","Prince Edward County",29,1,51,4,56,0,141,462
35006,"Bay of Quinte/Baie de Quinte"," 171","Quinte West",40,7,92,15,146,3,303,764
35006,"Bay of Quinte/Baie de Quinte"," 172","Quinte West",18,1,48,3,43,0,113,336
35006,"Bay of Quinte/Baie de Quinte"," 173","Quinte West",32,7,55,15,100,0,209,526
35006,"Bay of Quinte/Baie de Quinte"," 174","Quinte West",34,5,49,15,103,0,206,508
35006,"Bay of Quinte/Baie de Quinte"," 175","Quinte West",31,5,45,16,84,1,182,454
35006,"Bay of Quinte/Baie de Quinte"," 176","Prince Edward County",44,10,87,11,93,0,245,499
35006,"Bay of Quinte/Baie de Quinte"," 177","Prince Edward County",62,17,107,14,85,0,285,582
35006,"Bay of Quinte/Baie de Quinte"," 178","Prince Edward County",21,2,86,14,116,1,240,560
35006,"Bay of Quinte/Baie de Quinte"," 179","Prince Edward County",39,9,113,10,134,0,305,628
35006,"Bay of Quinte/Baie de Quinte"," 180","Quinte West",49,12,83,29,171,0,344,750
35006,"Bay of Quinte/Baie de Quinte"," 181","Prince Edward County",31,3,63,9,111,0,217,519
35006,"Bay of Quinte/Baie de Quinte"," 182","Prince Edward County",26,7,87,10,101,3,234,476
35006,"Bay of Quinte/Baie de Quinte"," 183","Prince Edward County",24,6,65,5,60,1,161,405
35006,"Bay of Quinte/Baie de Quinte"," 184","Prince Edward County",33,5,111,5,62,0,216,559
35006,"Bay of Quinte/Baie de Quinte"," 185","Prince Edward County",29,4,88,9,91,0,221,494
35006,"Bay of Quinte/Baie de Quinte"," 186","Prince Edward County",51,6,100,5,112,0,274,517
35006,"Bay of Quinte/Baie de Quinte"," 187","Prince Edward County",49,2,89,4,99,1,244,488
35006,"Bay of Quinte/Baie de Quinte"," 188","Prince Edward County",28,3,79,15,104,1,230,448
35006,"Bay of Quinte/Baie de Quinte"," 189","Prince Edward County",29,4,86,0,69,2,190,395
35006,"Bay of Quinte/Baie de Quinte"," 190","Prince Edward County",31,3,59,2,61,0,156,433
35006,"Bay of Quinte/Baie de Quinte"," 191","Prince Edward County",28,1,87,6,61,0,183,451
35006,"Bay of Quinte/Baie de Quinte"," 192","Prince Edward County",47,8,92,11,56,0,214,415
35006,"Bay of Quinte/Baie de Quinte"," 193","Prince Edward County",48,6,106,7,94,0,261,498
35006,"Bay of Quinte/Baie de Quinte"," 194","Prince Edward County",7,3,35,0,27,0,72,371
35006,"Bay of Quinte/Baie de Quinte"," 195","Prince Edward County",10,0,34,0,33,2,79,533
35006,"Bay of Quinte/Baie de Quinte"," 196","Prince Edward County",28,8,89,6,46,0,177,421
35006,"Bay of Quinte/Baie de Quinte"," 500","Belleville",Merged with No./Fusionné avec le n°54,,,,,,,88
35006,"Bay of Quinte/Baie de Quinte"," 501","Belleville",Merged with No./Fusionné avec le n°40,,,,,,,60
35006,"Bay of Quinte/Baie de Quinte"," 502","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°45,,,,,,,46
35006,"Bay of Quinte/Baie de Quinte"," 503","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°45,,,,,,,174
35006,"Bay of Quinte/Baie de Quinte"," 504","Mobile poll/Bureau itinérant",Void/Supprimé,,,,,,,
35006,"Bay of Quinte/Baie de Quinte"," 505","Belleville",Merged with No./Fusionné avec le n°60,,,,,,,4
35006,"Bay of Quinte/Baie de Quinte"," 506","Belleville",Merged with No./Fusionné avec le n°62,,,,,,,124
35006,"Bay of Quinte/Baie de Quinte"," 507","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°65,,,,,,,41
35006,"Bay of Quinte/Baie de Quinte"," 508","Belleville",Merged with No./Fusionné avec le n°65,,,,,,,47
35006,"Bay of Quinte/Baie de Quinte"," 509","Belleville",Merged with No./Fusionné avec le n°65,,,,,,,39
35006,"Bay of Quinte/Baie de Quinte"," 510","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°81,,,,,,,23
35006,"Bay of Quinte/Baie de Quinte"," 511","Belleville",Merged with No./Fusionné avec le n°77,,,,,,,75
35006,"Bay of Quinte/Baie de Quinte"," 512","Belleville",Merged with No./Fusionné avec le n°83,,,,,,,82
35006,"Bay of Quinte/Baie de Quinte"," 513","Belleville",Merged with No./Fusionné avec le n°83,,,,,,,83
35006,"Bay of Quinte/Baie de Quinte"," 514","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°73,,,,,,,71
35006,"Bay of Quinte/Baie de Quinte"," 515","Belleville",Merged with No./Fusionné avec le n°91,,,,,,,102
35006,"Bay of Quinte/Baie de Quinte"," 516","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°90,,,,,,,50
35006,"Bay of Quinte/Baie de Quinte"," 517","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°91,,,,,,,32
35006,"Bay of Quinte/Baie de Quinte"," 518","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°91,,,,,,,171
35006,"Bay of Quinte/Baie de Quinte"," 519","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°89,,,,,,,46
35006,"Bay of Quinte/Baie de Quinte"," 520","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°113,,,,,,,15
35006,"Bay of Quinte/Baie de Quinte"," 521","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°135,,,,,,,120
35006,"Bay of Quinte/Baie de Quinte"," 522","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°135,,,,,,,58
35006,"Bay of Quinte/Baie de Quinte"," 523","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°152,,,,,,,92
35006,"Bay of Quinte/Baie de Quinte"," 524","Quinte West",Merged with No./Fusionné avec le n°152,,,,,,,88
35006,"Bay of Quinte/Baie de Quinte"," 525","Quinte West",Merged with No./Fusionné avec le n°161,,,,,,,90
35006,"Bay of Quinte/Baie de Quinte"," 526","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°141,,,,,,,54
35006,"Bay of Quinte/Baie de Quinte"," 527","Prince Edward County",Merged with No./Fusionné avec le n°166,,,,,,,52
35006,"Bay of Quinte/Baie de Quinte"," 528","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°167,,,,,,,22
35006,"Bay of Quinte/Baie de Quinte"," 529","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°169,,,,,,,37
35006,"Bay of Quinte/Baie de Quinte"," 530","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°169,,,,,,,40
35006,"Bay of Quinte/Baie de Quinte"," 531","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°191,,,,,,,17
35006,"Bay of Quinte/Baie de Quinte"," 532","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°81,,,,,,,13
35006,"Bay of Quinte/Baie de Quinte"," 600","Quinte West",108,23,418,91,819,0,1459,
35006,"Bay of Quinte/Baie de Quinte"," 601","Quinte West",170,31,454,121,865,9,1650,
35006,"Bay of Quinte/Baie de Quinte"," 602","Quinte West",150,27,460,78,722,3,1440,
35006,"Bay of Quinte/Baie de Quinte"," 603","Quinte West",167,16,319,59,399,4,964,
35006,"Bay of Quinte/Baie de Quinte"," 604","Quinte West",155,21,357,69,557,10,1169,
35006,"Bay of Quinte/Baie de Quinte"," 605","Quinte West",152,24,436,59,646,11,1328,
35006,"Bay of Quinte/Baie de Quinte"," 606","Belleville",145,12,663,52,620,9,1501,
35006,"Bay of Quinte/Baie de Quinte"," 607","Belleville",127,22,715,43,704,12,1623,
35006,"Bay of Quinte/Baie de Quinte"," 608","Belleville",122,17,333,63,335,1,871,
35006,"Bay of Quinte/Baie de Quinte"," 609","Belleville",147,22,501,62,406,6,1144,
35006,"Bay of Quinte/Baie de Quinte"," 610","Belleville",158,23,616,34,407,8,1246,
35006,"Bay of Quinte/Baie de Quinte"," 611","Belleville",111,18,523,56,452,2,1162,
35006,"Bay of Quinte/Baie de Quinte"," 612","Prince Edward County",120,29,522,35,672,4,1382,
35006,"Bay of Quinte/Baie de Quinte"," 613","Prince Edward County",210,27,675,36,443,11,1402,
35006,"Bay of Quinte/Baie de Quinte"," 614","Prince Edward County",129,16,448,20,336,5,954,
35006,"Bay of Quinte/Baie de Quinte"," 615","Prince Edward County",94,6,257,26,237,0,620,
35006,"Bay of Quinte/Baie de Quinte"," 616","Prince Edward County",125,30,664,25,520,11,1375,
35006,"Bay of Quinte/Baie de Quinte",,Group 1/Groupe 1, 189,32,294,31,440,29,1015,227
35006,"Bay of Quinte/Baie de Quinte",,Group 2/Groupe 2, 465,74,1915,158,2136,94,4842,
