Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Doug Bebb,Terry Grimwood,Gordon Jeffrey,Avi Lewis,Chris MacGregor,Mike Simpson,Patrick Weiler,John Weston,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59042,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 129","Gibsons",8,0,1,73,0,6,36,17,0,141,383
59042,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 130","Gibsons",4,0,1,52,0,6,30,20,1,114,428
59042,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 131","Gibsons",9,0,0,54,0,4,32,27,0,126,392
59042,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 132","Gibsons",3,0,0,53,0,12,40,38,1,147,358
59042,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 133","Gibsons",8,0,0,47,0,9,22,33,0,119,430
59042,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 134","Gibsons",Merged with No./Fusionné avec le n°136,,,,,,,,,,315
59042,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 135","Gibsons",13,0,0,45,0,10,44,49,1,162,386
59042,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 136","Gibsons",5,0,0,88,1,23,81,51,0,249,343
59042,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 137","Elphinstone",Merged with No./Fusionné avec le n°139,,,,,,,,,,296
59042,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 138","Elphinstone",6,0,0,75,0,7,56,22,0,166,382
59042,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 139","Elphinstone",14,0,0,108,0,19,70,49,4,264,340
59042,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 140","Lions Bay",7,0,0,40,0,30,99,57,1,234,395
59042,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 141","Lions Bay",4,0,0,45,0,16,65,79,1,210,435
59042,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 142","Lions Bay",4,0,0,26,0,27,50,49,0,156,336
59042,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 143","West Vancouver",3,0,0,24,0,13,64,41,0,145,359
59042,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 144","West Vancouver",4,1,0,15,1,15,69,46,0,151,481
59042,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 145","West Vancouver",1,0,0,20,0,8,52,67,0,148,446
59042,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 146","West Vancouver",2,0,1,46,0,18,60,45,0,172,494
59042,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 147","West Vancouver",5,0,0,27,0,15,45,79,1,172,448
59042,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 148","West Vancouver",7,0,0,18,0,11,83,79,0,198,524
59042,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country"," 149","West Vancouver",1,0,0,30,0,11,47,53,0,142,431
