Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Corneliu Chisu,Eileen Higdon,Jacob Mantle,Jennifer O'Connell,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35085,"Pickering--Uxbridge/Pickering--Uxbridge"," 606","Pickering",25,75,337,472,1,910,
35085,"Pickering--Uxbridge/Pickering--Uxbridge"," 607","Pickering",33,88,437,532,3,1093,
35085,"Pickering--Uxbridge/Pickering--Uxbridge"," 608","Pickering",53,142,439,593,3,1230,
35085,"Pickering--Uxbridge/Pickering--Uxbridge"," 609","Pickering",34,91,234,604,7,970,
35085,"Pickering--Uxbridge/Pickering--Uxbridge"," 610","Pickering",34,139,339,693,5,1210,
35085,"Pickering--Uxbridge/Pickering--Uxbridge"," 611","Pickering",31,87,182,397,4,701,
35085,"Pickering--Uxbridge/Pickering--Uxbridge"," 612","Pickering",45,97,323,337,2,804,
35085,"Pickering--Uxbridge/Pickering--Uxbridge"," 613","Pickering",30,104,434,500,3,1071,
35085,"Pickering--Uxbridge/Pickering--Uxbridge"," 614","Pickering",30,104,355,591,1,1081,
35085,"Pickering--Uxbridge/Pickering--Uxbridge"," 615","Pickering",43,145,474,716,3,1381,
35085,"Pickering--Uxbridge/Pickering--Uxbridge"," 616","Pickering",64,130,557,740,8,1499,
35085,"Pickering--Uxbridge/Pickering--Uxbridge"," 617","Pickering",44,90,535,565,2,1236,
35085,"Pickering--Uxbridge/Pickering--Uxbridge"," 618","Pickering",39,96,278,340,5,758,
35085,"Pickering--Uxbridge/Pickering--Uxbridge"," 619","Pickering",41,108,318,427,0,894,
35085,"Pickering--Uxbridge/Pickering--Uxbridge",,Group 1/Groupe 1, 12,105,126,188,17,448,189
35085,"Pickering--Uxbridge/Pickering--Uxbridge",,Group 2/Groupe 2, 77,409,1185,1764,53,3488,
