Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Peter Michael DeVita,Mario Greco,Muhammad Hassan Khan,Luca Mele,Angela Panacci,Francesco Sorbara,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35111,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 95","Vaughan",10,4,2,1,80,51,0,148,385
35111,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 96","Vaughan",9,10,5,0,66,54,0,144,406
35111,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 97","Vaughan",6,2,0,0,81,62,3,154,390
35111,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 98","Vaughan",9,3,0,0,100,62,0,174,508
35111,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 99","Vaughan",10,2,0,0,66,56,0,134,387
35111,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 100","Vaughan",19,11,1,1,85,62,1,180,455
35111,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 101","Vaughan",22,15,2,1,81,108,0,229,489
35111,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 102","Vaughan",9,5,2,0,31,68,2,117,384
35111,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 103","Vaughan",4,15,1,2,55,83,2,162,373
35111,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 104","Vaughan",19,11,2,2,100,110,1,245,498
35111,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 105","Vaughan",8,6,3,1,49,65,0,132,361
35111,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 106","Vaughan",6,4,1,0,23,31,1,66,272
35111,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 107","Vaughan",7,9,1,2,50,85,2,156,433
35111,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 108","Vaughan",6,19,0,1,57,67,0,150,412
35111,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 109","Vaughan",11,4,2,0,61,82,1,161,459
35111,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 110","Vaughan",8,5,4,1,108,62,4,192,476
35111,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 111","Vaughan",13,8,6,2,77,80,1,187,564
35111,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 112","Vaughan",8,5,0,0,61,58,0,132,396
35111,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 113","Vaughan",7,3,1,0,69,49,4,133,370
35111,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 114","Vaughan",10,4,2,1,64,62,1,144,433
35111,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 115","Vaughan",8,6,3,0,40,80,0,137,422
35111,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 116","Vaughan",12,18,0,2,64,82,0,178,485
35111,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 117","Vaughan",9,8,2,0,60,66,0,145,456
35111,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 118","Vaughan",19,8,4,1,47,81,2,162,407
35111,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 119","Vaughan",8,10,1,0,36,59,1,115,367
35111,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 120","Vaughan",2,8,3,0,40,66,1,120,382
35111,"Vaughan--Woodbridge/Vaughan--Woodbridge"," 121","Vaughan",13,7,2,1,40,77,0,140,369
