Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Omar Alghabra,Elie Diab,Craig Laferriere,Teneshia Samuel,Kathy-Ying Zhao,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35058,"Mississauga Centre/Mississauga-Centre"," 80A","Mississauga",71,11,0,19,44,1,146,346
35058,"Mississauga Centre/Mississauga-Centre"," 80B","Mississauga",64,8,3,22,28,0,125,285
35058,"Mississauga Centre/Mississauga-Centre"," 81","Mississauga",110,5,4,21,62,1,203,533
35058,"Mississauga Centre/Mississauga-Centre"," 82","Mississauga",96,6,2,24,57,1,186,485
35058,"Mississauga Centre/Mississauga-Centre"," 83","Mississauga",71,10,1,21,30,1,134,377
35058,"Mississauga Centre/Mississauga-Centre"," 84","Mississauga",52,9,0,12,38,2,113,424
35058,"Mississauga Centre/Mississauga-Centre"," 85","Mississauga",55,6,5,13,35,2,116,447
35058,"Mississauga Centre/Mississauga-Centre"," 86","Mississauga",65,6,0,8,33,3,115,337
35058,"Mississauga Centre/Mississauga-Centre"," 87","Mississauga",23,3,2,11,31,1,71,330
35058,"Mississauga Centre/Mississauga-Centre"," 88","Mississauga",57,7,4,15,33,0,116,446
35058,"Mississauga Centre/Mississauga-Centre"," 89","Mississauga",74,11,0,16,62,1,164,296
35058,"Mississauga Centre/Mississauga-Centre"," 90","Mississauga",88,7,2,16,32,1,146,411
35058,"Mississauga Centre/Mississauga-Centre"," 91","Mississauga",88,7,5,25,37,2,164,420
35058,"Mississauga Centre/Mississauga-Centre"," 92","Mississauga",96,3,0,23,60,0,182,371
35058,"Mississauga Centre/Mississauga-Centre"," 93","Mississauga",65,7,4,10,53,0,139,321
35058,"Mississauga Centre/Mississauga-Centre"," 94","Mississauga",79,8,4,14,54,0,159,425
35058,"Mississauga Centre/Mississauga-Centre"," 95","Mississauga",64,5,3,21,68,0,161,356
35058,"Mississauga Centre/Mississauga-Centre"," 96","Mississauga",58,3,2,7,38,0,108,333
35058,"Mississauga Centre/Mississauga-Centre"," 97","Mississauga",225,10,7,23,40,8,313,703
35058,"Mississauga Centre/Mississauga-Centre"," 98","Mississauga",75,3,0,11,38,1,128,316
35058,"Mississauga Centre/Mississauga-Centre"," 99","Mississauga",62,16,1,30,52,1,162,322
35058,"Mississauga Centre/Mississauga-Centre"," 100","Mississauga",131,12,6,28,48,3,228,489
35058,"Mississauga Centre/Mississauga-Centre"," 101","Mississauga",114,20,8,56,79,5,282,605
35058,"Mississauga Centre/Mississauga-Centre"," 102","Mississauga",96,5,10,28,66,3,208,492
35058,"Mississauga Centre/Mississauga-Centre"," 103","Mississauga",74,6,3,27,59,1,170,418
35058,"Mississauga Centre/Mississauga-Centre"," 104","Mississauga",51,0,2,5,28,2,88,479
35058,"Mississauga Centre/Mississauga-Centre"," 105","Mississauga",55,4,0,10,20,2,91,397
35058,"Mississauga Centre/Mississauga-Centre"," 106","Mississauga",37,7,0,19,31,1,95,445
35058,"Mississauga Centre/Mississauga-Centre"," 107","Mississauga",56,3,1,7,23,1,91,322
35058,"Mississauga Centre/Mississauga-Centre"," 108","Mississauga",32,2,1,15,26,1,77,438
35058,"Mississauga Centre/Mississauga-Centre"," 109","Mississauga",57,3,2,16,35,0,113,473
35058,"Mississauga Centre/Mississauga-Centre"," 110","Mississauga",Merged with No./Fusionné avec le n°111,,,,,,,289
35058,"Mississauga Centre/Mississauga-Centre"," 111","Mississauga",49,4,3,5,51,0,112,299
35058,"Mississauga Centre/Mississauga-Centre"," 112","Mississauga",54,4,1,14,29,0,102,357
35058,"Mississauga Centre/Mississauga-Centre"," 113","Mississauga",30,2,1,10,43,0,86,356
35058,"Mississauga Centre/Mississauga-Centre"," 114","Mississauga",80,10,2,15,42,3,152,394
