Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Nataël Bureau,Marjolaine Delisle,Alexandre Desmarais,Nadine Fougeron,Alain Rayes,Louis Richard,Diego Scalzo,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 221","Saint-Denis-de-Brompton",22,1,36,11,42,2,65,8,187,376
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 222","Saint-Denis-de-Brompton",11,1,32,12,44,2,42,3,147,401
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 223","Saint-Denis-de-Brompton",12,0,50,6,29,1,64,2,164,406
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 224","Saint-Denis-de-Brompton",12,1,47,6,40,2,62,2,172,438
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 225","Saint-Denis-de-Brompton",16,3,31,7,51,0,59,0,167,388
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 226","Saint-Denis-de-Brompton",14,3,45,8,29,2,47,3,151,410
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 400","Victoriaville",1,1,53,1,90,3,21,4,174,226
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 401","Victoriaville",0,0,32,1,115,3,17,11,179,145
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 402","Victoriaville",1,1,28,1,54,3,9,5,102,121
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 403","Asbestos",1,3,56,2,36,1,13,3,115,164
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 500","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°38A,,,,,,,,,119
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 501","Mobile poll/Bureau itinérant",0,0,24,0,51,2,23,6,106,42
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 502","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°501,,,,,,,,,31
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 503","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°501,,,,,,,,,62
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 504","Mobile poll/Bureau itinérant",2,2,8,1,25,0,4,0,42,28
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 505","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°504,,,,,,,,,61
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 506","Mobile poll/Bureau itinérant",3,1,9,0,28,2,5,2,50,88
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 507","Mobile poll/Bureau itinérant",0,0,10,0,17,0,3,1,31,50
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 508","Mobile poll/Bureau itinérant",1,0,7,2,11,0,2,3,26,33
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 509","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°74,,,,,,,,,27
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 510","Mobile poll/Bureau itinérant",0,0,2,0,4,0,1,2,9,25
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 511","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°129,,,,,,,,,62
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 512","Mobile poll/Bureau itinérant",0,0,20,1,15,2,4,0,42,109
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 513","Mobile poll/Bureau itinérant",0,0,7,0,6,0,6,0,19,13
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 514","Mobile poll/Bureau itinérant",0,1,6,0,8,0,2,3,20,32
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 515","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°153,,,,,,,,,11
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 516","Mobile poll/Bureau itinérant",1,1,12,0,13,0,0,0,27,49
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 517","Mobile poll/Bureau itinérant",3,0,6,0,6,0,2,1,18,46
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 518","Mobile poll/Bureau itinérant",0,0,34,1,30,2,15,3,85,167
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 519","Mobile poll/Bureau itinérant",3,0,36,1,99,1,19,8,167,85
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 520","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°519,,,,,,,,,78
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 521","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°519,,,,,,,,,85
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 522","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°523,,,,,,,,,52
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 523","Mobile poll/Bureau itinérant",0,0,25,0,51,0,16,8,100,34
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 524","Mobile poll/Bureau itinérant",0,0,22,0,23,0,1,1,47,38
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 525","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°524,,,,,,,,,37
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 526","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°524,,,,,,,,,18
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 527","Mobile poll/Bureau itinérant",0,0,19,0,30,3,12,9,73,112
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 528","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°34,,,,,,,,,86
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 529","Mobile poll/Bureau itinérant",3,0,55,1,16,3,1,1,80,170
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 600","Daveluyville",5,3,29,5,203,5,71,5,326,
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 601","Daveluyville",10,3,40,6,194,10,75,6,344,
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 602","Victoriaville",18,4,130,22,641,14,253,17,1099,
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 603","Victoriaville",22,1,108,21,551,7,176,8,894,
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 604","Victoriaville",29,6,82,20,436,9,230,3,815,
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 605","Victoriaville",22,0,79,6,453,6,177,10,753,
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 606","Victoriaville",30,6,172,19,572,21,319,19,1158,
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 607","Victoriaville",16,4,157,12,433,13,206,16,857,
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 608","Victoriaville",17,4,101,12,397,12,182,7,732,
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 609","Victoriaville",22,1,83,16,334,15,134,11,616,
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 610","Victoriaville",19,3,116,7,379,5,162,12,703,
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 611","Victoriaville",19,2,65,11,526,17,208,10,858,
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 612","Victoriaville",17,2,91,22,493,7,229,11,872,
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 613","Saint-Albert",9,2,28,9,190,10,50,7,305,
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 614","Sainte-Clotilde-de-Horton",7,1,37,10,112,8,76,8,259,
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 615","Warwick",22,5,100,15,337,16,253,7,755,
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 616","Kingsey Falls",25,3,102,12,269,6,192,4,613,
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 617","Ham-Nord",11,3,60,6,126,11,97,0,314,
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 618","Asbestos",7,2,42,10,126,7,106,7,307,
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 619","Asbestos",11,3,124,36,368,17,247,17,823,
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 620","Asbestos",27,4,167,22,450,12,239,34,955,
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 621","Danville",14,0,78,12,168,12,97,7,388,
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 622","Richmond",33,5,192,20,266,10,98,8,632,
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 623","Richmond",38,6,178,21,222,10,180,9,664,
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 624","Windsor",27,10,141,18,287,6,181,12,682,
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 625","Windsor",23,7,121,9,241,11,185,10,607,
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 626","Saint-François-Xavier-de-Brompton",15,2,96,21,249,7,166,9,565,
24061,"Richmond--Arthabaska/Richmond--Arthabaska"," 627","Saint-Denis-de-Brompton",50,3,253,22,282,11,391,17,1029,
24061,"Richmond--Arthabaska/Richmond--Arthabaska",,Group 1/Groupe 1, 32,1,39,4,63,1,55,11,206,63
24061,"Richmond--Arthabaska/Richmond--Arthabaska",,Group 2/Groupe 2, 44,13,346,39,1350,28,530,57,2407,
