Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Ghada Chaabi,Manon Chevalier,Steven Duarte,Luc Joli-Coeur,Mélanie Joly,Anna Simonyan,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 602","Montréal",85,13,63,15,500,447,27,1150,
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 603","Montréal",137,22,76,24,614,447,11,1331,
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 604","Montréal",118,15,40,26,350,361,5,915,
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 605","Montréal",86,9,45,26,335,292,11,804,
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 606","Montréal",131,14,37,19,298,313,12,824,
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 607","Montréal",63,15,47,16,400,69,11,621,
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 608","Montréal",22,8,49,3,203,25,4,314,
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 609","Montréal",40,11,42,18,296,176,4,587,
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 610","Montréal",52,16,67,13,371,268,6,793,
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 611","Montréal",52,20,84,14,391,122,2,685,
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 612","Montréal",43,29,97,19,526,122,9,845,
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 613","Montréal",59,37,143,23,603,91,22,978,
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 614","Montréal",55,30,81,22,443,174,13,818,
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 615","Montréal",51,22,75,19,594,57,21,839,
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville"," 616","Montréal",36,18,109,9,400,88,7,667,
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville",,Group 1/Groupe 1, 61,8,28,8,166,97,31,399,155
24003,"Ahuntsic-Cartierville/Ahuntsic-Cartierville",,Group 2/Groupe 2, 128,21,119,48,781,458,206,1761,
