Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Juan Estevez Moreno,Sabrina Grover,Greg McLean,Austin Mullins,Dawid Pawlowski,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48004,"Calgary Centre/Calgary-Centre"," 521","Mobile poll/Bureau itinérant",3,7,16,1,0,0,27,45
48004,"Calgary Centre/Calgary-Centre"," 522","Mobile poll/Bureau itinérant",1,5,19,0,0,0,25,37
48004,"Calgary Centre/Calgary-Centre"," 523","Mobile poll/Bureau itinérant",0,4,14,0,0,0,18,25
48004,"Calgary Centre/Calgary-Centre"," 524","Mobile poll/Bureau itinérant",2,36,33,0,0,0,71,109
48004,"Calgary Centre/Calgary-Centre"," 525","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°180,,,,,,,37
48004,"Calgary Centre/Calgary-Centre"," 600","Calgary",123,284,603,7,7,3,1027,
48004,"Calgary Centre/Calgary-Centre"," 601","Calgary",115,252,339,9,4,2,721,
48004,"Calgary Centre/Calgary-Centre"," 602","Calgary",43,82,279,4,5,1,414,
48004,"Calgary Centre/Calgary-Centre"," 603","Calgary",109,211,261,3,9,2,595,
48004,"Calgary Centre/Calgary-Centre"," 604","Calgary",90,187,432,7,2,5,723,
48004,"Calgary Centre/Calgary-Centre"," 605","Calgary",157,250,408,15,5,1,836,
48004,"Calgary Centre/Calgary-Centre"," 606","Calgary",124,233,313,14,7,2,693,
48004,"Calgary Centre/Calgary-Centre"," 607","Calgary",175,354,483,8,10,3,1033,
48004,"Calgary Centre/Calgary-Centre"," 608","Calgary",164,251,214,12,10,4,655,
48004,"Calgary Centre/Calgary-Centre"," 609","Calgary",89,205,725,8,2,8,1037,
48004,"Calgary Centre/Calgary-Centre"," 610","Calgary",155,334,481,16,10,4,1000,
48004,"Calgary Centre/Calgary-Centre"," 611","Calgary",119,352,712,15,7,3,1208,
48004,"Calgary Centre/Calgary-Centre"," 612","Calgary",93,278,621,15,12,4,1023,
48004,"Calgary Centre/Calgary-Centre"," 613","Calgary",105,223,562,13,5,6,914,
48004,"Calgary Centre/Calgary-Centre"," 614","Calgary",120,373,985,15,6,1,1500,
48004,"Calgary Centre/Calgary-Centre"," 615","Calgary",97,257,1061,3,8,1,1427,
48004,"Calgary Centre/Calgary-Centre"," 616","Calgary",73,236,940,10,10,8,1277,
48004,"Calgary Centre/Calgary-Centre"," 617","Calgary",150,456,446,13,5,1,1071,
48004,"Calgary Centre/Calgary-Centre"," 618","Calgary",108,228,759,15,10,5,1125,
48004,"Calgary Centre/Calgary-Centre"," 619","Calgary",90,209,303,5,4,5,616,
48004,"Calgary Centre/Calgary-Centre",,Group 1/Groupe 1, 193,419,766,27,7,69,1481,763
48004,"Calgary Centre/Calgary-Centre",,Group 2/Groupe 2, 473,1184,1501,39,19,183,3399,
