Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Ken Gilpin,Leslyn Lewis,Charles Lugosi,Karen Matthews,George McMorrow,Meghan Piironen,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 605","Haldimand County",80,556,17,181,2,101,5,942,
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 606","Haldimand County",77,512,17,281,2,140,4,1033,
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 607","Haldimand County",80,417,6,184,1,98,3,789,
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 608","Haldimand County",87,466,11,262,3,130,5,964,
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 609","Haldimand County",80,397,13,164,2,73,3,732,
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 610","Haldimand County",99,448,8,280,4,105,10,954,
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 611","Norfolk County",89,494,5,288,3,83,3,965,
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 612","Norfolk County",116,463,2,204,8,101,4,898,
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 613","Norfolk County",63,272,2,97,1,43,6,484,
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 614","Norfolk County",102,399,9,182,4,88,4,788,
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 615","Norfolk County",148,323,2,107,1,46,10,637,
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 616","Norfolk County",164,372,1,112,0,26,8,683,
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 617","Norfolk County",102,396,4,292,1,64,3,862,
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 618","Norfolk County",122,485,5,246,2,82,5,947,
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 619","Norfolk County",76,321,5,288,1,101,0,792,
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 620","Norfolk County",93,465,6,334,2,115,6,1021,
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 621","Norfolk County",64,173,3,199,1,55,3,498,
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 622","Norfolk County",62,398,6,332,3,68,10,879,
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 623","Norfolk County",62,310,3,207,6,60,1,649,
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 624","Norfolk County",42,420,3,458,3,88,1,1015,
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 625","Norfolk County",74,515,3,474,4,81,12,1163,
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 626","Norfolk County",48,260,1,308,0,81,8,706,
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 627","Norfolk County",83,503,1,289,3,70,9,958,
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 628","Norfolk County",106,165,4,34,1,25,4,339,
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 629","Haldimand County",41,266,2,167,1,66,4,547,
35033,"Haldimand--Norfolk/Haldimand--Norfolk",,Group 1/Groupe 1, 18,124,2,115,3,80,17,359,117
35033,"Haldimand--Norfolk/Haldimand--Norfolk",,Group 2/Groupe 2, 78,840,12,835,7,206,32,2010,
