Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Rob Anderson,Laura Anne Frost,Randall Garrison,Harley Gordon,Doug Kobayashi,Tyson Riel Strandlund,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 92","Saanich",8,12,54,16,15,2,0,107,432
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 93","Saanich",5,19,75,15,29,1,0,144,441
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 94","Saanich",9,35,95,16,32,2,0,189,536
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 95","Saanich",2,21,61,16,25,0,0,125,393
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 96","Saanich",2,22,72,22,26,0,0,144,504
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 97","Colwood",6,41,65,15,39,0,0,166,445
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 98","Colwood",9,51,109,9,62,0,0,240,614
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 99","Colwood",3,41,87,13,31,0,1,176,462
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 100","Colwood",9,48,60,17,40,1,1,176,475
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 101","Colwood",18,53,70,15,31,1,0,188,575
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 102","Colwood",7,44,52,12,29,0,2,146,377
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 103","Colwood",12,39,88,19,50,0,0,208,502
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 104","Colwood",5,36,70,5,30,2,0,148,403
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 105","Colwood",8,27,69,10,37,2,0,153,407
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 106","Colwood",5,34,80,17,42,1,1,180,424
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 107","Colwood",10,37,67,16,36,0,0,166,444
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 108","Colwood",9,36,42,13,32,0,0,132,352
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 109","Colwood",11,60,76,21,60,0,0,228,627
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 110","Colwood",4,43,72,12,44,0,1,176,526
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 111","Colwood",4,62,49,9,56,1,0,181,699
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 112","View Royal",7,35,171,21,45,0,3,282,873
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 113","Esquimalt",6,26,64,10,43,0,1,150,436
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 114","Esquimalt",3,22,52,4,38,0,0,119,434
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 115","New Songhees 1A",6,24,80,15,27,0,1,153,515
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 116","New Songhees 1A",4,19,91,10,10,0,1,135,442
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 117","Esquimalt",5,23,63,16,36,0,0,143,435
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 118","Esquimalt",3,25,63,12,50,0,1,154,452
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 119","Esquimalt",9,21,52,16,31,3,0,132,427
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 120","Esquimalt",6,17,54,6,25,2,0,110,347
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 121","Saanich",10,21,64,14,25,1,0,135,439
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 122","Saanich",3,30,77,18,36,0,0,164,410
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 123","Saanich",6,18,57,14,30,1,0,126,440
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 124","Saanich",4,29,54,25,30,0,0,142,430
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 125","Saanich",5,26,62,11,14,0,0,118,422
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 126","Saanich",13,24,73,21,25,1,0,157,595
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 127","Saanich",4,17,74,4,31,2,0,132,447
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 128","Saanich",7,19,93,19,28,0,0,166,620
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 129","Sooke",7,46,59,15,23,2,0,152,510
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 130","Sooke",12,65,91,8,38,0,1,215,670
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 131","Sooke",13,39,85,25,23,0,0,185,507
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 132","Sooke",10,41,53,16,36,2,0,158,573
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 133","Sooke",8,17,86,8,20,0,1,140,523
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 134","Sooke",21,39,75,14,29,0,0,178,600
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 135","Sooke",15,37,52,18,19,2,0,143,537
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 136","Sooke",8,37,61,13,25,0,0,144,492
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 137","Sooke",11,64,77,20,15,1,1,189,607
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 138","Sooke",9,58,67,11,29,0,0,174,637
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 139","Sooke",6,23,49,9,25,1,2,115,453
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 140","Colwood",9,26,57,13,33,1,0,139,426
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 141","Colwood",7,39,80,11,48,0,0,185,489
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 142","Colwood",12,51,73,12,37,0,0,185,429
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 143","Colwood",11,49,90,14,51,0,1,216,622
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 144","Colwood",5,40,102,17,34,1,2,201,418
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 145","Colwood",6,33,60,17,23,0,0,139,513
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 146","Colwood",13,39,78,18,53,1,2,204,588
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 147","Colwood",8,32,85,19,42,0,0,186,499
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 148","Colwood",15,146,195,30,129,1,0,516,1432
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 149","Colwood",3,45,65,7,83,1,2,206,511
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 150","Saanich",7,24,76,12,26,0,0,145,401
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 151","Saanich",4,20,88,19,44,1,0,176,498
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 152","Saanich",7,28,62,20,23,0,0,140,408
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 153","Saanich",6,16,67,11,30,0,0,130,462
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 154","Saanich",3,28,80,12,42,2,1,168,451
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke"," 155","Saanich",1,28,79,32,24,1,0,165,432
