Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Eric-Abel Baland,Richard Evanko,Marie-Hélène Gaudreau,Kathy Laframboise,Michel Le Comte,Michel Leclerc,Antoine Menassa,Jean-Noël Sorel,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24038,"Laurentides--Labelle/Laurentides--Labelle"," 105","Sainte-Marguerite-du-Lac-Masson",6,9,51,16,0,0,31,0,4,117,411
24038,"Laurentides--Labelle/Laurentides--Labelle"," 106","Sainte-Marguerite-du-Lac-Masson",8,7,68,10,3,2,36,0,3,137,465
24038,"Laurentides--Labelle/Laurentides--Labelle"," 107","Sainte-Marguerite-du-Lac-Masson",16,12,58,12,6,5,17,1,3,130,435
24038,"Laurentides--Labelle/Laurentides--Labelle"," 108","Sainte-Marguerite-du-Lac-Masson",10,9,70,10,3,2,33,0,2,139,414
24038,"Laurentides--Labelle/Laurentides--Labelle"," 109","Lac-Nantel",4,4,77,14,8,2,45,0,5,159,428
24038,"Laurentides--Labelle/Laurentides--Labelle"," 110","Lac-Carré",4,14,71,18,7,2,27,2,5,150,414
24038,"Laurentides--Labelle/Laurentides--Labelle"," 111","Saint-Faustin",12,4,60,19,3,6,28,0,2,134,394
24038,"Laurentides--Labelle/Laurentides--Labelle"," 112","La Minerve",6,7,115,26,2,2,61,1,7,227,433
24038,"Laurentides--Labelle/Laurentides--Labelle"," 113","La Minerve",10,6,87,18,5,8,67,0,3,204,360
24038,"Laurentides--Labelle/Laurentides--Labelle"," 114","La Minerve",5,4,119,13,4,7,45,0,2,199,395
24038,"Laurentides--Labelle/Laurentides--Labelle"," 115","La Conception",14,13,100,31,5,5,38,0,3,209,401
24038,"Laurentides--Labelle/Laurentides--Labelle"," 116","La Conception",16,0,74,14,1,1,38,0,4,148,415
24038,"Laurentides--Labelle/Laurentides--Labelle"," 117","La Conception",22,13,109,18,11,5,50,3,4,235,465
24038,"Laurentides--Labelle/Laurentides--Labelle"," 118","Lac-du-Cerf",3,2,70,12,5,2,16,1,4,115,411
24038,"Laurentides--Labelle/Laurentides--Labelle"," 119","Sainte-Agathe-des-Monts",22,9,111,24,2,2,38,0,4,212,614
24038,"Laurentides--Labelle/Laurentides--Labelle"," 120","Sainte-Agathe-des-Monts",21,12,98,14,6,2,24,0,3,180,583
24038,"Laurentides--Labelle/Laurentides--Labelle"," 121","Sainte-Agathe-des-Monts",8,13,80,9,2,0,31,1,1,145,558
24038,"Laurentides--Labelle/Laurentides--Labelle"," 122","Sainte-Agathe-des-Monts",14,7,78,13,5,2,31,0,2,152,557
24038,"Laurentides--Labelle/Laurentides--Labelle"," 123","Sainte-Agathe-des-Monts",14,10,58,13,2,4,27,0,5,133,527
24038,"Laurentides--Labelle/Laurentides--Labelle"," 124","Sainte-Agathe-des-Monts",10,7,49,14,7,1,25,0,1,114,502
24038,"Laurentides--Labelle/Laurentides--Labelle"," 125","Sainte-Agathe-des-Monts",11,11,69,15,8,4,31,1,3,153,543
24038,"Laurentides--Labelle/Laurentides--Labelle"," 126","Ivry",12,6,62,21,3,3,42,0,6,155,315
24038,"Laurentides--Labelle/Laurentides--Labelle"," 127","Mont-Tremblant",11,57,66,21,2,1,23,0,3,184,453
24038,"Laurentides--Labelle/Laurentides--Labelle"," 128","Mont-Tremblant",15,14,83,22,5,1,48,1,4,193,534
24038,"Laurentides--Labelle/Laurentides--Labelle"," 129","Mont-Tremblant",19,7,105,20,9,2,44,2,4,212,668
