Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Martin Chartrand,Luis Henry Gonzalez Venegas,Dany Goulet,Eric Lacroix,William Legault-Lacasse,Sébastien Lemire,Joël Lirette,Bethany Stewart,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 532","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°218,,,,,,,,,,20
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 533","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°217,,,,,,,,,,35
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 534","Mobile poll/Bureau itinérant",0,1,1,0,7,3,0,0,0,12,64
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 535","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°198,,,,,,,,,,10
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 536","La Sarre",Merged with No./Fusionné avec le n°400,,,,,,,,,,50
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 600","La Sarre",9,74,11,20,160,310,0,21,8,613,
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 601","La Sarre",10,116,20,22,217,494,1,31,17,928,
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 602","Duparquet",3,20,7,11,43,173,3,3,4,267,
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 603","Macamic",3,70,9,12,122,269,3,14,4,506,
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 604","Villemontel",3,8,1,1,22,36,0,2,0,73,
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 605","Amos",7,58,9,16,112,201,4,11,5,423,
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 606","Barraute",3,46,10,13,75,130,1,3,3,284,
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 607","Amos",2,89,13,11,202,367,3,33,13,733,
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 608","Amos",7,102,24,11,230,436,7,26,11,854,
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 609","Preissac",3,72,17,7,69,202,5,21,3,399,
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 610","Rouyn-Noranda",5,74,10,13,140,363,7,19,11,642,
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 611","Rouyn-Noranda",11,136,15,20,274,581,2,50,19,1108,
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 612","Rouyn-Noranda",14,89,13,10,270,535,2,35,11,979,
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 613","Rouyn-Noranda",14,123,25,19,291,610,6,55,22,1165,
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 614","Rouyn-Noranda",4,97,18,18,199,417,2,23,15,793,
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 615","Rouyn-Noranda",8,44,12,28,81,263,2,10,6,454,
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 616","Notre-Dame-du-Nord",4,48,4,14,76,103,0,19,3,271,
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 617","Latulipe",1,12,2,4,32,84,1,5,1,142,
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 618","Ville-Marie",9,90,16,11,181,386,0,19,11,723,
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 619","Témiscaming",5,89,10,47,198,126,0,48,2,525,
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue",,Group 1/Groupe 1, 9,27,2,3,56,90,0,56,17,260,64
24002,"Abitibi--Témiscamingue/Abitibi--Témiscamingue",,Group 2/Groupe 2, 24,183,26,36,531,761,6,71,44,1682,
