Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Lisa Marie Barron,Michelle Corfield,Tamara Kronis,Paul Manly,Stephen Welton,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59018,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 88","Nanaimo",59,32,72,83,6,2,254,550
59018,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 89","Nanaimo",57,15,45,57,11,0,185,417
59018,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 90","Nanaimo",50,38,51,31,1,0,171,452
59018,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 91","Nanaimo",44,18,36,34,6,0,138,392
59018,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 92","Nanaimo",57,16,40,48,11,0,172,497
59018,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 93","Nanaimo",57,8,26,31,6,1,129,379
59018,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 94","Nanaimo",73,27,55,48,8,0,211,550
59018,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 95","Nanaimo",64,9,31,37,8,0,149,463
59018,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 96","Nanaimo",55,16,38,32,15,0,156,457
59018,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 97","Nanaimo",56,42,99,75,19,0,291,653
59018,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 98","Nanaimo",86,24,51,77,6,1,245,507
59018,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 99","Nanaimo",29,24,34,45,6,0,138,437
59018,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 100","Nanaimo",31,31,79,48,10,1,200,466
59018,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 101","Nanaimo",52,23,35,60,4,0,174,400
59018,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 102","Nanaimo",45,30,42,51,6,1,175,383
59018,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 103","Nanaimo",37,45,65,53,10,0,210,492
59018,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 104","Nanaimo",81,19,46,39,4,0,189,514
59018,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 105","Nanaimo",99,26,59,31,11,0,226,447
59018,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 106","Nanaimo",96,30,45,50,14,1,236,555
59018,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 107","Nanaimo",101,23,43,46,9,2,224,527
59018,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 108","Nanaimo",61,25,53,53,11,1,204,462
59018,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 109","Nanaimo",64,28,42,28,7,0,169,451
59018,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 110","Wellington",35,18,80,23,3,2,161,456
59018,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 111","East Wellington",50,28,89,50,10,0,227,560
59018,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 112","Nanaimo",92,25,56,39,5,0,217,584
59018,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 113","Nanaimo",46,22,58,60,7,0,193,492
59018,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 114A","Nanaimo",42,18,36,21,7,0,124,355
59018,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 114B","Nanaimo",42,17,45,28,11,0,143,332
59018,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 115","Nanaimo",62,16,48,29,6,0,161,548
59018,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 116","Nanaimo",75,20,69,44,4,0,212,529
59018,"Nanaimo--Ladysmith/Nanaimo--Ladysmith"," 117","East Wellington",41,20,106,50,13,0,230,522
