Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Aidan Blum,Tariq Elnaga,David Gamble,Caroline O'Driscoll,Blake Richards,Derek Sloan,Ron Voss,Nadine Wellwood,Sarah Zagoda,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48001,"Banff--Airdrie/Banff--Airdrie"," 202B","Airdrie",1,2,24,2,75,2,1,7,24,1,139,346
48001,"Banff--Airdrie/Banff--Airdrie"," 203","Airdrie",2,3,35,0,99,5,0,23,36,1,204,428
48001,"Banff--Airdrie/Banff--Airdrie"," 204","Airdrie",2,1,29,0,82,4,0,14,27,0,159,331
48001,"Banff--Airdrie/Banff--Airdrie"," 205","Airdrie",4,1,28,0,85,7,0,10,21,0,156,352
48001,"Banff--Airdrie/Banff--Airdrie"," 206A","Airdrie",1,5,39,0,77,11,0,7,21,0,161,447
48001,"Banff--Airdrie/Banff--Airdrie"," 206B","Airdrie",2,2,35,0,82,12,0,13,22,1,169,422
48001,"Banff--Airdrie/Banff--Airdrie"," 207","Airdrie",1,1,19,0,74,3,1,16,29,0,144,330
48001,"Banff--Airdrie/Banff--Airdrie"," 208","Airdrie",2,1,17,1,73,4,0,9,22,2,131,280
48001,"Banff--Airdrie/Banff--Airdrie"," 209","Airdrie",4,3,45,1,67,4,0,11,35,0,170,469
48001,"Banff--Airdrie/Banff--Airdrie"," 210","Airdrie",1,1,31,0,101,9,1,22,49,3,218,577
48001,"Banff--Airdrie/Banff--Airdrie"," 211","Airdrie",1,3,15,2,81,3,0,8,17,5,135,368
48001,"Banff--Airdrie/Banff--Airdrie"," 212A","Airdrie",0,6,14,2,105,7,0,13,30,1,178,426
48001,"Banff--Airdrie/Banff--Airdrie"," 212B","Airdrie",1,3,22,0,102,8,0,8,33,1,178,437
48001,"Banff--Airdrie/Banff--Airdrie"," 213","Airdrie",0,4,30,0,103,9,0,18,33,0,197,597
48001,"Banff--Airdrie/Banff--Airdrie"," 214","Airdrie",0,1,22,2,102,7,0,11,14,1,160,453
48001,"Banff--Airdrie/Banff--Airdrie"," 215","Airdrie",1,3,22,0,121,9,0,15,38,0,209,500
48001,"Banff--Airdrie/Banff--Airdrie"," 216","Airdrie",3,1,16,2,129,7,0,15,57,1,231,613
48001,"Banff--Airdrie/Banff--Airdrie"," 217A","Airdrie",1,1,17,1,97,3,0,5,23,0,148,327
48001,"Banff--Airdrie/Banff--Airdrie"," 217B","Airdrie",1,0,25,0,79,1,0,12,23,0,141,358
48001,"Banff--Airdrie/Banff--Airdrie"," 218","Airdrie",2,5,32,1,127,4,0,14,57,1,243,439
48001,"Banff--Airdrie/Banff--Airdrie"," 219A","Airdrie",4,2,19,0,103,3,0,16,23,0,170,345
48001,"Banff--Airdrie/Banff--Airdrie"," 219B","Airdrie",0,0,19,1,80,4,0,10,30,0,144,334
48001,"Banff--Airdrie/Banff--Airdrie"," 220","Airdrie",2,3,17,0,93,1,0,20,25,1,162,360
48001,"Banff--Airdrie/Banff--Airdrie"," 221","Airdrie",1,3,31,0,131,11,0,11,44,1,233,461
48001,"Banff--Airdrie/Banff--Airdrie"," 222A","Airdrie",1,2,24,0,108,10,0,10,16,2,173,386
48001,"Banff--Airdrie/Banff--Airdrie"," 222B","Airdrie",2,0,20,1,113,4,0,9,24,0,173,383
48001,"Banff--Airdrie/Banff--Airdrie"," 223A","Airdrie",2,1,22,1,96,11,0,23,47,0,203,497
48001,"Banff--Airdrie/Banff--Airdrie"," 223B","Airdrie",0,0,31,1,94,11,0,15,40,0,192,476
48001,"Banff--Airdrie/Banff--Airdrie"," 224","Rocky View County",1,4,19,4,77,0,0,6,8,0,119,386
48001,"Banff--Airdrie/Banff--Airdrie"," 225","Rocky View County",Merged with No./Fusionné avec le n°227,,,,,,,,,,,216
48001,"Banff--Airdrie/Banff--Airdrie"," 226A","Rocky View County",1,1,16,0,159,3,0,6,16,0,202,424
48001,"Banff--Airdrie/Banff--Airdrie"," 226B","Rocky View County",0,2,38,0,144,1,0,11,20,0,216,402
48001,"Banff--Airdrie/Banff--Airdrie"," 227","Rocky View County",5,5,25,1,196,3,0,9,35,0,279,340
48001,"Banff--Airdrie/Banff--Airdrie"," 228","Rocky View County",3,6,22,3,145,2,0,14,22,0,217,456
48001,"Banff--Airdrie/Banff--Airdrie"," 229","Rocky View County",2,9,17,0,144,5,0,23,20,0,220,345
48001,"Banff--Airdrie/Banff--Airdrie"," 230","Bearspaw",1,3,26,2,125,5,1,11,14,0,188,404
48001,"Banff--Airdrie/Banff--Airdrie"," 231","Rocky View County",4,10,18,0,123,1,0,9,7,0,172,360
48001,"Banff--Airdrie/Banff--Airdrie"," 232","Bearspaw",3,2,12,1,101,6,0,14,13,1,153,389
48001,"Banff--Airdrie/Banff--Airdrie"," 233","Bearspaw",1,4,24,1,148,4,0,11,24,1,218,424
48001,"Banff--Airdrie/Banff--Airdrie"," 234","Rocky View County",4,1,7,1,84,7,1,5,10,0,120,317
48001,"Banff--Airdrie/Banff--Airdrie"," 235","Rocky View County",1,1,15,1,85,2,0,8,10,0,123,246
48001,"Banff--Airdrie/Banff--Airdrie"," 236","Delacour",1,4,33,1,122,6,1,12,17,0,197,504
48001,"Banff--Airdrie/Banff--Airdrie"," 400","Airdrie",Merged with No./Fusionné avec le n°85,,,,,,,,,,,146
48001,"Banff--Airdrie/Banff--Airdrie"," 401","Airdrie",1,3,9,0,47,5,0,7,29,1,102,293
48001,"Banff--Airdrie/Banff--Airdrie"," 402","Airdrie",1,2,18,3,74,7,0,21,28,1,155,299
48001,"Banff--Airdrie/Banff--Airdrie"," 403","Airdrie",Merged with No./Fusionné avec le n°402,,,,,,,,,,,270
48001,"Banff--Airdrie/Banff--Airdrie"," 404","Airdrie",2,3,9,0,51,3,0,7,20,0,95,369
48001,"Banff--Airdrie/Banff--Airdrie"," 405","Airdrie",Void/Supprimé,,,,,,,,,,,
48001,"Banff--Airdrie/Banff--Airdrie"," 406","Airdrie",0,1,28,1,44,5,1,13,16,0,109,368
48001,"Banff--Airdrie/Banff--Airdrie"," 407","Airdrie",Merged with No./Fusionné avec le n°218,,,,,,,,,,,174
48001,"Banff--Airdrie/Banff--Airdrie"," 500","Mobile poll/Bureau itinérant",0,1,4,1,32,0,0,0,3,1,42,50
48001,"Banff--Airdrie/Banff--Airdrie"," 501","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°103,,,,,,,,,,,23
48001,"Banff--Airdrie/Banff--Airdrie"," 502","Mobile poll/Bureau itinérant",1,1,9,1,28,1,0,0,3,0,44,63
48001,"Banff--Airdrie/Banff--Airdrie"," 503","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°93,,,,,,,,,,,23
48001,"Banff--Airdrie/Banff--Airdrie"," 600","Crossfield",4,52,34,0,454,18,1,74,57,0,694,
48001,"Banff--Airdrie/Banff--Airdrie"," 601","Rocky View County--Bighorn No. 8",15,41,72,10,837,35,0,81,107,3,1201,
48001,"Banff--Airdrie/Banff--Airdrie"," 602","Banff-Lake Louise",22,2,103,3,150,3,0,11,123,1,418,
48001,"Banff--Airdrie/Banff--Airdrie"," 603","Banff",28,2,225,3,302,9,0,18,229,11,827,
48001,"Banff--Airdrie/Banff--Airdrie"," 604","Canmore",48,19,303,2,438,11,3,41,245,4,1114,
48001,"Banff--Airdrie/Banff--Airdrie"," 605","Canmore",66,11,350,2,546,16,1,28,282,0,1302,
48001,"Banff--Airdrie/Banff--Airdrie"," 606","Canmore",32,8,188,1,302,15,0,32,174,3,755,
48001,"Banff--Airdrie/Banff--Airdrie"," 607","Rocky View County--Stoney 142, 143, 144",3,8,22,2,312,5,0,17,17,0,386,
48001,"Banff--Airdrie/Banff--Airdrie"," 608","Cochrane",10,48,128,6,942,43,1,130,207,2,1517,
48001,"Banff--Airdrie/Banff--Airdrie"," 609","Cochrane",20,27,124,6,1118,44,6,120,207,1,1673,
48001,"Banff--Airdrie/Banff--Airdrie"," 610","Cochrane",14,18,75,5,533,21,0,71,97,13,847,
48001,"Banff--Airdrie/Banff--Airdrie"," 611","Cochrane",13,24,138,8,812,25,0,91,125,5,1241,
48001,"Banff--Airdrie/Banff--Airdrie"," 612","Bearspaw",5,18,62,2,607,32,0,39,51,1,817,
48001,"Banff--Airdrie/Banff--Airdrie"," 613","Rocky View",5,25,46,3,568,29,1,67,43,1,788,
48001,"Banff--Airdrie/Banff--Airdrie"," 614","Airdrie",7,19,57,0,428,16,0,48,91,0,666,
48001,"Banff--Airdrie/Banff--Airdrie"," 615","Airdrie",6,39,102,4,998,43,1,83,167,3,1446,
48001,"Banff--Airdrie/Banff--Airdrie"," 616","Airdrie",11,48,116,6,914,50,1,134,179,2,1461,
48001,"Banff--Airdrie/Banff--Airdrie"," 617","Airdrie",7,37,66,5,678,27,1,92,159,2,1074,
48001,"Banff--Airdrie/Banff--Airdrie"," 618","Airdrie",8,12,48,6,431,18,1,47,115,1,687,
48001,"Banff--Airdrie/Banff--Airdrie"," 619","Airdrie",3,13,43,2,438,26,1,33,98,0,657,
48001,"Banff--Airdrie/Banff--Airdrie"," 620","Airdrie",10,15,131,3,575,31,0,81,141,4,991,
48001,"Banff--Airdrie/Banff--Airdrie"," 621","Airdrie",3,6,64,2,380,18,1,42,99,0,615,
48001,"Banff--Airdrie/Banff--Airdrie"," 622","Airdrie",2,14,95,7,560,21,0,73,139,4,915,
48001,"Banff--Airdrie/Banff--Airdrie"," 623","Airdrie",12,42,109,6,859,60,0,131,171,5,1395,
48001,"Banff--Airdrie/Banff--Airdrie"," 624","Rocky View County",2,13,43,2,306,6,1,49,77,1,500,
48001,"Banff--Airdrie/Banff--Airdrie"," 625","Cochrane",8,17,92,3,460,14,2,70,105,2,773,
48001,"Banff--Airdrie/Banff--Airdrie"," 626","Airdrie",8,13,69,1,430,3,1,60,102,2,689,
48001,"Banff--Airdrie/Banff--Airdrie"," 627","Airdrie",7,10,36,6,350,34,1,50,82,3,579,
48001,"Banff--Airdrie/Banff--Airdrie"," 628","Airdrie",4,18,52,2,337,33,1,54,68,1,570,
48001,"Banff--Airdrie/Banff--Airdrie"," 629","Airdrie",5,16,39,1,555,16,0,61,46,2,741,
48001,"Banff--Airdrie/Banff--Airdrie",,Group 1/Groupe 1, 34,18,149,5,628,20,1,64,173,44,1136,218
48001,"Banff--Airdrie/Banff--Airdrie",,Group 2/Groupe 2, 70,80,676,28,2482,180,1,261,746,90,4614,
