Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Sophie Chatel,Gabrielle Desjardins,Michel Gauthier,Denise Giroux,David Bruce Gottfred,Geneviève Labonté-Chartrand,Shaughn McArthur,James McNair,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24057,"Pontiac/Pontiac"," 81","East Aldfield",62,34,23,9,8,1,2,1,0,140,282
24057,"Pontiac/Pontiac"," 82","Fort-Coulonge",63,20,57,15,18,0,5,0,0,178,249
24057,"Pontiac/Pontiac"," 83","Fort-Coulonge",Merged with No./Fusionné avec le n°84,,,,,,,,,,223
24057,"Pontiac/Pontiac"," 84","Fort-Coulonge",53,9,53,17,13,2,2,0,0,149,301
24057,"Pontiac/Pontiac"," 85","Fort-Coulonge",Merged with No./Fusionné avec le n°82,,,,,,,,,,265
24057,"Pontiac/Pontiac"," 86","Wakefield",68,12,32,28,9,2,11,0,0,162,457
24057,"Pontiac/Pontiac"," 87","Wakefield--Farrellton",39,3,30,37,4,1,16,0,0,130,350
24057,"Pontiac/Pontiac"," 88","La Pêche",55,9,17,28,10,1,20,0,3,143,337
24057,"Pontiac/Pontiac"," 89","Wakefield",67,4,23,50,13,2,36,0,0,195,314
24057,"Pontiac/Pontiac"," 90","Wakefield",84,8,25,30,6,0,16,0,0,169,382
24057,"Pontiac/Pontiac"," 91","La Pêche",73,31,26,30,13,5,8,1,2,189,444
24057,"Pontiac/Pontiac"," 92","La Pêche",Merged with No./Fusionné avec le n°89,,,,,,,,,,241
24057,"Pontiac/Pontiac"," 93","Wakefield",45,14,18,30,9,0,19,0,1,136,440
24057,"Pontiac/Pontiac"," 94","Wakefield",54,1,7,31,8,0,26,0,1,128,372
24057,"Pontiac/Pontiac"," 95","Duclos",64,22,23,20,8,2,3,0,4,146,259
24057,"Pontiac/Pontiac"," 96","Vinton",32,5,49,10,19,1,3,0,2,121,357
24057,"Pontiac/Pontiac"," 97","Campbell's Bay",Merged with No./Fusionné avec le n°98,,,,,,,,,,288
24057,"Pontiac/Pontiac"," 98","Campbell's Bay",46,7,83,14,25,1,5,1,3,185,293
24057,"Pontiac/Pontiac"," 99","Ladysmith",57,11,80,25,12,1,8,0,0,194,371
24057,"Pontiac/Pontiac"," 100","Val-des-Monts",55,36,25,19,12,2,4,0,1,154,448
24057,"Pontiac/Pontiac"," 101","Val-des-Monts",68,42,28,17,22,1,5,0,0,183,292
24057,"Pontiac/Pontiac"," 102","Val-des-Monts",88,62,54,35,10,8,6,0,2,265,632
24057,"Pontiac/Pontiac"," 103","Val-des-Monts",61,49,36,18,16,1,10,0,3,194,252
24057,"Pontiac/Pontiac"," 104","Val-des-Monts",30,25,11,14,11,2,9,0,2,104,357
24057,"Pontiac/Pontiac"," 105","Val-des-Monts",35,42,28,14,18,3,3,2,0,145,404
24057,"Pontiac/Pontiac"," 106","Val-des-Monts",55,53,22,24,18,0,5,0,6,183,483
24057,"Pontiac/Pontiac"," 107","Val-des-Monts",64,33,27,20,8,1,2,0,4,159,432
24057,"Pontiac/Pontiac"," 108","Cantley",58,36,27,6,9,3,5,0,0,144,428
24057,"Pontiac/Pontiac"," 109","Val-des-Monts",71,39,30,20,13,0,1,0,5,179,465
24057,"Pontiac/Pontiac"," 110","Val-des-Monts",55,22,24,14,6,1,2,0,1,125,336
24057,"Pontiac/Pontiac"," 111","Lac-des-Loups",104,67,47,30,22,1,10,0,5,286,292
24057,"Pontiac/Pontiac"," 112","Lac-des-Loups",Merged with No./Fusionné avec le n°111,,,,,,,,,,292
24057,"Pontiac/Pontiac"," 113","Sainte-Cécile-de-Masham",51,29,20,14,5,1,12,0,4,136,390
24057,"Pontiac/Pontiac"," 114","Sainte-Cécile-de-Masham",Merged with No./Fusionné avec le n°117,,,,,,,,,,252
24057,"Pontiac/Pontiac"," 115","Saint-François-de-Masham",81,34,29,14,12,4,3,0,3,180,427
24057,"Pontiac/Pontiac"," 116","Sainte-Cécile-de-Masham",70,38,30,20,6,4,5,1,4,178,490
24057,"Pontiac/Pontiac"," 117","Sainte-Cécile-de-Masham",74,32,34,33,10,1,11,1,0,196,261
24057,"Pontiac/Pontiac"," 118","Saint-Louis-de-Masham",Merged with No./Fusionné avec le n°95,,,,,,,,,,231
24057,"Pontiac/Pontiac"," 119","Sainte-Cécile-de-Masham",42,29,25,10,7,1,3,0,0,117,301
24057,"Pontiac/Pontiac"," 120","Val-des-Monts",49,38,14,13,5,1,1,0,0,121,321
24057,"Pontiac/Pontiac"," 121","Val-des-Monts",48,50,12,12,20,4,1,0,3,150,396
24057,"Pontiac/Pontiac"," 122","Val-des-Monts",76,54,18,28,9,1,6,0,3,195,481
24057,"Pontiac/Pontiac"," 123","Val-des-Monts",88,53,29,14,11,1,6,0,0,202,488
24057,"Pontiac/Pontiac"," 124","Val-des-Monts",Merged with No./Fusionné avec le n°101,,,,,,,,,,292
24057,"Pontiac/Pontiac"," 125","Val-des-Monts",Merged with No./Fusionné avec le n°103,,,,,,,,,,301
24057,"Pontiac/Pontiac"," 126","Cantley",65,37,24,21,9,0,2,0,1,159,416
24057,"Pontiac/Pontiac"," 127","Cantley",77,39,14,36,6,0,9,0,0,181,371
24057,"Pontiac/Pontiac"," 128","Cantley",67,29,24,24,10,1,3,0,4,162,444
24057,"Pontiac/Pontiac"," 129","Cantley",52,23,14,17,7,1,4,0,4,122,355
24057,"Pontiac/Pontiac"," 130","Cantley",44,22,22,17,9,2,12,0,1,129,312
24057,"Pontiac/Pontiac"," 131","Cantley",57,48,11,7,6,2,7,0,2,140,378
24057,"Pontiac/Pontiac"," 132","Cantley",37,28,24,16,4,1,3,0,0,113,299
24057,"Pontiac/Pontiac"," 133","Cantley",34,26,22,10,7,1,7,0,4,111,318
24057,"Pontiac/Pontiac"," 134","Grand-Calumet",66,34,85,28,27,1,5,1,3,250,327
24057,"Pontiac/Pontiac"," 135","Grand-Calumet",Merged with No./Fusionné avec le n°134,,,,,,,,,,226
24057,"Pontiac/Pontiac"," 136","Cantley",66,31,25,26,6,3,3,0,2,162,432
24057,"Pontiac/Pontiac"," 137","Cantley",110,64,37,37,20,3,2,0,2,275,496
24057,"Pontiac/Pontiac"," 138","Cantley",52,35,21,9,7,2,1,0,2,129,365
24057,"Pontiac/Pontiac"," 139","Cantley",108,45,31,28,10,2,6,0,4,234,454
24057,"Pontiac/Pontiac"," 140","Cantley",113,54,31,26,15,3,3,0,8,253,578
24057,"Pontiac/Pontiac"," 141","Cantley",83,36,25,27,10,6,3,0,1,191,424
24057,"Pontiac/Pontiac"," 142","Cantley",69,29,24,18,9,3,5,0,2,159,417
24057,"Pontiac/Pontiac"," 143","Cantley",Void/Supprimé,,,,,,,,,,
24057,"Pontiac/Pontiac"," 144","Cantley",74,48,24,24,15,3,4,0,1,193,448
24057,"Pontiac/Pontiac"," 145","Cantley",72,29,14,24,10,4,5,0,0,158,376
24057,"Pontiac/Pontiac"," 146","Cantley",92,37,21,26,5,1,7,0,1,190,396
24057,"Pontiac/Pontiac"," 147","Cantley",113,40,31,25,8,1,4,0,2,224,591
24057,"Pontiac/Pontiac"," 148","Cantley",Void/Supprimé,,,,,,,,,,
24057,"Pontiac/Pontiac"," 149","Cantley",43,28,17,9,11,1,3,0,1,113,309
24057,"Pontiac/Pontiac"," 150","Chelsea",86,35,37,37,8,5,20,1,2,231,454
24057,"Pontiac/Pontiac"," 151","Chelsea",73,9,21,30,4,0,20,0,0,157,340
24057,"Pontiac/Pontiac"," 152","Chelsea",66,5,7,22,6,2,13,0,0,121,320
24057,"Pontiac/Pontiac"," 153","Chelsea",70,8,10,28,6,1,12,0,1,136,360
24057,"Pontiac/Pontiac"," 154","Gatineau",51,47,33,17,6,1,2,0,0,157,401
24057,"Pontiac/Pontiac"," 155","Gatineau",91,65,27,21,9,0,5,0,2,220,502
24057,"Pontiac/Pontiac"," 156","Gatineau",78,34,22,15,10,0,4,0,0,163,365
24057,"Pontiac/Pontiac"," 157","Gatineau",98,26,27,7,2,2,5,0,1,168,411
24057,"Pontiac/Pontiac"," 158","Gatineau",77,45,28,33,7,5,5,0,2,202,446
24057,"Pontiac/Pontiac"," 159","Gatineau",81,35,24,15,1,2,2,0,1,161,363
24057,"Pontiac/Pontiac"," 160","Gatineau",75,49,17,15,4,1,5,0,3,169,433
24057,"Pontiac/Pontiac"," 161","Gatineau",89,44,23,13,3,0,2,0,0,174,401
24057,"Pontiac/Pontiac"," 162","Gatineau",92,39,29,19,9,1,10,0,0,199,516
24057,"Pontiac/Pontiac"," 163","Gatineau",28,26,10,13,2,0,6,0,1,86,317
