Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Serge Cormier,Richer Doiron,Mélissa Hébert,Rachel Johns,Kenneth Edward Langford,Jean-Paul Lanteigne,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
13001,"Acadie--Bathurst/Acadie--Bathurst"," 542","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°178,,,,,,,,34
13001,"Acadie--Bathurst/Acadie--Bathurst"," 543","Bathurst",Merged with No./Fusionné avec le n°156,,,,,,,,16
13001,"Acadie--Bathurst/Acadie--Bathurst"," 544","Bathurst ",Merged with No./Fusionné avec le n°156,,,,,,,,25
13001,"Acadie--Bathurst/Acadie--Bathurst"," 545","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°156,,,,,,,,59
13001,"Acadie--Bathurst/Acadie--Bathurst"," 546","Bathurst ",Merged with No./Fusionné avec le n°157,,,,,,,,20
13001,"Acadie--Bathurst/Acadie--Bathurst"," 547","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°155,,,,,,,,10
13001,"Acadie--Bathurst/Acadie--Bathurst"," 548","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°155,,,,,,,,32
13001,"Acadie--Bathurst/Acadie--Bathurst"," 549","Bathurst",Merged with No./Fusionné avec le n°155,,,,,,,,124
13001,"Acadie--Bathurst/Acadie--Bathurst"," 550","Bathurst",Merged with No./Fusionné avec le n°148,,,,,,,,43
13001,"Acadie--Bathurst/Acadie--Bathurst"," 551","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°179,,,,,,,,33
13001,"Acadie--Bathurst/Acadie--Bathurst"," 552","Bathurst ",Merged with No./Fusionné avec le n°150,,,,,,,,114
13001,"Acadie--Bathurst/Acadie--Bathurst"," 553","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°150,,,,,,,,23
13001,"Acadie--Bathurst/Acadie--Bathurst"," 554","Bathurst ",Merged with No./Fusionné avec le n°142,,,,,,,,7
13001,"Acadie--Bathurst/Acadie--Bathurst"," 555","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°149,,,,,,,,16
13001,"Acadie--Bathurst/Acadie--Bathurst"," 556","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°145,,,,,,,,43
13001,"Acadie--Bathurst/Acadie--Bathurst"," 557","Bathurst ",Merged with No./Fusionné avec le n°143,,,,,,,,11
13001,"Acadie--Bathurst/Acadie--Bathurst"," 558","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°141,,,,,,,,5
13001,"Acadie--Bathurst/Acadie--Bathurst"," 559","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°141,,,,,,,,59
13001,"Acadie--Bathurst/Acadie--Bathurst"," 560","Mobile poll/Bureau itinérant",Void/Supprimé,,,,,,,,
13001,"Acadie--Bathurst/Acadie--Bathurst"," 561","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°169,,,,,,,,30
13001,"Acadie--Bathurst/Acadie--Bathurst"," 562","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°172,,,,,,,,60
13001,"Acadie--Bathurst/Acadie--Bathurst"," 563","Beresford",Merged with No./Fusionné avec le n°121,,,,,,,,1
13001,"Acadie--Bathurst/Acadie--Bathurst"," 564","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°122,,,,,,,,12
13001,"Acadie--Bathurst/Acadie--Bathurst"," 565","Beresford",Merged with No./Fusionné avec le n°122,,,,,,,,17
13001,"Acadie--Bathurst/Acadie--Bathurst"," 566","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°121,,,,,,,,33
13001,"Acadie--Bathurst/Acadie--Bathurst"," 567","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°167,,,,,,,,12
13001,"Acadie--Bathurst/Acadie--Bathurst"," 568","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°112,,,,,,,,15
13001,"Acadie--Bathurst/Acadie--Bathurst"," 569","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°112,,,,,,,,8
13001,"Acadie--Bathurst/Acadie--Bathurst"," 570","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°96,,,,,,,,9
13001,"Acadie--Bathurst/Acadie--Bathurst"," 571","Petit-Rocher",Merged with No./Fusionné avec le n°109,,,,,,,,10
13001,"Acadie--Bathurst/Acadie--Bathurst"," 572","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°108,,,,,,,,22
13001,"Acadie--Bathurst/Acadie--Bathurst"," 573","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°107,,,,,,,,30
13001,"Acadie--Bathurst/Acadie--Bathurst"," 574","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°53,,,,,,,,19
13001,"Acadie--Bathurst/Acadie--Bathurst"," 575","Pointe-Verte ",Merged with No./Fusionné avec le n°53,,,,,,,,10
13001,"Acadie--Bathurst/Acadie--Bathurst"," 576","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°142,,,,,,,,23
13001,"Acadie--Bathurst/Acadie--Bathurst"," 577","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°36,,,,,,,,19
13001,"Acadie--Bathurst/Acadie--Bathurst"," 578","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°18,,,,,,,,55
13001,"Acadie--Bathurst/Acadie--Bathurst"," 579","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°87,,,,,,,,34
13001,"Acadie--Bathurst/Acadie--Bathurst"," 580","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°149,,,,,,,,87
13001,"Acadie--Bathurst/Acadie--Bathurst"," 600","Belledune",167,2,59,20,15,125,2,390,
13001,"Acadie--Bathurst/Acadie--Bathurst"," 601","Petit-Rocher-Nord--Pointe-Verte",284,7,56,18,20,36,5,426,
13001,"Acadie--Bathurst/Acadie--Bathurst"," 602","Petit-Rocher",834,18,121,42,52,108,16,1191,
13001,"Acadie--Bathurst/Acadie--Bathurst"," 603","Robertville",628,9,95,59,44,115,2,952,
13001,"Acadie--Bathurst/Acadie--Bathurst"," 604","Beresford",456,4,83,20,18,120,2,703,
13001,"Acadie--Bathurst/Acadie--Bathurst"," 605","Beresford",471,3,82,16,20,90,12,694,
13001,"Acadie--Bathurst/Acadie--Bathurst"," 606","North Tetagouche--Sainte-Anne",418,1,101,25,33,177,5,760,
13001,"Acadie--Bathurst/Acadie--Bathurst"," 607","Bathurst",372,2,117,25,42,194,4,756,
13001,"Acadie--Bathurst/Acadie--Bathurst"," 608","Bathurst",436,4,67,21,16,139,4,687,
13001,"Acadie--Bathurst/Acadie--Bathurst"," 609","Bathurst",56,2,23,4,11,87,2,185,
13001,"Acadie--Bathurst/Acadie--Bathurst"," 610","Allardville",261,4,51,13,32,59,5,425,
13001,"Acadie--Bathurst/Acadie--Bathurst"," 611","Tracadie--Sheila",480,10,59,10,14,70,4,647,
13001,"Acadie--Bathurst/Acadie--Bathurst"," 612","Tracadie--Sheila",477,8,47,18,10,93,9,662,
13001,"Acadie--Bathurst/Acadie--Bathurst"," 613","Tracadie",942,21,108,26,31,156,19,1303,
13001,"Acadie--Bathurst/Acadie--Bathurst"," 614","Inkerman",372,7,48,15,14,52,4,512,
13001,"Acadie--Bathurst/Acadie--Bathurst"," 615","St. Isidore",545,4,71,8,16,59,1,704,
13001,"Acadie--Bathurst/Acadie--Bathurst"," 616","Paquetville",700,23,84,19,24,102,5,957,
13001,"Acadie--Bathurst/Acadie--Bathurst"," 617","Grande-Anse",528,5,51,19,22,66,8,699,
13001,"Acadie--Bathurst/Acadie--Bathurst"," 618","Caraquet",1021,12,74,31,34,115,8,1295,
13001,"Acadie--Bathurst/Acadie--Bathurst"," 619","Caraquet",628,4,43,9,21,78,12,795,
13001,"Acadie--Bathurst/Acadie--Bathurst"," 620","Shippagan",951,9,131,17,32,132,22,1294,
13001,"Acadie--Bathurst/Acadie--Bathurst"," 621","Lamèque",658,13,75,15,9,85,9,864,
13001,"Acadie--Bathurst/Acadie--Bathurst"," 622","Pigeon Hill",427,5,52,5,3,55,11,558,
13001,"Acadie--Bathurst/Acadie--Bathurst"," 623","Chamberlain Settlement",368,3,90,34,24,184,6,709,
13001,"Acadie--Bathurst/Acadie--Bathurst"," 624","Bathurst",457,1,107,20,31,130,9,755,
13001,"Acadie--Bathurst/Acadie--Bathurst",,Group 1/Groupe 1, 95,1,30,5,11,27,7,176,45
13001,"Acadie--Bathurst/Acadie--Bathurst",,Group 2/Groupe 2, 1984,23,167,62,62,379,70,2747,
