Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Suresh Arangath,Elaine Baetz,Melissa Baumgaertner,Valerie Bradford,Tyler Calver,Stephen Davis,C.A. Morrison,Gabe Rose,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35047,"Kitchener South--Hespeler/Kitchener-Sud--Hespeler"," 95","Kitchener",21,0,10,59,72,1,1,3,0,167,498
35047,"Kitchener South--Hespeler/Kitchener-Sud--Hespeler"," 96","Kitchener",5,0,3,49,73,0,0,2,0,132,410
35047,"Kitchener South--Hespeler/Kitchener-Sud--Hespeler"," 97","Kitchener",14,0,6,78,95,0,0,5,0,198,538
35047,"Kitchener South--Hespeler/Kitchener-Sud--Hespeler"," 98","Kitchener",22,0,11,46,109,2,0,5,0,195,581
35047,"Kitchener South--Hespeler/Kitchener-Sud--Hespeler"," 99","Kitchener",39,0,10,61,68,0,0,8,0,186,405
35047,"Kitchener South--Hespeler/Kitchener-Sud--Hespeler"," 100","Kitchener",19,0,15,61,53,0,1,0,1,150,366
35047,"Kitchener South--Hespeler/Kitchener-Sud--Hespeler"," 101","Kitchener",24,0,10,56,51,0,0,6,2,149,440
35047,"Kitchener South--Hespeler/Kitchener-Sud--Hespeler"," 102","Kitchener",27,1,10,86,21,0,0,4,2,151,398
35047,"Kitchener South--Hespeler/Kitchener-Sud--Hespeler"," 103","Kitchener",26,0,8,60,63,0,1,7,1,166,414
35047,"Kitchener South--Hespeler/Kitchener-Sud--Hespeler"," 104","Kitchener",29,0,19,68,60,1,0,6,0,183,351
35047,"Kitchener South--Hespeler/Kitchener-Sud--Hespeler"," 105","Kitchener",37,0,18,48,39,0,1,9,3,155,451
35047,"Kitchener South--Hespeler/Kitchener-Sud--Hespeler"," 106","Kitchener",27,0,13,47,50,1,0,7,2,147,390
35047,"Kitchener South--Hespeler/Kitchener-Sud--Hespeler"," 107","Kitchener",31,0,15,78,57,0,3,5,1,190,464
35047,"Kitchener South--Hespeler/Kitchener-Sud--Hespeler"," 108","Kitchener",48,0,17,65,58,0,2,11,3,204,573
35047,"Kitchener South--Hespeler/Kitchener-Sud--Hespeler"," 109","Kitchener",33,1,16,70,45,1,0,6,0,172,410
35047,"Kitchener South--Hespeler/Kitchener-Sud--Hespeler"," 110","Kitchener",Merged with No./Fusionné avec le n°124,,,,,,,,,,356
35047,"Kitchener South--Hespeler/Kitchener-Sud--Hespeler"," 111","Kitchener",41,0,11,39,41,0,1,8,2,143,427
35047,"Kitchener South--Hespeler/Kitchener-Sud--Hespeler"," 112","Kitchener",32,0,2,61,56,0,2,6,2,161,424
35047,"Kitchener South--Hespeler/Kitchener-Sud--Hespeler"," 113","Kitchener",30,0,11,46,49,0,0,6,3,145,477
35047,"Kitchener South--Hespeler/Kitchener-Sud--Hespeler"," 114","Kitchener",Merged with No./Fusionné avec le n°123,,,,,,,,,,328
35047,"Kitchener South--Hespeler/Kitchener-Sud--Hespeler"," 115","Kitchener",27,0,9,58,38,0,2,8,0,142,399
35047,"Kitchener South--Hespeler/Kitchener-Sud--Hespeler"," 116","Kitchener",19,0,15,52,29,0,0,4,0,119,384
35047,"Kitchener South--Hespeler/Kitchener-Sud--Hespeler"," 117","Kitchener",Merged with No./Fusionné avec le n°119,,,,,,,,,,218
35047,"Kitchener South--Hespeler/Kitchener-Sud--Hespeler"," 118","Kitchener",66,1,24,74,62,0,1,8,2,238,615
35047,"Kitchener South--Hespeler/Kitchener-Sud--Hespeler"," 119","Kitchener",44,0,11,52,52,0,0,12,5,176,366
35047,"Kitchener South--Hespeler/Kitchener-Sud--Hespeler"," 120","Kitchener",36,0,26,68,65,1,0,7,1,204,486
35047,"Kitchener South--Hespeler/Kitchener-Sud--Hespeler"," 121","Kitchener",33,2,6,49,69,0,0,5,3,167,391
35047,"Kitchener South--Hespeler/Kitchener-Sud--Hespeler"," 122","Kitchener",46,0,17,68,44,0,2,10,2,189,487
35047,"Kitchener South--Hespeler/Kitchener-Sud--Hespeler"," 123","Kitchener",44,0,21,84,94,0,1,17,1,262,327
35047,"Kitchener South--Hespeler/Kitchener-Sud--Hespeler"," 124","Kitchener",38,2,11,69,80,1,0,10,0,211,360
35047,"Kitchener South--Hespeler/Kitchener-Sud--Hespeler"," 125","Kitchener",42,0,8,66,75,0,4,12,1,208,441
35047,"Kitchener South--Hespeler/Kitchener-Sud--Hespeler"," 126","Kitchener",27,0,8,39,35,0,0,7,0,116,329
35047,"Kitchener South--Hespeler/Kitchener-Sud--Hespeler"," 127","Kitchener",33,0,14,63,43,1,0,10,2,166,376
35047,"Kitchener South--Hespeler/Kitchener-Sud--Hespeler"," 128","Kitchener",27,0,12,67,55,0,2,6,1,170,394
35047,"Kitchener South--Hespeler/Kitchener-Sud--Hespeler"," 129","Kitchener",36,0,17,64,62,1,0,7,1,188,382
35047,"Kitchener South--Hespeler/Kitchener-Sud--Hespeler"," 130","Kitchener",24,0,15,49,43,0,0,1,0,132,347
35047,"Kitchener South--Hespeler/Kitchener-Sud--Hespeler"," 131","Kitchener",32,0,16,66,56,0,1,7,3,181,474
35047,"Kitchener South--Hespeler/Kitchener-Sud--Hespeler"," 132","Kitchener",22,0,8,69,53,0,2,3,1,158,322
35047,"Kitchener South--Hespeler/Kitchener-Sud--Hespeler"," 133","Kitchener",44,0,11,65,38,0,0,5,0,163,387
35047,"Kitchener South--Hespeler/Kitchener-Sud--Hespeler"," 134","Kitchener",73,0,12,33,44,1,0,11,0,174,499
35047,"Kitchener South--Hespeler/Kitchener-Sud--Hespeler"," 135","Kitchener",37,1,11,84,112,2,1,5,2,255,536
35047,"Kitchener South--Hespeler/Kitchener-Sud--Hespeler"," 136","Kitchener",24,1,9,52,42,0,0,9,1,138,418
35047,"Kitchener South--Hespeler/Kitchener-Sud--Hespeler"," 137","Kitchener",36,1,5,46,35,0,1,5,2,131,439
35047,"Kitchener South--Hespeler/Kitchener-Sud--Hespeler"," 138","Kitchener",17,1,10,53,52,1,0,1,1,136,392
35047,"Kitchener South--Hespeler/Kitchener-Sud--Hespeler"," 139","Kitchener",21,0,16,105,63,0,0,13,0,218,545
35047,"Kitchener South--Hespeler/Kitchener-Sud--Hespeler"," 140","Kitchener",29,0,7,70,81,3,0,7,0,197,455
35047,"Kitchener South--Hespeler/Kitchener-Sud--Hespeler"," 141","Kitchener",13,0,6,45,44,0,0,10,0,118,308
35047,"Kitchener South--Hespeler/Kitchener-Sud--Hespeler"," 142","Kitchener",39,0,13,52,47,0,0,8,0,159,442
35047,"Kitchener South--Hespeler/Kitchener-Sud--Hespeler"," 143","Kitchener",47,0,9,41,64,0,0,14,0,175,454
35047,"Kitchener South--Hespeler/Kitchener-Sud--Hespeler"," 144","Kitchener",36,1,12,36,20,0,0,5,0,110,357
35047,"Kitchener South--Hespeler/Kitchener-Sud--Hespeler"," 145","Kitchener",27,0,7,57,56,0,0,3,2,152,437
35047,"Kitchener South--Hespeler/Kitchener-Sud--Hespeler"," 146","Kitchener",31,0,14,49,52,0,1,5,0,152,493
35047,"Kitchener South--Hespeler/Kitchener-Sud--Hespeler"," 147","Kitchener",37,0,21,67,74,1,0,11,1,212,486
35047,"Kitchener South--Hespeler/Kitchener-Sud--Hespeler"," 148","Kitchener",30,0,15,63,61,0,0,3,0,172,454
35047,"Kitchener South--Hespeler/Kitchener-Sud--Hespeler"," 149","Kitchener",29,0,5,59,37,0,0,5,2,137,357
35047,"Kitchener South--Hespeler/Kitchener-Sud--Hespeler"," 150","Kitchener",22,1,9,56,52,0,0,3,0,143,432
35047,"Kitchener South--Hespeler/Kitchener-Sud--Hespeler"," 151","Kitchener",29,0,15,44,54,0,0,12,0,154,425
35047,"Kitchener South--Hespeler/Kitchener-Sud--Hespeler"," 152","Kitchener",22,0,3,47,59,1,0,9,0,141,371
35047,"Kitchener South--Hespeler/Kitchener-Sud--Hespeler"," 153","Kitchener",24,0,10,58,43,0,0,6,0,141,425
35047,"Kitchener South--Hespeler/Kitchener-Sud--Hespeler"," 154","Kitchener",19,0,2,53,56,0,0,4,0,134,393
35047,"Kitchener South--Hespeler/Kitchener-Sud--Hespeler"," 155","Kitchener",23,1,8,70,72,0,0,6,4,184,539
35047,"Kitchener South--Hespeler/Kitchener-Sud--Hespeler"," 156","Kitchener",33,0,17,145,133,0,0,10,2,340,691
35047,"Kitchener South--Hespeler/Kitchener-Sud--Hespeler"," 157","Kitchener",20,0,18,76,79,1,0,5,3,202,455
35047,"Kitchener South--Hespeler/Kitchener-Sud--Hespeler"," 158","Kitchener",46,0,25,150,135,0,1,6,9,372,883
35047,"Kitchener South--Hespeler/Kitchener-Sud--Hespeler"," 159","Kitchener",31,1,13,69,88,0,1,8,3,214,519
35047,"Kitchener South--Hespeler/Kitchener-Sud--Hespeler"," 160","Kitchener",30,0,8,90,61,0,1,6,1,197,418
35047,"Kitchener South--Hespeler/Kitchener-Sud--Hespeler"," 161","Kitchener",28,0,8,89,51,0,0,3,3,182,513
35047,"Kitchener South--Hespeler/Kitchener-Sud--Hespeler"," 162","Kitchener",38,0,23,75,94,1,0,12,1,244,580
35047,"Kitchener South--Hespeler/Kitchener-Sud--Hespeler"," 163","Kitchener",40,1,16,57,58,0,0,4,5,181,436
35047,"Kitchener South--Hespeler/Kitchener-Sud--Hespeler"," 164","Kitchener",38,0,6,69,49,1,0,5,1,169,420
35047,"Kitchener South--Hespeler/Kitchener-Sud--Hespeler"," 165","Kitchener",51,0,14,57,46,0,0,5,3,176,426
