Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Kathy Borrelli,Laura Chesnik,Victor Green,Cheryl Hardcastle,Irek Kusmierczyk,Henry Oulevey,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 603","Tecumseh",462,1,96,210,559,8,13,1349,
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 604","Windsor",326,3,96,283,494,15,10,1227,
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 605","Windsor",279,5,166,261,394,8,4,1117,
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 606","Windsor",260,2,108,283,374,18,6,1051,
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 607","Windsor",226,1,125,306,363,17,6,1044,
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 608","Windsor",304,3,101,295,386,13,14,1116,
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 609","Windsor",141,3,81,295,311,15,4,850,
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 610","Windsor",167,2,94,291,298,13,2,867,
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 611","Windsor",136,3,96,249,107,7,1,599,
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 612","Windsor",192,4,157,460,220,8,13,1054,
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 613","Windsor",131,3,82,216,92,7,2,533,
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 614","Windsor",329,6,176,360,358,19,14,1262,
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 615","Windsor",168,3,109,179,223,6,9,697,
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 616","Windsor",205,2,134,212,419,8,9,989,
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 617","Windsor",271,3,120,202,412,3,7,1018,
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 618","Windsor",340,3,143,298,413,5,16,1218,
35116,"Windsor--Tecumseh/Windsor--Tecumseh"," 619","Tecumseh",162,1,79,111,143,7,1,504,
35116,"Windsor--Tecumseh/Windsor--Tecumseh",,Group 1/Groupe 1, 122,2,25,177,162,12,52,552,217
35116,"Windsor--Tecumseh/Windsor--Tecumseh",,Group 2/Groupe 2, 369,2,106,505,681,18,53,1734,
