Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Gilles Brodeur,Martin Francoeur,Andrew Holman,Jean Landry,Yves Levesque,Adis Simidzija,René Villemure,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24076,"Trois-Rivières/Trois-Rivières"," 513","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°68,,,,,,,,,22
24076,"Trois-Rivières/Trois-Rivières"," 514","Mobile poll/Bureau itinérant",7,83,0,1,16,4,33,6,150,237
24076,"Trois-Rivières/Trois-Rivières"," 515","Mobile poll/Bureau itinérant",1,35,0,0,15,0,9,7,67,84
24076,"Trois-Rivières/Trois-Rivières"," 516","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°92,,,,,,,,,21
24076,"Trois-Rivières/Trois-Rivières"," 517","Mobile poll/Bureau itinérant",2,31,0,0,16,3,16,4,72,99
24076,"Trois-Rivières/Trois-Rivières"," 518","Mobile poll/Bureau itinérant",0,5,0,0,4,1,4,2,16,30
24076,"Trois-Rivières/Trois-Rivières"," 519","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°102,,,,,,,,,30
24076,"Trois-Rivières/Trois-Rivières"," 520","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°98,,,,,,,,,10
24076,"Trois-Rivières/Trois-Rivières"," 521","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°102,,,,,,,,,43
24076,"Trois-Rivières/Trois-Rivières"," 522","Mobile poll/Bureau itinérant",2,10,2,1,9,0,6,1,31,65
24076,"Trois-Rivières/Trois-Rivières"," 523","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°166,,,,,,,,,27
24076,"Trois-Rivières/Trois-Rivières"," 524","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°166,,,,,,,,,22
24076,"Trois-Rivières/Trois-Rivières"," 525","Mobile poll/Bureau itinérant",0,19,0,0,13,1,3,2,38,53
24076,"Trois-Rivières/Trois-Rivières"," 526","Mobile poll/Bureau itinérant",Void/Supprimé,,,,,,,,,
24076,"Trois-Rivières/Trois-Rivières"," 527","Mobile poll/Bureau itinérant",1,18,1,0,29,2,11,2,64,77
24076,"Trois-Rivières/Trois-Rivières"," 528","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°169,,,,,,,,,60
24076,"Trois-Rivières/Trois-Rivières"," 529","Mobile poll/Bureau itinérant",Void/Supprimé,,,,,,,,,
24076,"Trois-Rivières/Trois-Rivières"," 530","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°141,,,,,,,,,147
24076,"Trois-Rivières/Trois-Rivières"," 531","Mobile poll/Bureau itinérant",Void/Supprimé,,,,,,,,,
24076,"Trois-Rivières/Trois-Rivières"," 532","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°141,,,,,,,,,20
24076,"Trois-Rivières/Trois-Rivières"," 533","Mobile poll/Bureau itinérant",2,36,1,1,6,0,15,8,69,114
24076,"Trois-Rivières/Trois-Rivières"," 534","Mobile poll/Bureau itinérant",4,42,1,0,27,1,17,6,98,165
24076,"Trois-Rivières/Trois-Rivières"," 535","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°107,,,,,,,,,35
24076,"Trois-Rivières/Trois-Rivières"," 536","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°149A,,,,,,,,,45
24076,"Trois-Rivières/Trois-Rivières"," 537","Mobile poll/Bureau itinérant",3,10,0,0,7,0,4,3,27,72
24076,"Trois-Rivières/Trois-Rivières"," 538","Mobile poll/Bureau itinérant",Void/Supprimé,,,,,,,,,
24076,"Trois-Rivières/Trois-Rivières"," 539","Mobile poll/Bureau itinérant",7,45,0,0,35,1,18,12,118,144
24076,"Trois-Rivières/Trois-Rivières"," 540","Mobile poll/Bureau itinérant",1,16,0,0,2,1,3,3,26,90
24076,"Trois-Rivières/Trois-Rivières"," 541","Mobile poll/Bureau itinérant",1,5,0,0,4,0,9,3,22,48
24076,"Trois-Rivières/Trois-Rivières"," 542","Mobile poll/Bureau itinérant",Void/Supprimé,,,,,,,,,
24076,"Trois-Rivières/Trois-Rivières"," 543","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°215,,,,,,,,,67
24076,"Trois-Rivières/Trois-Rivières"," 544","Mobile poll/Bureau itinérant",4,10,0,1,8,0,1,7,31,54
24076,"Trois-Rivières/Trois-Rivières"," 545","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°214,,,,,,,,,16
24076,"Trois-Rivières/Trois-Rivières"," 546","Mobile poll/Bureau itinérant",4,22,1,0,8,0,5,5,45,62
24076,"Trois-Rivières/Trois-Rivières"," 547","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°82,,,,,,,,,18
24076,"Trois-Rivières/Trois-Rivières"," 548","Mobile poll/Bureau itinérant",3,156,0,0,37,1,25,8,230,278
24076,"Trois-Rivières/Trois-Rivières"," 600","Trois-Rivières",20,394,19,27,519,84,492,23,1578,
24076,"Trois-Rivières/Trois-Rivières"," 601","Trois-Rivières",20,464,10,18,586,109,615,18,1840,
24076,"Trois-Rivières/Trois-Rivières"," 602","Trois-Rivières",32,401,9,8,410,57,380,16,1313,
24076,"Trois-Rivières/Trois-Rivières"," 603","Trois-Rivières",7,418,19,9,282,81,396,18,1230,
24076,"Trois-Rivières/Trois-Rivières"," 604","Trois-Rivières",22,517,17,30,480,79,539,31,1715,
24076,"Trois-Rivières/Trois-Rivières"," 605","Trois-Rivières",27,450,13,26,566,76,607,56,1821,
24076,"Trois-Rivières/Trois-Rivières"," 606","Trois-Rivières",11,354,12,15,350,59,363,32,1196,
24076,"Trois-Rivières/Trois-Rivières"," 607","Trois-Rivières",11,349,12,20,293,48,376,15,1124,
24076,"Trois-Rivières/Trois-Rivières"," 608","Trois-Rivières",18,359,20,22,323,55,410,33,1240,
24076,"Trois-Rivières/Trois-Rivières"," 609","Trois-Rivières",20,254,11,12,212,86,252,15,862,
24076,"Trois-Rivières/Trois-Rivières"," 610","Trois-Rivières",9,347,12,11,208,79,342,14,1022,
24076,"Trois-Rivières/Trois-Rivières"," 611","Trois-Rivières",8,268,11,11,283,61,257,25,924,
24076,"Trois-Rivières/Trois-Rivières"," 612","Trois-Rivières",20,428,9,20,413,63,454,25,1432,
24076,"Trois-Rivières/Trois-Rivières"," 613","Trois-Rivières",14,423,14,24,576,80,499,14,1644,
24076,"Trois-Rivières/Trois-Rivières"," 614","Trois-Rivières",20,385,11,25,499,65,512,22,1539,
24076,"Trois-Rivières/Trois-Rivières"," 615","Trois-Rivières",23,393,16,19,495,80,457,26,1509,
24076,"Trois-Rivières/Trois-Rivières"," 616","Trois-Rivières",20,434,16,19,629,90,533,16,1757,
24076,"Trois-Rivières/Trois-Rivières",,Group 1/Groupe 1, 7,79,7,5,48,44,91,8,289,102
24076,"Trois-Rivières/Trois-Rivières",,Group 2/Groupe 2, 19,913,22,22,721,128,783,85,2693,
