Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Theodora Bajkin,Marie-Eve Damour,Rhéal Fortin,Patricia Morrissette,Mary-Helen Paspaliaris,Keeyan Ravanshid,Jean-François René,Nicolas Riqueur-Lainé,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24063,"Rivière-du-Nord/Rivière-du-Nord"," 218","Saint-Jérôme",25,1,67,12,9,3,0,0,3,120,396
24063,"Rivière-du-Nord/Rivière-du-Nord"," 219","Saint-Jérôme",41,5,54,8,9,7,1,2,3,130,541
24063,"Rivière-du-Nord/Rivière-du-Nord"," 220","Saint-Jérôme",24,4,47,7,5,1,0,0,8,96,391
24063,"Rivière-du-Nord/Rivière-du-Nord"," 400","Saint-Jérôme",88,7,62,16,2,2,1,2,18,198,223
24063,"Rivière-du-Nord/Rivière-du-Nord"," 401","Saint-Jérôme",116,4,129,29,0,1,0,0,9,288,470
24063,"Rivière-du-Nord/Rivière-du-Nord"," 402","Saint-Jérôme",38,2,47,7,1,1,0,1,6,103,158
24063,"Rivière-du-Nord/Rivière-du-Nord"," 403","Saint-Jérôme",64,3,60,12,1,0,1,1,8,150,221
24063,"Rivière-du-Nord/Rivière-du-Nord"," 500","Sainte-Sophie",Merged with No./Fusionné avec le n°67,,,,,,,,,,52
24063,"Rivière-du-Nord/Rivière-du-Nord"," 501","Saint-Jérôme",Merged with No./Fusionné avec le n°112,,,,,,,,,,154
24063,"Rivière-du-Nord/Rivière-du-Nord"," 502","Saint-Jérôme",Merged with No./Fusionné avec le n°105,,,,,,,,,,52
24063,"Rivière-du-Nord/Rivière-du-Nord"," 503","Saint-Jérôme",Merged with No./Fusionné avec le n°139,,,,,,,,,,121
24063,"Rivière-du-Nord/Rivière-du-Nord"," 504","Saint-Jérôme",Merged with No./Fusionné avec le n°195,,,,,,,,,,161
24063,"Rivière-du-Nord/Rivière-du-Nord"," 505","Saint-Jérôme",Merged with No./Fusionné avec le n°195,,,,,,,,,,2
24063,"Rivière-du-Nord/Rivière-du-Nord"," 506","Saint-Jérôme",Merged with No./Fusionné avec le n°165,,,,,,,,,,12
24063,"Rivière-du-Nord/Rivière-du-Nord"," 507","Saint-Jérôme",Merged with No./Fusionné avec le n°183,,,,,,,,,,44
24063,"Rivière-du-Nord/Rivière-du-Nord"," 508","Saint-Jérôme",Merged with No./Fusionné avec le n°157,,,,,,,,,,25
24063,"Rivière-du-Nord/Rivière-du-Nord"," 509","Saint-Jérôme",Merged with No./Fusionné avec le n°129,,,,,,,,,,20
24063,"Rivière-du-Nord/Rivière-du-Nord"," 510","Saint-Jérôme",Merged with No./Fusionné avec le n°132,,,,,,,,,,12
24063,"Rivière-du-Nord/Rivière-du-Nord"," 511","Saint-Jérôme",Merged with No./Fusionné avec le n°194,,,,,,,,,,46
24063,"Rivière-du-Nord/Rivière-du-Nord"," 512","Saint-Jérôme",Merged with No./Fusionné avec le n°189,,,,,,,,,,10
24063,"Rivière-du-Nord/Rivière-du-Nord"," 513","Prévost",Merged with No./Fusionné avec le n°77,,,,,,,,,,9
24063,"Rivière-du-Nord/Rivière-du-Nord"," 514","Saint-Jérôme",Merged with No./Fusionné avec le n°124,,,,,,,,,,210
24063,"Rivière-du-Nord/Rivière-du-Nord"," 515","Saint-Jérôme",Merged with No./Fusionné avec le n°134B,,,,,,,,,,141
24063,"Rivière-du-Nord/Rivière-du-Nord"," 516","Saint-Jérôme",Merged with No./Fusionné avec le n°161,,,,,,,,,,26
24063,"Rivière-du-Nord/Rivière-du-Nord"," 517","Saint-Jérôme",Merged with No./Fusionné avec le n°215,,,,,,,,,,39
24063,"Rivière-du-Nord/Rivière-du-Nord"," 518","Prévost",Merged with No./Fusionné avec le n°35,,,,,,,,,,43
24063,"Rivière-du-Nord/Rivière-du-Nord"," 600","Saint-Hippolyte",173,12,400,88,31,20,2,2,15,743,
24063,"Rivière-du-Nord/Rivière-du-Nord"," 601","Prévost",296,18,799,161,73,34,5,8,18,1412,
24063,"Rivière-du-Nord/Rivière-du-Nord"," 602","Saint-Hippolyte",122,4,412,78,38,35,2,4,11,706,
24063,"Rivière-du-Nord/Rivière-du-Nord"," 603","Saint-Hippolyte",102,14,453,93,41,19,3,6,9,740,
24063,"Rivière-du-Nord/Rivière-du-Nord"," 604","Sainte-Sophie",104,14,375,97,24,38,4,4,20,680,
24063,"Rivière-du-Nord/Rivière-du-Nord"," 605","Sainte-Sophie",148,7,379,95,36,38,3,3,13,722,
24063,"Rivière-du-Nord/Rivière-du-Nord"," 606","Sainte-Sophie",132,13,490,101,36,38,4,2,12,828,
24063,"Rivière-du-Nord/Rivière-du-Nord"," 607","Sainte-Sophie",111,10,339,94,18,19,7,0,12,610,
24063,"Rivière-du-Nord/Rivière-du-Nord"," 608","Saint-Jérôme",204,7,533,118,50,12,3,2,21,950,
24063,"Rivière-du-Nord/Rivière-du-Nord"," 609","Saint-Jérôme",226,20,553,134,43,25,2,3,25,1031,
24063,"Rivière-du-Nord/Rivière-du-Nord"," 610","Prévost",381,21,953,217,75,38,11,5,29,1730,
24063,"Rivière-du-Nord/Rivière-du-Nord"," 611","Saint-Jérôme",248,13,708,130,45,23,9,5,8,1189,
24063,"Rivière-du-Nord/Rivière-du-Nord"," 612","Saint-Jérôme",384,20,779,188,57,18,13,6,25,1490,
24063,"Rivière-du-Nord/Rivière-du-Nord"," 613","Saint-Jérôme",282,19,629,129,29,14,4,3,24,1133,
24063,"Rivière-du-Nord/Rivière-du-Nord"," 614","Saint-Jérôme",226,22,590,126,47,31,8,3,23,1076,
24063,"Rivière-du-Nord/Rivière-du-Nord"," 615","Saint-Jérôme",307,25,587,140,50,21,7,3,26,1166,
24063,"Rivière-du-Nord/Rivière-du-Nord"," 616","Saint-Jérôme",314,18,722,142,48,29,3,5,15,1296,
24063,"Rivière-du-Nord/Rivière-du-Nord"," 617","Saint-Jérôme",279,18,644,111,40,25,8,3,18,1146,
24063,"Rivière-du-Nord/Rivière-du-Nord"," 618","Saint-Jérôme",277,17,613,120,46,31,5,6,36,1151,
24063,"Rivière-du-Nord/Rivière-du-Nord"," 619","Saint-Jérôme",178,12,579,121,26,14,3,5,10,948,
24063,"Rivière-du-Nord/Rivière-du-Nord"," 620","Saint-Jérôme",332,18,772,161,55,22,2,2,14,1378,
24063,"Rivière-du-Nord/Rivière-du-Nord",,Group 1/Groupe 1, 57,2,68,31,28,2,0,1,9,198,55
24063,"Rivière-du-Nord/Rivière-du-Nord",,Group 2/Groupe 2, 532,42,1232,259,113,35,2,7,69,2291,
