Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Michelle Bowman,Tristan Dineen,Aisha Jahangir,Joshua Leier,Karen Levenson,Lloyd Longfield,Ashish Sachan,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35032,"Guelph/Guelph"," 119","Guelph",39,3,57,10,0,109,43,1,262,605
35032,"Guelph/Guelph"," 120A","Guelph",17,1,54,11,2,89,49,1,224,376
35032,"Guelph/Guelph"," 120B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°509,,,,,,,,,36
35032,"Guelph/Guelph"," 121","Guelph",13,1,57,7,0,47,39,1,165,395
35032,"Guelph/Guelph"," 122","Guelph",31,1,114,8,0,107,65,0,326,650
35032,"Guelph/Guelph"," 123","Guelph",27,1,72,7,1,111,79,1,299,612
35032,"Guelph/Guelph"," 124","Guelph",16,0,43,6,1,75,31,0,172,523
35032,"Guelph/Guelph"," 125","Guelph",13,0,54,16,0,83,37,0,203,588
35032,"Guelph/Guelph"," 126","Guelph",3,1,21,4,0,81,48,2,160,451
35032,"Guelph/Guelph"," 127","Guelph",10,0,24,3,0,76,50,0,163,428
35032,"Guelph/Guelph"," 128","Guelph",7,0,33,8,0,55,53,0,156,475
35032,"Guelph/Guelph"," 129","Guelph",12,1,49,18,0,76,42,0,198,584
35032,"Guelph/Guelph"," 130","Guelph",13,0,64,11,0,95,48,0,231,540
35032,"Guelph/Guelph"," 131","Guelph",9,0,29,7,0,47,44,0,136,334
35032,"Guelph/Guelph"," 132","Guelph",15,1,26,9,0,63,35,1,150,354
35032,"Guelph/Guelph"," 133","Guelph",11,0,32,13,1,128,69,1,255,612
35032,"Guelph/Guelph"," 134","Guelph",14,0,75,10,2,114,85,1,301,733
35032,"Guelph/Guelph"," 135","Guelph",15,0,45,11,0,59,55,0,185,441
35032,"Guelph/Guelph"," 136","Guelph",8,1,44,10,0,73,48,0,184,667
35032,"Guelph/Guelph"," 137","Guelph",8,1,43,12,1,70,49,0,184,614
35032,"Guelph/Guelph"," 138","Guelph",8,1,13,1,0,91,63,0,177,456
35032,"Guelph/Guelph"," 139","Guelph",11,0,33,8,0,46,37,1,136,476
