Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Guled Arale,Mohsin Bhuiyan,Bill Blair,Amanda Cain,Ramona Pache,David Edward-Ooi Poon,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35098,"Scarborough Southwest/Scarborough-Sud-Ouest"," 426","Toronto",Merged with No./Fusionné avec le n°105,,,,,,,,431
35098,"Scarborough Southwest/Scarborough-Sud-Ouest"," 427","Toronto",28,28,297,4,2,0,3,362,382
35098,"Scarborough Southwest/Scarborough-Sud-Ouest"," 428","Toronto",Merged with No./Fusionné avec le n°427,,,,,,,,445
35098,"Scarborough Southwest/Scarborough-Sud-Ouest"," 429","Toronto",45,23,254,1,1,0,0,324,403
35098,"Scarborough Southwest/Scarborough-Sud-Ouest"," 430","Toronto",Merged with No./Fusionné avec le n°429,,,,,,,,400
35098,"Scarborough Southwest/Scarborough-Sud-Ouest"," 431","Toronto",9,9,36,1,0,1,0,56,144
35098,"Scarborough Southwest/Scarborough-Sud-Ouest"," 432","Toronto",8,12,59,1,3,0,2,85,175
35098,"Scarborough Southwest/Scarborough-Sud-Ouest"," 433","Toronto",26,24,182,1,2,0,2,237,631
35098,"Scarborough Southwest/Scarborough-Sud-Ouest"," 434","Toronto",Merged with No./Fusionné avec le n°129,,,,,,,,277
35098,"Scarborough Southwest/Scarborough-Sud-Ouest"," 435","Toronto",Merged with No./Fusionné avec le n°131,,,,,,,,269
35098,"Scarborough Southwest/Scarborough-Sud-Ouest"," 500","Mobile poll/Bureau itinérant",5,16,36,1,1,1,0,60,101
35098,"Scarborough Southwest/Scarborough-Sud-Ouest"," 501","Mobile poll/Bureau itinérant",2,2,7,0,0,0,1,12,108
35098,"Scarborough Southwest/Scarborough-Sud-Ouest"," 502","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°82,,,,,,,,124
35098,"Scarborough Southwest/Scarborough-Sud-Ouest"," 503","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°103,,,,,,,,78
35098,"Scarborough Southwest/Scarborough-Sud-Ouest"," 504","Mobile poll/Bureau itinérant",5,7,25,2,1,0,1,41,67
35098,"Scarborough Southwest/Scarborough-Sud-Ouest"," 505","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°90,,,,,,,,202
35098,"Scarborough Southwest/Scarborough-Sud-Ouest"," 506","Mobile poll/Bureau itinérant",3,10,26,1,0,0,0,40,72
35098,"Scarborough Southwest/Scarborough-Sud-Ouest"," 600","Toronto",179,322,814,31,35,3,9,1393,
35098,"Scarborough Southwest/Scarborough-Sud-Ouest"," 601","Toronto",60,109,340,9,14,3,5,540,
35098,"Scarborough Southwest/Scarborough-Sud-Ouest"," 602","Toronto",149,212,721,19,39,2,5,1147,
35098,"Scarborough Southwest/Scarborough-Sud-Ouest"," 603","Toronto",261,308,923,22,40,3,5,1562,
35098,"Scarborough Southwest/Scarborough-Sud-Ouest"," 604","Toronto",131,182,532,14,28,4,4,895,
35098,"Scarborough Southwest/Scarborough-Sud-Ouest"," 605","Toronto",219,405,858,41,36,0,5,1564,
35098,"Scarborough Southwest/Scarborough-Sud-Ouest"," 606","Toronto",181,416,822,39,47,7,7,1519,
35098,"Scarborough Southwest/Scarborough-Sud-Ouest"," 607","Toronto",254,396,799,54,52,2,6,1563,
35098,"Scarborough Southwest/Scarborough-Sud-Ouest"," 608","Toronto",145,226,867,33,39,3,6,1319,
35098,"Scarborough Southwest/Scarborough-Sud-Ouest"," 609","Toronto",166,238,691,27,35,4,11,1172,
35098,"Scarborough Southwest/Scarborough-Sud-Ouest"," 610","Toronto",252,269,804,36,28,5,1,1395,
35098,"Scarborough Southwest/Scarborough-Sud-Ouest"," 611","Toronto",204,377,763,30,33,6,3,1416,
35098,"Scarborough Southwest/Scarborough-Sud-Ouest",,Group 1/Groupe 1, 94,60,192,19,7,2,25,399,184
35098,"Scarborough Southwest/Scarborough-Sud-Ouest",,Group 2/Groupe 2, 355,358,1200,64,33,4,94,2108,
