Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Abdifatah Abdi,Brian Deheer,Laila Goodridge,Shawn McDonald,Jonathan Meyers,Garnett Robinson,Hughie Shane Whitmore,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 604","Wood Buffalo",64,2,423,68,4,48,0,3,612,
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 605","Wood Buffalo",36,2,465,71,3,27,0,3,607,
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 606","Fort McMurray",32,0,347,73,3,30,1,2,488,
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 607","Fort McMurray",16,1,406,65,5,33,0,2,528,
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 608","Fort McMurray",31,6,455,83,2,55,1,1,634,
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 609","Wood Buffalo",43,2,424,64,5,30,0,3,571,
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 610","Wood Buffalo",52,5,139,29,5,16,0,1,247,
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 611","Wood Buffalo",29,6,269,48,5,41,3,1,402,
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 612","Fort McMurray",49,6,481,94,11,66,2,3,712,
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 613","Fort McMurray",41,3,535,101,5,86,0,2,773,
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 614","Fort McMurray",17,1,308,42,4,35,0,2,409,
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 615","Fort McMurray",20,2,405,61,8,53,0,4,553,
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 616","Gregoire Lake 176",9,3,116,24,0,10,0,0,162,
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 617","Wabasca",29,2,66,6,1,65,0,0,169,
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 618","Calling Lake ",0,0,0,0,0,0,0,0,0,
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 619","Janvier 194",0,0,0,0,0,0,0,0,0,
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 620","Conklin",8,1,7,4,0,8,0,0,28,
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 621","Lac La Biche",27,26,362,97,5,76,0,1,594,
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 622","Fort Kent",12,8,478,104,14,25,0,7,648,
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 623","Cold Lake",58,11,659,112,21,110,4,5,980,
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 624","Cold Lake",46,5,483,94,10,77,1,1,717,
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 625","Cold Lake",45,1,447,68,12,69,2,2,646,
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake"," 626","Lac La Biche",18,4,339,115,10,42,1,0,529,
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake",,Group 1/Groupe 1, 97,19,719,100,9,121,11,57,1133,164
48023,"Fort McMurray--Cold Lake/Fort McMurray--Cold Lake",,Group 2/Groupe 2, 134,34,1276,262,35,194,7,78,2020,
