Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,David Busch,Dock Currie,David Hilderman,Elizabeth May,Sherri Moore-Arbour,Sabina Singh,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 604","Mayne",37,0,15,223,52,72,2,401,
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 605","Pender Island",120,2,29,384,121,149,0,805,
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 606","Ganges",93,0,63,518,74,96,1,845,
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 607","North Saanich",478,5,34,587,325,262,1,1692,
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 608","Sidney",529,3,38,631,344,271,11,1827,
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 609","North Saanich",657,3,39,528,241,208,4,1680,
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 610","Central Saanich",245,0,29,205,120,134,0,733,
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 611","Central Saanich",390,2,54,529,256,228,0,1459,
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 612","Central Saanich",300,1,30,553,180,172,0,1236,
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 613","Central Saanich",349,3,50,380,201,168,4,1155,
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 614","Saanich",535,2,40,499,366,219,2,1663,
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 615","Saanich",276,0,14,259,208,77,1,835,
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 616","Saanich",307,0,29,293,236,150,2,1017,
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 617","Saanich",227,3,23,378,248,226,5,1110,
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 618","Saanich",266,1,18,474,248,163,5,1175,
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 619","Saanich",187,0,19,315,206,221,4,952,
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 620","Saanich",183,3,14,337,197,227,1,962,
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 621","Saanich",207,1,27,475,247,275,6,1238,
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands"," 622","Saanich",136,0,30,403,213,199,4,985,
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands",,Group 1/Groupe 1, 297,3,29,568,223,225,65,1410,344
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands",,Group 2/Groupe 2, 1724,14,83,3318,1534,1116,111,7900,
