Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Gary Gladstone,Samuel Greenfield,Melissa Lantsman,Daniella Mikanovsky,Raz Razvi,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35104,"Thornhill/Thornhill"," 99","Vaughan",Merged with No./Fusionné avec le n°100,,,,,,,382
35104,"Thornhill/Thornhill"," 100","Vaughan",61,7,142,1,11,3,225,469
35104,"Thornhill/Thornhill"," 101","Vaughan",14,0,50,0,5,0,69,447
35104,"Thornhill/Thornhill"," 102","Vaughan",30,6,42,4,6,0,88,490
35104,"Thornhill/Thornhill"," 103","Vaughan",54,5,81,3,8,3,154,420
35104,"Thornhill/Thornhill"," 104","Vaughan",Merged with No./Fusionné avec le n°103,,,,,,,362
35104,"Thornhill/Thornhill"," 105","Vaughan",38,4,93,1,10,0,146,380
35104,"Thornhill/Thornhill"," 106","Vaughan",Merged with No./Fusionné avec le n°105,,,,,,,320
35104,"Thornhill/Thornhill"," 107","Vaughan",25,7,75,4,6,0,117,473
35104,"Thornhill/Thornhill"," 108","Vaughan",Merged with No./Fusionné avec le n°107,,,,,,,364
35104,"Thornhill/Thornhill"," 109","Vaughan",56,7,122,7,16,1,209,516
35104,"Thornhill/Thornhill"," 110","Vaughan",37,11,89,4,11,0,152,465
35104,"Thornhill/Thornhill"," 111","Vaughan",86,15,130,4,16,2,253,496
35104,"Thornhill/Thornhill"," 112","Vaughan",Merged with No./Fusionné avec le n°111,,,,,,,299
35104,"Thornhill/Thornhill"," 113","Vaughan",Merged with No./Fusionné avec le n°114,,,,,,,349
35104,"Thornhill/Thornhill"," 114","Vaughan",77,8,96,4,19,2,206,381
35104,"Thornhill/Thornhill"," 115","Vaughan",84,16,115,10,18,0,243,491
35104,"Thornhill/Thornhill"," 116","Vaughan",Merged with No./Fusionné avec le n°115,,,,,,,457
35104,"Thornhill/Thornhill"," 117","Vaughan",54,6,40,0,8,0,108,446
35104,"Thornhill/Thornhill"," 118","Vaughan",16,4,57,2,4,1,84,538
35104,"Thornhill/Thornhill"," 119","Vaughan",Merged with No./Fusionné avec le n°120,,,,,,,420
