Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Lorilee Carrier,Richard Dunn,Serge Landry,Ginette Petitpas Taylor,Darlene Smith,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 545","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°34,,,,,,,5
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 546","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°52,,,,,,,10
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 547","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°53,,,,,,,28
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 548","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°47,,,,,,,18
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 549","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°49,,,,,,,31
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 550","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°54,,,,,,,33
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 551","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°54,,,,,,,8
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 552","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°86,,,,,,,72
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 553","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°7,,,,,,,5
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 554","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°25,,,,,,,14
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 555","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°42,,,,,,,71
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 556","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°42,,,,,,,83
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 557","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°7,,,,,,,11
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 558","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°135,,,,,,,13
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 559","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°42,,,,,,,26
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 560","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°42,,,,,,,28
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 561","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°42,,,,,,,27
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 562","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°124,,,,,,,59
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 600","Moncton",57,20,113,325,202,5,722,
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 601","Moncton",44,20,108,383,268,0,823,
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 602","Moncton",52,12,72,365,424,2,927,
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 603","Moncton",50,20,107,398,250,2,827,
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 604","Moncton",40,40,117,514,147,3,861,
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 605","Moncton",52,38,148,645,231,5,1119,
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 606","Moncton",20,21,51,435,197,6,730,
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 607","Moncton",27,41,80,331,87,3,569,
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 608","Moncton",35,52,126,493,263,4,973,
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 609","Moncton",48,25,71,330,268,5,747,
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 610","Riverview",59,25,144,481,435,4,1148,
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 611","Riverview",46,35,150,393,349,2,975,
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 612","Moncton",13,22,66,166,44,2,313,
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 613","Moncton",35,22,110,562,248,1,978,
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 614","Dieppe",48,36,123,951,169,11,1338,
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 615","Dieppe",56,29,149,815,166,5,1220,
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 616","Moncton",18,10,49,200,122,3,402,
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 617","Moncton",40,20,62,318,184,0,624,
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 618","Moncton",39,14,100,336,214,0,703,
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 619","Moncton",24,14,60,178,86,1,363,
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 620","Moncton",24,23,63,231,63,3,407,
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 621","Moncton",28,21,47,225,91,2,414,
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe"," 622","Moncton",25,34,92,467,146,4,768,
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe",,Group 1/Groupe 1, 25,20,93,255,140,14,547,135
13007,"Moncton--Riverview--Dieppe/Moncton--Riverview--Dieppe",,Group 2/Groupe 2, 170,107,312,1821,727,134,3271,
