Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Ivan Byard,Brian Chang,Marci Ien,Syed Jaffery,Ryan Lester,Annamie Paul,Peter Stubbins,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35108,"Toronto Centre/Toronto-Centre"," 451-2","Toronto",Merged with No./Fusionné avec le n°451-1,,,,,,,,,262
35108,"Toronto Centre/Toronto-Centre"," 452","Toronto",Merged with No./Fusionné avec le n°12,,,,,,,,,362
35108,"Toronto Centre/Toronto-Centre"," 453","Toronto",1,70,140,9,26,33,0,4,283,438
35108,"Toronto Centre/Toronto-Centre"," 454","Toronto",Merged with No./Fusionné avec le n°60,,,,,,,,,314
35108,"Toronto Centre/Toronto-Centre"," 455","Toronto",Merged with No./Fusionné avec le n°461,,,,,,,,,209
35108,"Toronto Centre/Toronto-Centre"," 456","Toronto",Void/Supprimé,,,,,,,,,
35108,"Toronto Centre/Toronto-Centre"," 457","Toronto",Merged with No./Fusionné avec le n°97,,,,,,,,,148
35108,"Toronto Centre/Toronto-Centre"," 457-1","Toronto",2,41,63,1,28,8,1,1,145,331
35108,"Toronto Centre/Toronto-Centre"," 458","Toronto",Merged with No./Fusionné avec le n°73,,,,,,,,,254
35108,"Toronto Centre/Toronto-Centre"," 459","Toronto",Merged with No./Fusionné avec le n°463-1,,,,,,,,,257
35108,"Toronto Centre/Toronto-Centre"," 460","Toronto",2,32,110,8,20,16,0,4,192,313
35108,"Toronto Centre/Toronto-Centre"," 460-1","Toronto",2,40,94,2,17,11,1,1,168,351
35108,"Toronto Centre/Toronto-Centre"," 461","Toronto",2,32,92,6,9,7,1,1,150,361
35108,"Toronto Centre/Toronto-Centre"," 462","Toronto",Merged with No./Fusionné avec le n°77,,,,,,,,,266
35108,"Toronto Centre/Toronto-Centre"," 462-1","Toronto",Merged with No./Fusionné avec le n°471,,,,,,,,,260
35108,"Toronto Centre/Toronto-Centre"," 462-2","Toronto",Merged with No./Fusionné avec le n°80,,,,,,,,,102
35108,"Toronto Centre/Toronto-Centre"," 463","Toronto",Merged with No./Fusionné avec le n°68,,,,,,,,,253
35108,"Toronto Centre/Toronto-Centre"," 463-1","Toronto",3,53,105,5,36,15,0,0,217,339
35108,"Toronto Centre/Toronto-Centre"," 463-2","Toronto",Merged with No./Fusionné avec le n°460,,,,,,,,,272
35108,"Toronto Centre/Toronto-Centre"," 464","Toronto",Merged with No./Fusionné avec le n°460-1,,,,,,,,,227
35108,"Toronto Centre/Toronto-Centre"," 464-1","Toronto",Merged with No./Fusionné avec le n°464-2,,,,,,,,,196
35108,"Toronto Centre/Toronto-Centre"," 464-2","Toronto",0,40,124,6,43,16,0,0,229,415
35108,"Toronto Centre/Toronto-Centre"," 464-3","Toronto",Merged with No./Fusionné avec le n°99,,,,,,,,,249
35108,"Toronto Centre/Toronto-Centre"," 465","Toronto",1,117,86,3,28,19,0,0,254,346
35108,"Toronto Centre/Toronto-Centre"," 466","Toronto",Void/Supprimé,,,,,,,,,
35108,"Toronto Centre/Toronto-Centre"," 467","Toronto",Merged with No./Fusionné avec le n°101,,,,,,,,,240
35108,"Toronto Centre/Toronto-Centre"," 468","Toronto",Merged with No./Fusionné avec le n°469,,,,,,,,,207
35108,"Toronto Centre/Toronto-Centre"," 469","Toronto",0,59,125,5,64,31,0,0,284,343
35108,"Toronto Centre/Toronto-Centre"," 470","Toronto",Merged with No./Fusionné avec le n°88,,,,,,,,,344
35108,"Toronto Centre/Toronto-Centre"," 471","Toronto",0,51,117,6,38,40,0,0,252,449
35108,"Toronto Centre/Toronto-Centre"," 472","Toronto",0,37,100,4,64,10,0,0,215,486
35108,"Toronto Centre/Toronto-Centre"," 472-1","Toronto",Merged with No./Fusionné avec le n°100,,,,,,,,,311
35108,"Toronto Centre/Toronto-Centre"," 472-2","Toronto",Merged with No./Fusionné avec le n°472,,,,,,,,,142
35108,"Toronto Centre/Toronto-Centre"," 473","Toronto",Merged with No./Fusionné avec le n°475,,,,,,,,,226
35108,"Toronto Centre/Toronto-Centre"," 474","Toronto",Merged with No./Fusionné avec le n°93,,,,,,,,,297
35108,"Toronto Centre/Toronto-Centre"," 475","Toronto",1,57,106,7,16,20,0,1,208,478
35108,"Toronto Centre/Toronto-Centre"," 476","Toronto",Merged with No./Fusionné avec le n°77,,,,,,,,,157
35108,"Toronto Centre/Toronto-Centre"," 477","Toronto",Merged with No./Fusionné avec le n°94,,,,,,,,,186
35108,"Toronto Centre/Toronto-Centre"," 500","Mobile poll/Bureau itinérant",Electors voted by special ballot in Group 2./Les électeurs ont voté par bulletin de vote spécial dans le Groupe 2.,,,,,,,,,4
35108,"Toronto Centre/Toronto-Centre"," 501","Mobile poll/Bureau itinérant",0,3,20,0,3,3,1,0,30,72
35108,"Toronto Centre/Toronto-Centre"," 502","Mobile poll/Bureau itinérant",3,6,31,1,9,3,2,1,56,109
35108,"Toronto Centre/Toronto-Centre"," 600","Toronto",11,275,683,18,114,175,4,3,1283,
35108,"Toronto Centre/Toronto-Centre"," 601","Toronto",4,169,656,22,103,54,2,6,1016,
35108,"Toronto Centre/Toronto-Centre"," 602","Toronto",2,245,503,22,87,90,2,3,954,
35108,"Toronto Centre/Toronto-Centre"," 603","Toronto",5,365,732,32,125,146,5,4,1414,
35108,"Toronto Centre/Toronto-Centre"," 604","Toronto",5,282,667,34,146,102,4,6,1246,
35108,"Toronto Centre/Toronto-Centre"," 605","Toronto",4,338,667,24,114,93,4,3,1247,
35108,"Toronto Centre/Toronto-Centre"," 606","Toronto",4,247,546,12,111,86,1,2,1009,
35108,"Toronto Centre/Toronto-Centre"," 607","Toronto",1,210,461,13,76,87,2,8,858,
35108,"Toronto Centre/Toronto-Centre"," 608","Toronto",6,212,466,17,67,63,1,12,844,
35108,"Toronto Centre/Toronto-Centre"," 609","Toronto",6,273,522,25,135,80,1,8,1050,
35108,"Toronto Centre/Toronto-Centre"," 610","Toronto",2,191,325,16,70,65,1,2,672,
35108,"Toronto Centre/Toronto-Centre"," 611","Toronto",9,375,845,31,111,132,2,16,1521,
35108,"Toronto Centre/Toronto-Centre"," 612","Toronto",2,337,647,17,149,108,0,4,1264,
35108,"Toronto Centre/Toronto-Centre"," 613","Toronto",1,297,675,21,186,103,4,5,1292,
35108,"Toronto Centre/Toronto-Centre"," 614","Toronto",2,190,573,32,221,97,0,2,1117,
35108,"Toronto Centre/Toronto-Centre",,Group 1/Groupe 1, 4,251,511,14,133,109,2,39,1063,1042
35108,"Toronto Centre/Toronto-Centre",,Group 2/Groupe 2, 5,757,1438,35,292,227,9,86,2849,
