Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Alana DeLong,Mark Hecht,Blair Herbert,Alistair MacGregor,Lia Versaevel,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 511","Mobile poll/Bureau itinérant",7,3,7,19,3,7,46,70
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 512","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°75,,,,,,,36
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 513","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°121,,,,,,,7
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 514","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°137,,,,,,,13
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 515","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°210,,,,,,,48
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 600","Cowichan Valley",252,71,117,373,47,4,864,
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 601","North Cowichan",420,154,143,536,75,2,1330,
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 602","North Cowichan",239,49,141,290,41,3,763,
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 603","North Cowichan",412,47,163,504,56,4,1186,
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 604","North Cowichan",261,22,85,305,18,2,693,
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 605","North Cowichan",416,232,151,374,65,3,1241,
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 606","Duncan--North Cowichan",214,56,176,471,53,7,977,
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 607","Cowichan 1--Eagle Heights",241,92,117,386,43,3,882,
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 608","Cowichan 1--Cowichan Bay",173,38,73,304,50,0,638,
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 609","Cowichan Bay",239,63,150,377,69,4,902,
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 610","Hatch Point 12",433,41,176,363,64,2,1079,
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 611","Cobble Hill",236,60,132,265,42,7,742,
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 612","Shawnigan Lake",380,121,154,468,115,2,1240,
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 613","Mill Bay--Malahat 11",354,58,200,398,71,3,1084,
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 614","Langford",167,72,136,319,43,0,737,
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 615","Langford",179,32,136,269,32,1,649,
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 616","Langford",138,48,124,263,32,1,606,
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 617","Langford",137,36,102,250,23,0,548,
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 618","Langford",285,48,158,399,40,2,932,
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 619","Langford",242,58,175,453,50,4,982,
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 620","Cowichan Valley",164,51,63,194,30,1,503,
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 621","North Cowichan",271,68,96,355,47,1,838,
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 622","North Cowichan",237,56,74,325,33,2,727,
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 623","Langford",189,29,104,174,27,3,526,
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 624","Langford",228,32,124,162,11,1,558,
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 625","Langford",196,50,151,323,36,0,756,
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 626","Langford",136,48,120,350,31,1,686,
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 627","Langford",127,23,98,231,26,2,507,
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 628","Langford",241,51,172,313,22,0,799,
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford",,Group 1/Groupe 1, 249,35,78,277,51,33,723,166
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford",,Group 2/Groupe 2, 1547,206,1090,2783,289,94,6009,
