Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Carolyn Bennett,Sidney Coles,Phil De Luna,Stephanie Osadchuk,Peter Remedios,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 129","Toronto",Merged with No./Fusionné avec le n°126,,,,,,,333
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 130","Toronto",72,51,22,26,7,1,179,461
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 131","Toronto",Merged with No./Fusionné avec le n°133,,,,,,,346
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 132","Toronto",129,37,22,30,10,10,238,400
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 133","Toronto",126,46,32,53,11,0,268,374
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 134","Toronto",Merged with No./Fusionné avec le n°69,,,,,,,476
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 135","Toronto",Merged with No./Fusionné avec le n°113,,,,,,,301
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 136","Toronto",Merged with No./Fusionné avec le n°111,,,,,,,304
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 137","Toronto",Merged with No./Fusionné avec le n°110,,,,,,,348
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 138","Toronto",118,17,13,86,2,0,236,386
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 139","Toronto",63,9,4,33,4,1,114,437
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 140","Toronto",127,48,24,56,6,0,261,630
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 141","Toronto",88,19,16,23,10,0,156,470
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 142","Toronto",Merged with No./Fusionné avec le n°138,,,,,,,295
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 143","Toronto",Merged with No./Fusionné avec le n°145,,,,,,,370
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 144","Toronto",Merged with No./Fusionné avec le n°132,,,,,,,429
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 145","Toronto",193,52,26,37,9,0,317,466
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 146","Toronto",77,30,11,38,8,1,165,553
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 147","Toronto",153,33,42,51,11,0,290,402
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 148","Toronto",117,57,41,45,4,0,264,583
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 149","Toronto",94,29,14,30,6,2,175,444
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 150","Toronto",106,35,25,32,9,5,212,570
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 151","Toronto",100,37,21,37,5,0,200,508
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 152","Toronto",Merged with No./Fusionné avec le n°161,,,,,,,368
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 153","Toronto",110,20,33,34,3,0,200,439
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 154","Toronto",108,32,22,64,2,1,229,725
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 155","Toronto",Merged with No./Fusionné avec le n°157,,,,,,,414
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 156","Toronto",Merged with No./Fusionné avec le n°147,,,,,,,397
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 157","Toronto",111,65,30,27,5,0,238,311
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 158","Toronto",57,41,15,16,4,2,135,419
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 159","Toronto",82,31,20,36,2,0,171,449
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 160","Toronto",135,77,29,36,10,2,289,419
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 161","Toronto",123,30,29,33,13,0,228,443
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 162","Toronto",Merged with No./Fusionné avec le n°164,,,,,,,353
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 163","Toronto",83,47,21,26,3,2,182,526
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 164","Toronto",120,44,24,26,10,2,226,371
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 165","Toronto",Merged with No./Fusionné avec le n°160,,,,,,,370
35090,"Toronto--St. Paul's/Toronto--St. Paul's"," 400","Toronto",Merged with No./Fusionné avec le n°5,,,,,,,221
