Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Thomas Androvic,Brian Dias,Johannes Kotilainen,Maleeha Shahid,Ryan Turnbull,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35114,"Whitby/Whitby"," 149B","Mobile poll/Bureau itinérant",0,6,1,12,18,0,37,38
35114,"Whitby/Whitby"," 150","Whitby",24,84,11,160,176,3,458,405
35114,"Whitby/Whitby"," 151","Whitby",16,66,9,152,115,1,359,417
35114,"Whitby/Whitby"," 152","Whitby",Merged with No./Fusionné avec le n°87,,,,,,,332
35114,"Whitby/Whitby"," 153","Whitby",Merged with No./Fusionné avec le n°139,,,,,,,343
35114,"Whitby/Whitby"," 154","Whitby",16,59,10,100,169,3,357,687
35114,"Whitby/Whitby"," 155","Whitby",11,64,9,109,129,1,323,485
35114,"Whitby/Whitby"," 156","Whitby",23,75,4,90,151,2,345,670
35114,"Whitby/Whitby"," 157","Whitby",Merged with No./Fusionné avec le n°154,,,,,,,371
35114,"Whitby/Whitby"," 158","Whitby",12,54,3,88,105,0,262,392
35114,"Whitby/Whitby"," 159","Whitby",12,56,4,100,120,3,295,457
35114,"Whitby/Whitby"," 160","Whitby",Merged with No./Fusionné avec le n°159,,,,,,,454
35114,"Whitby/Whitby"," 161","Whitby",Merged with No./Fusionné avec le n°158,,,,,,,395
35114,"Whitby/Whitby"," 162","Whitby",Merged with No./Fusionné avec le n°163,,,,,,,359
35114,"Whitby/Whitby"," 163","Whitby",13,51,4,102,165,0,335,515
35114,"Whitby/Whitby"," 164","Whitby",Merged with No./Fusionné avec le n°165,,,,,,,372
35114,"Whitby/Whitby"," 165","Whitby",15,67,6,96,108,1,293,402
35114,"Whitby/Whitby"," 166","Whitby",Merged with No./Fusionné avec le n°167,,,,,,,358
35114,"Whitby/Whitby"," 167","Whitby",17,56,7,61,100,1,242,379
35114,"Whitby/Whitby"," 168","Whitby",10,56,6,93,100,0,265,400
35114,"Whitby/Whitby"," 169","Whitby",Merged with No./Fusionné avec le n°168,,,,,,,343
35114,"Whitby/Whitby"," 170","Whitby",1,33,3,46,56,3,142,405
35114,"Whitby/Whitby"," 171","Whitby",14,50,5,173,142,1,385,516
35114,"Whitby/Whitby"," 172","Whitby",Merged with No./Fusionné avec le n°171,,,,,,,471
35114,"Whitby/Whitby"," 173","Whitby",8,26,3,79,59,0,175,497
35114,"Whitby/Whitby"," 174","Whitby",12,34,5,60,70,0,181,485
35114,"Whitby/Whitby"," 175A","Whitby",9,25,5,36,44,0,119,268
35114,"Whitby/Whitby"," 175B","Mobile poll/Bureau itinérant",5,5,1,4,24,0,39,78
35114,"Whitby/Whitby"," 176","Whitby",19,67,11,98,101,2,298,317
35114,"Whitby/Whitby"," 177A","Whitby",Merged with No./Fusionné avec le n°176,,,,,,,385
35114,"Whitby/Whitby"," 177B","Mobile poll/Bureau itinérant",0,4,1,6,14,0,25,1
35114,"Whitby/Whitby"," 178","Whitby",28,52,8,111,72,0,271,396
35114,"Whitby/Whitby"," 179","Whitby",Merged with No./Fusionné avec le n°178,,,,,,,383
35114,"Whitby/Whitby"," 180","Whitby",Merged with No./Fusionné avec le n°181,,,,,,,310
35114,"Whitby/Whitby"," 181","Whitby",31,52,8,68,88,0,247,452
35114,"Whitby/Whitby"," 182","Whitby",13,43,7,86,126,2,277,455
35114,"Whitby/Whitby"," 183","Whitby",Merged with No./Fusionné avec le n°182,,,,,,,382
35114,"Whitby/Whitby"," 184","Whitby",11,26,5,106,99,1,248,404
35114,"Whitby/Whitby"," 185","Whitby",11,16,1,58,113,0,199,612
35114,"Whitby/Whitby"," 186","Whitby",Merged with No./Fusionné avec le n°184,,,,,,,349
35114,"Whitby/Whitby"," 187A","Whitby",11,43,2,76,131,0,263,629
35114,"Whitby/Whitby"," 187B","Whitby",4,15,3,53,109,0,184,654
35114,"Whitby/Whitby"," 188","Whitby",Merged with No./Fusionné avec le n°189,,,,,,,456
35114,"Whitby/Whitby"," 189","Whitby",17,58,6,105,91,0,277,461
35114,"Whitby/Whitby"," 190","Whitby",20,48,10,92,87,0,257,434
35114,"Whitby/Whitby"," 191","Whitby",Merged with No./Fusionné avec le n°190,,,,,,,423
