Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Charles-Eugène Bergeron,Carl Brochu,Ghislain Daigle,Guylaine Dumont,Jacques Gourde,Samuel Lamarche,Mariève Lemay,Benoit Simard,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24042,"Lévis--Lotbinière/Lévis--Lotbinière"," 129","Saint-Lambert-de-Lauzon",1,0,18,6,98,24,1,2,2,152,351
24042,"Lévis--Lotbinière/Lévis--Lotbinière"," 130","Saint-Lambert-de-Lauzon",2,1,19,18,79,30,1,13,2,165,413
24042,"Lévis--Lotbinière/Lévis--Lotbinière"," 131","Saint-Lambert-de-Lauzon",4,0,8,9,77,26,0,5,2,131,300
24042,"Lévis--Lotbinière/Lévis--Lotbinière"," 132","Saint-Lambert-de-Lauzon",1,0,21,9,80,12,2,10,0,135,334
24042,"Lévis--Lotbinière/Lévis--Lotbinière"," 133","Saint-Lambert-de-Lauzon",0,0,13,8,73,14,1,3,0,112,269
24042,"Lévis--Lotbinière/Lévis--Lotbinière"," 134","Lévis",7,0,25,26,128,44,1,7,1,239,494
24042,"Lévis--Lotbinière/Lévis--Lotbinière"," 135","Lévis",2,0,15,13,71,28,1,11,0,141,366
24042,"Lévis--Lotbinière/Lévis--Lotbinière"," 136A","Lévis",2,0,22,16,85,25,0,2,4,156,354
24042,"Lévis--Lotbinière/Lévis--Lotbinière"," 136B","Lévis",1,0,19,18,78,28,1,2,0,147,322
24042,"Lévis--Lotbinière/Lévis--Lotbinière"," 137","Lévis",0,0,22,23,101,43,2,11,3,205,426
24042,"Lévis--Lotbinière/Lévis--Lotbinière"," 138","Lévis",1,0,20,13,80,32,0,3,1,150,365
24042,"Lévis--Lotbinière/Lévis--Lotbinière"," 139","Lévis",6,0,20,28,95,41,2,7,5,204,430
24042,"Lévis--Lotbinière/Lévis--Lotbinière"," 140A","Lévis",1,0,16,9,88,31,1,2,0,148,308
24042,"Lévis--Lotbinière/Lévis--Lotbinière"," 140B","Lévis",3,1,10,9,76,24,0,3,3,129,278
24042,"Lévis--Lotbinière/Lévis--Lotbinière"," 141","Lévis",3,0,21,19,94,25,1,3,3,169,410
24042,"Lévis--Lotbinière/Lévis--Lotbinière"," 142","Lévis",7,1,23,7,78,18,1,9,1,145,456
24042,"Lévis--Lotbinière/Lévis--Lotbinière"," 143","Lévis",1,0,16,13,88,21,1,7,3,150,354
24042,"Lévis--Lotbinière/Lévis--Lotbinière"," 144","Lévis",0,1,15,8,73,20,2,4,2,125,366
24042,"Lévis--Lotbinière/Lévis--Lotbinière"," 145","Saint-Antoine-de-Tilly",2,0,23,40,91,50,0,4,4,214,342
24042,"Lévis--Lotbinière/Lévis--Lotbinière"," 146","Saint-Antoine-de-Tilly",0,0,23,40,85,69,1,6,2,226,341
24042,"Lévis--Lotbinière/Lévis--Lotbinière"," 147","Saint-Antoine-de-Tilly",2,0,29,16,50,37,1,4,0,139,277
24042,"Lévis--Lotbinière/Lévis--Lotbinière"," 148","Saint-Antoine-de-Tilly",2,0,13,39,96,59,1,9,2,221,380
24042,"Lévis--Lotbinière/Lévis--Lotbinière"," 149","Saint-Lambert-de-Lauzon",3,1,21,13,129,28,2,4,2,203,307
