Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Orrin Bliss,Jonathan Bridges,Tom Lipp,Michael MacLean,Getu Shawile,Martin Shields,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48003,"Bow River/Bow River"," 125","Vulcan",12,11,1,11,6,110,1,152,456
48003,"Bow River/Bow River"," 126","Vulcan",11,6,3,13,7,153,0,193,539
48003,"Bow River/Bow River"," 127","Cassils",2,15,1,4,3,124,0,149,313
48003,"Bow River/Bow River"," 128","Brooks",2,11,3,20,12,156,5,209,417
48003,"Bow River/Bow River"," 129","Brooks",2,13,2,12,18,114,3,164,343
48003,"Bow River/Bow River"," 130","Brooks",5,9,1,19,20,92,2,148,469
48003,"Bow River/Bow River"," 131","Brooks",1,7,0,5,13,48,0,74,313
48003,"Bow River/Bow River"," 132","Brooks",1,13,1,18,6,101,0,140,411
48003,"Bow River/Bow River"," 133","Brooks",3,16,0,17,10,131,3,180,443
48003,"Bow River/Bow River"," 134","Brooks",13,36,1,10,1,202,1,264,761
48003,"Bow River/Bow River"," 135","Brooks",4,13,0,5,4,89,1,116,374
48003,"Bow River/Bow River"," 136","Brooks",1,8,0,12,9,57,0,87,385
48003,"Bow River/Bow River"," 137","Brooks",7,5,2,9,9,117,0,149,458
48003,"Bow River/Bow River"," 138","Brooks",2,9,0,23,10,115,1,160,426
48003,"Bow River/Bow River"," 139","Brooks",2,15,2,15,13,94,1,142,409
48003,"Bow River/Bow River"," 140","Brooks",1,10,1,9,12,82,2,117,336
48003,"Bow River/Bow River"," 141","Brooks",2,9,2,13,28,86,3,143,398
48003,"Bow River/Bow River"," 142","Brooks",2,14,0,12,13,110,0,151,429
48003,"Bow River/Bow River"," 143","Brooks",3,18,0,17,27,61,3,129,465
48003,"Bow River/Bow River"," 144","Brooks",4,13,2,11,20,55,3,108,338
48003,"Bow River/Bow River"," 145","Brooks",1,20,0,15,17,104,0,157,447
48003,"Bow River/Bow River"," 146","Brooks",1,15,1,9,13,59,5,103,353
48003,"Bow River/Bow River"," 147","Brooks",7,18,1,10,4,164,1,205,511
48003,"Bow River/Bow River"," 148","Lomond",5,19,6,13,12,209,0,264,533
48003,"Bow River/Bow River"," 149","Champion",1,10,3,4,2,79,0,99,207
48003,"Bow River/Bow River"," 150","Champion",10,23,4,22,7,113,5,184,295
48003,"Bow River/Bow River"," 151","Tilley",6,29,0,15,2,181,0,233,417
48003,"Bow River/Bow River"," 152","Brooks",1,7,1,8,12,82,0,111,381
48003,"Bow River/Bow River"," 153","Brooks",3,11,0,9,15,118,0,156,399
48003,"Bow River/Bow River"," 154","Brooks",2,10,0,12,5,93,4,126,343
48003,"Bow River/Bow River"," 155","Tilley",7,10,5,1,1,78,0,102,292
48003,"Bow River/Bow River"," 156","Rainier",7,36,1,5,3,165,0,217,371
