Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Roberta L Abbott,Michael Barrett,Alex Cassell,Lorraine Rekmans,Michelle Taylor,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35050,"Leeds--Grenville--Thousand Islands and Rideau Lakes/Leeds--Grenville--Thousand Islands et Rideau Lakes"," 120","Athens",23,90,12,6,25,5,161,380
35050,"Leeds--Grenville--Thousand Islands and Rideau Lakes/Leeds--Grenville--Thousand Islands et Rideau Lakes"," 121","Athens",37,101,9,3,29,2,181,412
35050,"Leeds--Grenville--Thousand Islands and Rideau Lakes/Leeds--Grenville--Thousand Islands et Rideau Lakes"," 122","Athens",22,74,14,1,25,0,136,416
35050,"Leeds--Grenville--Thousand Islands and Rideau Lakes/Leeds--Grenville--Thousand Islands et Rideau Lakes"," 123","Brockville",51,55,8,5,29,1,149,405
35050,"Leeds--Grenville--Thousand Islands and Rideau Lakes/Leeds--Grenville--Thousand Islands et Rideau Lakes"," 124","Brockville",33,93,5,4,42,0,177,624
35050,"Leeds--Grenville--Thousand Islands and Rideau Lakes/Leeds--Grenville--Thousand Islands et Rideau Lakes"," 125","Brockville",43,45,10,5,23,1,127,402
35050,"Leeds--Grenville--Thousand Islands and Rideau Lakes/Leeds--Grenville--Thousand Islands et Rideau Lakes"," 126A","Brockville",26,42,4,3,24,1,100,286
35050,"Leeds--Grenville--Thousand Islands and Rideau Lakes/Leeds--Grenville--Thousand Islands et Rideau Lakes"," 126B","Brockville",16,50,9,3,15,2,95,293
35050,"Leeds--Grenville--Thousand Islands and Rideau Lakes/Leeds--Grenville--Thousand Islands et Rideau Lakes"," 127","Brockville",44,40,3,12,23,2,124,432
35050,"Leeds--Grenville--Thousand Islands and Rideau Lakes/Leeds--Grenville--Thousand Islands et Rideau Lakes"," 128","Brockville",53,58,10,2,31,3,157,434
35050,"Leeds--Grenville--Thousand Islands and Rideau Lakes/Leeds--Grenville--Thousand Islands et Rideau Lakes"," 129","Brockville",64,88,6,4,34,3,199,461
35050,"Leeds--Grenville--Thousand Islands and Rideau Lakes/Leeds--Grenville--Thousand Islands et Rideau Lakes"," 130","Brockville",66,97,16,8,35,0,222,484
35050,"Leeds--Grenville--Thousand Islands and Rideau Lakes/Leeds--Grenville--Thousand Islands et Rideau Lakes"," 131","Brockville",16,64,9,2,33,3,127,473
35050,"Leeds--Grenville--Thousand Islands and Rideau Lakes/Leeds--Grenville--Thousand Islands et Rideau Lakes"," 132","Brockville",53,89,6,6,28,2,184,511
35050,"Leeds--Grenville--Thousand Islands and Rideau Lakes/Leeds--Grenville--Thousand Islands et Rideau Lakes"," 133A","Brockville",18,36,9,1,20,0,84,274
35050,"Leeds--Grenville--Thousand Islands and Rideau Lakes/Leeds--Grenville--Thousand Islands et Rideau Lakes"," 133B","Brockville",31,49,6,2,18,0,106,285
35050,"Leeds--Grenville--Thousand Islands and Rideau Lakes/Leeds--Grenville--Thousand Islands et Rideau Lakes"," 134","Brockville",35,55,5,3,38,1,137,534
35050,"Leeds--Grenville--Thousand Islands and Rideau Lakes/Leeds--Grenville--Thousand Islands et Rideau Lakes"," 135","Brockville",53,91,8,2,36,2,192,464
35050,"Leeds--Grenville--Thousand Islands and Rideau Lakes/Leeds--Grenville--Thousand Islands et Rideau Lakes"," 136","Brockville",31,29,3,0,8,1,72,334
35050,"Leeds--Grenville--Thousand Islands and Rideau Lakes/Leeds--Grenville--Thousand Islands et Rideau Lakes"," 137","Brockville",45,38,6,1,15,0,105,402
35050,"Leeds--Grenville--Thousand Islands and Rideau Lakes/Leeds--Grenville--Thousand Islands et Rideau Lakes"," 138","Brockville",53,45,14,6,48,3,169,567
35050,"Leeds--Grenville--Thousand Islands and Rideau Lakes/Leeds--Grenville--Thousand Islands et Rideau Lakes"," 139","Brockville",34,48,10,5,22,2,121,427
35050,"Leeds--Grenville--Thousand Islands and Rideau Lakes/Leeds--Grenville--Thousand Islands et Rideau Lakes"," 140","Brockville",41,45,4,4,15,0,109,447
35050,"Leeds--Grenville--Thousand Islands and Rideau Lakes/Leeds--Grenville--Thousand Islands et Rideau Lakes"," 141","Rideau Lakes",41,104,26,12,22,0,205,435
35050,"Leeds--Grenville--Thousand Islands and Rideau Lakes/Leeds--Grenville--Thousand Islands et Rideau Lakes"," 142","Rideau Lakes",12,65,11,9,16,2,115,413
35050,"Leeds--Grenville--Thousand Islands and Rideau Lakes/Leeds--Grenville--Thousand Islands et Rideau Lakes"," 143","Rideau Lakes",59,139,18,13,39,0,268,463
35050,"Leeds--Grenville--Thousand Islands and Rideau Lakes/Leeds--Grenville--Thousand Islands et Rideau Lakes"," 144","Brockville",49,57,12,8,39,0,165,479
35050,"Leeds--Grenville--Thousand Islands and Rideau Lakes/Leeds--Grenville--Thousand Islands et Rideau Lakes"," 145","Brockville",44,53,18,6,46,1,168,498
35050,"Leeds--Grenville--Thousand Islands and Rideau Lakes/Leeds--Grenville--Thousand Islands et Rideau Lakes"," 146","Brockville",30,41,8,4,28,3,114,401
35050,"Leeds--Grenville--Thousand Islands and Rideau Lakes/Leeds--Grenville--Thousand Islands et Rideau Lakes"," 147A","Brockville",19,27,9,4,30,0,89,294
35050,"Leeds--Grenville--Thousand Islands and Rideau Lakes/Leeds--Grenville--Thousand Islands et Rideau Lakes"," 147B","Brockville",31,35,9,3,22,0,100,291
35050,"Leeds--Grenville--Thousand Islands and Rideau Lakes/Leeds--Grenville--Thousand Islands et Rideau Lakes"," 148","Brockville",63,79,13,1,27,1,184,565
35050,"Leeds--Grenville--Thousand Islands and Rideau Lakes/Leeds--Grenville--Thousand Islands et Rideau Lakes"," 149","Brockville",48,49,15,6,23,0,141,414
