Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Pam Damoff,Lenaee Dupuis,Gilbert Jubinville,Hanan Rizkalla,Bruno Sousa,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35073,"Oakville North--Burlington/Oakville-Nord--Burlington"," 607","Oakville",700,89,68,516,19,6,1398,
35073,"Oakville North--Burlington/Oakville-Nord--Burlington"," 608","Oakville",722,103,63,544,15,20,1467,
35073,"Oakville North--Burlington/Oakville-Nord--Burlington"," 609","Oakville",619,99,45,517,15,19,1314,
35073,"Oakville North--Burlington/Oakville-Nord--Burlington"," 610","Oakville",611,79,37,571,8,6,1312,
35073,"Oakville North--Burlington/Oakville-Nord--Burlington"," 611","Burlington",535,81,57,469,14,6,1162,
35073,"Oakville North--Burlington/Oakville-Nord--Burlington"," 612","Burlington",318,81,45,336,11,0,791,
35073,"Oakville North--Burlington/Oakville-Nord--Burlington"," 613","Burlington",282,77,38,326,16,1,740,
35073,"Oakville North--Burlington/Oakville-Nord--Burlington"," 614","Burlington",457,79,45,332,18,1,932,
35073,"Oakville North--Burlington/Oakville-Nord--Burlington"," 615","Burlington",502,108,49,412,16,3,1090,
35073,"Oakville North--Burlington/Oakville-Nord--Burlington"," 616","Burlington",657,72,32,834,20,14,1629,
35073,"Oakville North--Burlington/Oakville-Nord--Burlington"," 617","Burlington",594,109,36,473,13,9,1234,
35073,"Oakville North--Burlington/Oakville-Nord--Burlington"," 618","Burlington",594,100,49,472,19,0,1234,
35073,"Oakville North--Burlington/Oakville-Nord--Burlington"," 619","Burlington",623,98,39,529,14,8,1311,
35073,"Oakville North--Burlington/Oakville-Nord--Burlington",,Group 1/Groupe 1, 352,122,20,239,5,37,775,334
35073,"Oakville North--Burlington/Oakville-Nord--Burlington",,Group 2/Groupe 2, 1512,259,23,831,34,154,2813,
