Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Sarah Lochhead,Tanya Saari,Doug Shipley,Chris Webb,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 144","Barrie",36,26,34,12,0,108,460
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 145","Barrie",29,110,130,6,1,276,442
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 146","Barrie",31,76,83,8,3,201,398
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 147","Barrie",49,51,45,17,1,163,602
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 148","Barrie",46,56,65,14,0,181,584
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 149","Barrie",64,62,61,11,5,203,565
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 150","Barrie",48,34,42,12,0,136,586
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 151","Springwater",20,65,110,12,1,208,596
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 152","Springwater",17,52,83,19,0,171,524
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 153","Springwater",16,30,84,6,1,137,374
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 154","Springwater",16,70,118,9,0,213,660
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 155","Springwater",38,95,140,22,0,295,940
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 156","Springwater",18,53,85,11,0,167,530
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 157","Springwater",25,36,92,19,0,172,486
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 158","Springwater",31,31,101,20,0,183,516
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 159","Barrie",Merged with No./Fusionné avec le n°165,,,,,,416
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 160","Barrie",52,78,99,36,3,268,395
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 161","Barrie",Merged with No./Fusionné avec le n°160,,,,,,369
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 162","Barrie",49,49,89,19,0,206,549
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 163","Barrie",27,52,63,13,0,155,542
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 164","Barrie",25,79,72,11,0,187,534
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 165","Barrie",70,84,117,15,4,290,478
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 166","Barrie",26,41,79,9,0,155,437
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 400","Mobile poll/Bureau itinérant",5,32,23,3,2,65,99
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 401","Mobile poll/Bureau itinérant",5,17,15,2,2,41,130
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 402","Barrie",16,44,35,3,0,98,217
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 403","Mobile poll/Bureau itinérant",9,19,30,2,3,63,115
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 404","Barrie",13,36,56,2,1,108,190
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 405","Barrie",20,52,40,4,0,116,158
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 406","Barrie",13,49,52,4,0,118,208
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 407","Barrie",33,50,32,19,2,136,299
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 408","Barrie",25,33,40,6,1,105,187
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 409","Mobile poll/Bureau itinérant",5,58,51,3,5,122,166
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 500","Mobile poll/Bureau itinérant",3,4,4,1,1,13,33
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 501","Mobile poll/Bureau itinérant",4,18,11,0,3,36,66
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 502","Mobile poll/Bureau itinérant",7,28,30,1,4,70,88
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 503","Mobile poll/Bureau itinérant",11,28,23,2,2,66,105
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 504","Mobile poll/Bureau itinérant",6,11,12,2,3,34,87
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 505","Mobile poll/Bureau itinérant",4,9,7,3,2,25,44
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 506","Mobile poll/Bureau itinérant",4,7,12,2,1,26,38
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 507","Mobile poll/Bureau itinérant",4,2,12,0,2,20,43
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 600","Springwater",111,199,456,62,1,829,
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 601","Springwater",98,187,431,68,5,789,
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 602","Oro-Medonte",77,199,321,60,1,658,
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 603","Oro-Medonte",104,393,555,52,13,1117,
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 604","Springwater",49,98,231,26,2,406,
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 605","Springwater",85,219,496,47,2,849,
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte"," 606","Springwater",89,335,766,109,7,1306,
