Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Jeff Dunham,Dane Lloyd,Murray MacKinnon,Kendra Mills,Irene Walker,Jeffrey Willerton,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 112","Spruce Grove",6,143,34,62,19,4,1,269,673
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 113","Spruce Grove",1,88,27,31,14,0,1,162,398
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 114","Spruce Grove",12,134,31,61,9,2,0,249,631
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 115A","Spruce Grove",1,96,24,50,20,1,0,192,524
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 115B","Spruce Grove",1,105,13,44,16,1,0,180,460
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 116","Spruce Grove",1,112,18,61,19,1,2,214,481
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 117","Spruce Grove",2,95,15,58,15,0,1,186,521
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 118A","Spruce Grove",4,91,22,40,14,0,0,171,397
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 118B","Spruce Grove",2,88,10,16,12,1,0,129,340
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 119","Spruce Grove",2,119,11,54,13,1,0,200,496
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 120","Spruce Grove",3,124,20,61,16,2,4,230,578
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 121","Spruce Grove",5,115,10,37,19,0,0,186,444
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 122","Spruce Grove",4,123,28,57,14,0,1,227,534
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 123","Stony Plain",5,103,26,25,11,0,1,171,413
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 124","Stony Plain",1,98,24,46,9,0,0,178,508
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 125","Stony Plain",2,54,12,36,7,2,0,113,370
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 126","Stony Plain",5,76,19,32,11,0,0,143,465
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 127","Spruce Grove",2,125,16,50,20,0,0,213,513
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 128","Spruce Grove",4,172,16,51,24,1,0,268,555
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 129","Spruce Grove",3,161,29,62,17,3,1,276,649
