Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Norm Di Pasquale,Sukhi Jandu,Ian Roden,Amanda Rosenstock,Kevin Vuong,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35101,"Spadina--Fort York/Spadina--Fort York"," 476","Toronto",Merged with No./Fusionné avec le n°471,,,,,,,285
35101,"Spadina--Fort York/Spadina--Fort York"," 476-1","Toronto",104,105,6,13,130,1,359,532
35101,"Spadina--Fort York/Spadina--Fort York"," 477","Toronto",Merged with No./Fusionné avec le n°476-1,,,,,,,393
35101,"Spadina--Fort York/Spadina--Fort York"," 478","Toronto",75,63,6,9,72,1,226,659
35101,"Spadina--Fort York/Spadina--Fort York"," 479","Toronto",Merged with No./Fusionné avec le n°479-1,,,,,,,346
35101,"Spadina--Fort York/Spadina--Fort York"," 479-1","Toronto",80,107,9,12,93,3,304,416
35101,"Spadina--Fort York/Spadina--Fort York"," 480","Toronto",Merged with No./Fusionné avec le n°2,,,,,,,386
35101,"Spadina--Fort York/Spadina--Fort York"," 480-1","Toronto",Merged with No./Fusionné avec le n°488,,,,,,,126
35101,"Spadina--Fort York/Spadina--Fort York"," 481","Toronto",Merged with No./Fusionné avec le n°488,,,,,,,156
35101,"Spadina--Fort York/Spadina--Fort York"," 482","Toronto",Merged with No./Fusionné avec le n°479-1,,,,,,,225
35101,"Spadina--Fort York/Spadina--Fort York"," 483","Toronto",Merged with No./Fusionné avec le n°478,,,,,,,189
35101,"Spadina--Fort York/Spadina--Fort York"," 484","Toronto",Merged with No./Fusionné avec le n°14,,,,,,,271
35101,"Spadina--Fort York/Spadina--Fort York"," 485","Toronto",Merged with No./Fusionné avec le n°1,,,,,,,316
35101,"Spadina--Fort York/Spadina--Fort York"," 486","Toronto",Merged with No./Fusionné avec le n°488,,,,,,,247
35101,"Spadina--Fort York/Spadina--Fort York"," 487","Toronto",Merged with No./Fusionné avec le n°3,,,,,,,360
35101,"Spadina--Fort York/Spadina--Fort York"," 488","Toronto",141,62,7,9,128,1,348,353
35101,"Spadina--Fort York/Spadina--Fort York"," 489","Toronto",Merged with No./Fusionné avec le n°53,,,,,,,258
35101,"Spadina--Fort York/Spadina--Fort York"," 490","Toronto",Merged with No./Fusionné avec le n°35,,,,,,,274
35101,"Spadina--Fort York/Spadina--Fort York"," 500","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°33,,,,,,,35
35101,"Spadina--Fort York/Spadina--Fort York"," 501","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°47,,,,,,,37
35101,"Spadina--Fort York/Spadina--Fort York"," 600","Toronto",362,130,24,35,581,6,1138,
35101,"Spadina--Fort York/Spadina--Fort York"," 601","Toronto",332,94,33,39,491,2,991,
35101,"Spadina--Fort York/Spadina--Fort York"," 602","Toronto",81,41,9,8,139,0,278,
35101,"Spadina--Fort York/Spadina--Fort York"," 603","Toronto",477,262,40,37,687,2,1505,
35101,"Spadina--Fort York/Spadina--Fort York"," 604","Toronto",540,342,63,51,944,7,1947,
35101,"Spadina--Fort York/Spadina--Fort York"," 605","Toronto",389,247,56,46,660,6,1404,
35101,"Spadina--Fort York/Spadina--Fort York"," 606","Toronto",159,91,20,14,288,5,577,
35101,"Spadina--Fort York/Spadina--Fort York"," 607","Toronto",203,155,41,12,380,0,791,
35101,"Spadina--Fort York/Spadina--Fort York"," 608","Toronto",153,215,24,12,369,1,774,
35101,"Spadina--Fort York/Spadina--Fort York"," 609","Toronto",145,189,16,13,343,3,709,
35101,"Spadina--Fort York/Spadina--Fort York"," 610","Toronto",314,169,37,29,536,3,1088,
35101,"Spadina--Fort York/Spadina--Fort York"," 611","Toronto",164,155,36,14,348,0,717,
35101,"Spadina--Fort York/Spadina--Fort York"," 612","Toronto",132,165,30,22,361,1,711,
35101,"Spadina--Fort York/Spadina--Fort York"," 613","Toronto",361,367,54,45,887,3,1717,
35101,"Spadina--Fort York/Spadina--Fort York"," 614","Toronto",70,80,19,10,198,0,377,
35101,"Spadina--Fort York/Spadina--Fort York"," 615","Toronto",207,104,22,11,222,2,568,
35101,"Spadina--Fort York/Spadina--Fort York",,Group 1/Groupe 1, 302,225,43,41,601,66,1278,916
35101,"Spadina--Fort York/Spadina--Fort York",,Group 2/Groupe 2, 1148,657,67,127,1922,116,4037,
