Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Yves Destroismaisons,Stéphane Lauzon,Marie Louis-Seize,Paul Lynes,Marc Vachon,Michel Welt,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 141","Saint-Sixte",91,101,31,5,9,18,1,256,430
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 142","Papineauville--Saint-Amédée",45,45,14,4,14,14,3,139,344
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 143","Sainte-Angélique",87,92,24,8,8,8,6,233,514
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 144","Papineauville",53,65,16,6,3,4,1,148,346
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 145","Papineauville",54,73,18,2,14,7,5,173,394
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 146","Papineauville",52,49,14,1,2,6,4,128,310
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 147","Plaisance",75,120,32,5,17,16,12,277,467
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 148","Plaisance",80,99,13,5,7,21,9,234,494
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 149","L'Ange-Gardien",25,21,11,1,5,4,0,67,216
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 150","L'Ange-Gardien",62,76,31,1,14,27,5,216,486
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 151","L'Ange-Gardien",51,43,27,4,14,19,1,159,413
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 152","L'Ange-Gardien",31,37,22,0,9,8,5,112,303
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 153","L'Ange-Gardien",58,94,25,6,7,27,3,220,440
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 154","L'Ange-Gardien",70,80,21,5,10,10,1,197,441
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 155","L'Ange-Gardien",62,65,24,0,8,14,0,173,415
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 156","Lochaber",41,22,24,5,10,9,4,115,303
24005,"Argenteuil--La Petite-Nation/Argenteuil--La Petite-Nation"," 157","Lochaber",31,27,9,1,5,5,2,80,380
