Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Serge Bergeron,Alexis Brunelle-Duceppe,Mathieu Chambers,Marjolaine Étienne,Annie Thibault,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 509","Mobile poll/Bureau itinérant",28,29,1,39,2,9,108,173
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 510","Mobile poll/Bureau itinérant",2,2,0,3,0,0,7,9
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 511","Mobile poll/Bureau itinérant",Void/Supprimé,,,,,,,
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 512","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°171,,,,,,,11
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 513","Mobile poll/Bureau itinérant",1,0,0,1,0,1,3,28
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 514","Mobile poll/Bureau itinérant",3,15,2,16,0,0,36,46
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 515","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°175,,,,,,,6
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 516","Mobile poll/Bureau itinérant",1,3,1,4,1,0,10,15
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 517","Mobile poll/Bureau itinérant",6,2,1,7,0,0,16,18
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 518","Mobile poll/Bureau itinérant",5,3,1,17,0,0,26,32
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 519","Mobile poll/Bureau itinérant",10,21,1,25,3,1,61,99
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 520","Mobile poll/Bureau itinérant",1,1,2,0,0,0,4,19
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 521","Mobile poll/Bureau itinérant",1,1,0,1,0,0,3,19
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 522","Mobile poll/Bureau itinérant",1,3,0,3,0,0,7,34
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 523","Mobile poll/Bureau itinérant",9,15,1,14,0,7,46,75
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 524","Mobile poll/Bureau itinérant",8,15,0,36,0,5,64,124
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 525","Mobile poll/Bureau itinérant",4,5,1,2,0,1,13,35
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 526","Mobile poll/Bureau itinérant",0,0,0,0,0,0,0,14
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 527","Mobile poll/Bureau itinérant",0,5,0,2,0,1,8,12
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 528","Mobile poll/Bureau itinérant",3,2,0,6,0,4,15,28
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 529","Mobile poll/Bureau itinérant",1,2,0,5,0,0,8,17
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 530","Mobile poll/Bureau itinérant",5,11,0,1,0,0,17,24
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 531","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°13,,,,,,,21
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 532","Alma",Merged with No./Fusionné avec le n°14,,,,,,,4
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 533","Mobile poll/Bureau itinérant",10,22,0,25,0,0,57,106
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 534","Mobile poll/Bureau itinérant",0,8,0,3,0,0,11,22
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 535","Mobile poll/Bureau itinérant",4,17,0,11,1,0,33,72
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 536","Mobile poll/Bureau itinérant",3,3,3,6,1,0,16,20
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 537","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°46,,,,,,,10
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 538","Mobile poll/Bureau itinérant",7,43,0,32,0,6,88,132
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 539","Mobile poll/Bureau itinérant",9,27,2,15,2,1,56,73
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 540","Mobile poll/Bureau itinérant",3,14,0,13,0,1,31,39
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 541","Mobile poll/Bureau itinérant",0,7,2,5,0,1,15,45
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 542","Mobile poll/Bureau itinérant",1,6,0,5,0,1,13,16
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 543","Mobile poll/Bureau itinérant",2,6,0,7,1,1,17,21
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 544","Alma",Merged with No./Fusionné avec le n°85,,,,,,,8
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 545","Mobile poll/Bureau itinérant",1,5,0,0,0,1,7,8
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 546","Hébertville",Merged with No./Fusionné avec le n°83,,,,,,,10
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 547","Mobile poll/Bureau itinérant",4,14,0,11,0,2,31,35
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 548","Mobile poll/Bureau itinérant",2,1,0,3,1,0,7,11
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 549","Mobile poll/Bureau itinérant",3,7,1,12,0,0,23,63
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 550","Mobile poll/Bureau itinérant",2,0,0,7,0,1,10,11
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 551","Mobile poll/Bureau itinérant",4,7,0,15,1,2,29,60
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 552","Mobile poll/Bureau itinérant",1,1,0,1,0,1,4,6
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 553","Mobile poll/Bureau itinérant",0,5,0,7,0,2,14,15
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 554","Mobile poll/Bureau itinérant",5,1,1,5,0,0,12,15
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 555","Mobile poll/Bureau itinérant",3,3,0,9,1,0,16,18
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 556","Mobile poll/Bureau itinérant",2,5,1,9,0,1,18,19
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 557","Mobile poll/Bureau itinérant",0,0,0,0,0,0,0,5
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 558","Mobile poll/Bureau itinérant",0,2,0,5,0,0,7,13
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 600","Dolbeau-Mistassini",225,443,18,161,4,22,873,
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 601","Normandin",108,173,7,67,2,2,359,
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 602","Saint-Augustin",52,99,1,52,3,4,211,
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 603","Dolbeau-Mistassini",125,236,6,132,3,6,508,
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 604","Albanel",114,222,7,63,5,7,418,
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 605","Dolbeau-Mistassini",171,406,14,154,4,9,758,
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 606","Saint-Félicien",201,438,11,198,2,10,860,
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 607","La Doré",60,106,4,59,7,3,239,
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 608","Saint-Félicien",275,383,19,217,10,21,925,
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 609","Saint-Prime",101,224,6,81,7,8,427,
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 610","Mashteuiatsh",22,50,6,112,5,0,195,
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 611","L'Ascension",80,177,5,51,6,9,328,
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 612","Alma",141,388,7,101,8,10,655,
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 613","Alma",154,524,18,126,6,11,839,
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 614","Alma",148,510,20,132,5,10,825,
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 615","Alma",135,441,20,140,8,18,762,
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 616","Alma",219,571,13,132,13,13,961,
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 617","Saint-Bruno",130,287,5,87,7,6,522,
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 618","Saint-Gédéon",81,273,6,93,10,9,472,
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 619","Roberval",299,444,16,183,7,21,970,
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 620","Roberval",206,401,24,187,11,8,837,
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 621","Chambord",104,248,11,90,10,6,469,
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 622","Métabetchouan--Lac-à-la-Croix",120,291,17,134,4,8,574,
24035,"Lac-Saint-Jean/Lac-Saint-Jean"," 623","Hébertville",75,151,5,49,8,10,298,
24035,"Lac-Saint-Jean/Lac-Saint-Jean",,Group 1/Groupe 1, 37,104,36,52,7,12,248,57
24035,"Lac-Saint-Jean/Lac-Saint-Jean",,Group 2/Groupe 2, 535,1288,45,563,21,76,2528,
