Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Taylor Bachrach,Jody Craven,Lakhwinder Jhaj,Claire Rattee,Rod Taylor,Adeana Young,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59028,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 613","Terrace",257,100,63,353,23,23,1,820,
59028,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 614","Terrace",520,68,84,448,19,22,5,1166,
59028,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 615","Terrace",412,100,104,365,8,11,3,1003,
59028,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 616","Kitimat",283,52,63,265,7,15,4,689,
59028,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 617","Kitimat",273,51,46,244,6,8,4,632,
59028,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 618","Prince Rupert",358,49,56,202,9,27,4,705,
59028,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 619","Prince Rupert",338,43,52,189,5,9,0,636,
59028,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 620","Masset",89,5,17,32,0,24,2,169,
59028,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 621","Queen Charlotte",210,7,19,15,0,25,0,276,
59028,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 622","Prince Rupert",229,40,44,135,6,17,0,471,
59028,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 623","Bella Bella",59,2,9,2,0,6,2,80,
59028,"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 624","Hagensborg",101,12,8,39,2,12,0,174,
59028,"Skeena--Bulkley Valley/Skeena--Bulkley Valley",,Group 1/Groupe 1, 165,24,37,130,2,19,15,392,84
59028,"Skeena--Bulkley Valley/Skeena--Bulkley Valley",,Group 2/Groupe 2, 812,97,115,575,38,51,19,1707,
