Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Olumide Adewumi,Earl Dreeshen,Marie Grabowski,Kelly Lorencz,Jared Pilon,Mark Wilcox,Clayten Willington,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48029,"Red Deer--Mountain View/Red Deer--Mountain View"," 613","Innisfail",103,1183,234,167,4,43,14,5,1753,
48029,"Red Deer--Mountain View/Red Deer--Mountain View"," 614","Sundre",99,1251,112,263,3,71,5,7,1811,
48029,"Red Deer--Mountain View/Red Deer--Mountain View"," 615","Olds",72,1303,100,186,4,56,3,4,1728,
48029,"Red Deer--Mountain View/Red Deer--Mountain View"," 616","Olds",75,1084,158,160,5,56,5,4,1547,
48029,"Red Deer--Mountain View/Red Deer--Mountain View"," 617","Didsbury",19,425,28,102,1,45,4,0,624,
48029,"Red Deer--Mountain View/Red Deer--Mountain View"," 618","Didsbury",14,295,57,77,1,17,2,0,463,
48029,"Red Deer--Mountain View/Red Deer--Mountain View"," 619","Carstairs",63,969,112,145,5,138,2,0,1434,
48029,"Red Deer--Mountain View/Red Deer--Mountain View"," 620","Carstairs",16,541,49,78,1,34,3,1,723,
48029,"Red Deer--Mountain View/Red Deer--Mountain View",,Group 1/Groupe 1, 49,524,139,90,5,13,1,43,864,170
48029,"Red Deer--Mountain View/Red Deer--Mountain View",,Group 2/Groupe 2, 227,1360,316,176,9,57,11,36,2192,
