Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Nathalie Boisclair,Nancy Cardin,Pierre Chénier,Kalden Dhatsenpa,Isabelle Lalonde,Tiny Olinga,Sherry Romanado,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 82","Longueuil",45,2,0,24,5,3,48,2,129,404
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 83","Longueuil",48,5,0,17,8,5,39,4,126,410
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 84","Longueuil",52,1,1,8,11,4,25,0,102,422
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 85","Longueuil",50,4,0,8,4,5,53,2,126,394
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 86","Longueuil",35,5,1,16,9,6,37,4,113,439
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 87","Longueuil",41,2,0,13,11,9,33,0,109,349
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 88","Longueuil",38,3,0,9,8,9,15,3,85,328
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 89","Longueuil",14,1,0,9,14,3,28,1,70,336
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 90","Longueuil",31,3,0,11,12,3,49,2,111,362
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 91","Longueuil",23,8,1,22,6,7,33,4,104,366
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 92","Longueuil",50,8,0,10,14,1,44,1,128,451
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 93","Longueuil",42,2,0,14,13,2,45,3,121,356
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 94","Longueuil",40,0,0,12,9,4,33,2,100,336
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 95","Longueuil",59,1,0,16,16,7,40,4,143,385
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 96","Longueuil",39,5,1,12,11,8,45,5,126,388
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 97","Longueuil",58,4,0,9,11,2,51,5,140,412
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 98","Longueuil",35,1,0,15,15,9,43,2,120,391
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 99","Longueuil",31,5,0,14,8,2,28,4,92,388
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 100","Longueuil",49,3,0,17,9,4,56,6,144,455
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 101","Longueuil",42,2,0,11,10,2,37,0,104,395
24041,"Longueuil--Charles-LeMoyne/Longueuil--Charles-LeMoyne"," 102","Longueuil",40,0,1,29,7,7,40,4,128,358
