Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Vincent Aubé,Ramez Ayoub,Marc Bissonnette,Louise Chabot,Simon Paré-Poupart,Julienne Soumaoro,Peggy Tassignon,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 603","Lorraine",16,425,114,360,7,38,3,7,970,
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 604","Lorraine",20,458,84,422,22,73,7,10,1096,
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 605","Blainville",12,503,137,652,18,77,12,16,1427,
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 606","Blainville",33,488,189,767,21,54,11,30,1593,
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 607","Blainville",23,438,199,476,12,43,4,8,1203,
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 608","Blainville",32,349,118,600,15,58,16,23,1211,
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 609","Blainville",22,413,105,536,16,54,11,15,1172,
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 610","Blainville",29,314,133,532,32,29,9,12,1090,
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 611","Blainville",12,344,98,406,6,57,9,11,943,
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 612","Sainte-Thérèse",22,420,125,614,15,61,9,20,1286,
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 613","Sainte-Thérèse",14,480,117,540,20,62,6,12,1251,
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 614","Sainte-Thérèse",22,248,77,426,20,74,10,21,898,
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 615","Sainte-Thérèse",15,250,81,372,10,56,7,24,815,
24013,"Thérèse-De Blainville/Thérèse-De Blainville"," 616","Sainte-Thérèse",22,301,72,460,15,38,14,19,941,
24013,"Thérèse-De Blainville/Thérèse-De Blainville",,Group 1/Groupe 1, 4,86,37,79,2,28,1,15,252,59
24013,"Thérèse-De Blainville/Thérèse-De Blainville",,Group 2/Groupe 2, 16,644,192,618,24,82,5,64,1645,
