Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Kelly Green,Wes Janke,Heather McPherson,Hibo Mohamed,Tunde Obasan,Malcolm Stinson,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48019,"Edmonton Strathcona/Edmonton Strathcona"," 125","Edmonton",3,7,96,7,37,0,1,151,384
48019,"Edmonton Strathcona/Edmonton Strathcona"," 126","Edmonton",1,5,61,9,40,0,0,116,376
48019,"Edmonton Strathcona/Edmonton Strathcona"," 127","Edmonton",7,10,107,14,35,1,0,174,475
48019,"Edmonton Strathcona/Edmonton Strathcona"," 128","Edmonton",2,13,104,21,36,0,0,176,437
48019,"Edmonton Strathcona/Edmonton Strathcona"," 129","Edmonton",3,6,80,11,49,2,0,151,400
48019,"Edmonton Strathcona/Edmonton Strathcona"," 130","Edmonton",3,9,107,9,35,0,1,164,396
48019,"Edmonton Strathcona/Edmonton Strathcona"," 131","Edmonton",4,9,124,21,64,1,0,223,472
48019,"Edmonton Strathcona/Edmonton Strathcona"," 132","Edmonton",1,5,116,16,49,0,1,188,383
48019,"Edmonton Strathcona/Edmonton Strathcona"," 133","Edmonton",3,14,102,13,44,0,1,177,486
48019,"Edmonton Strathcona/Edmonton Strathcona"," 134","Edmonton",2,6,136,22,32,1,1,200,428
48019,"Edmonton Strathcona/Edmonton Strathcona"," 135","Edmonton",1,16,168,30,79,0,0,294,437
48019,"Edmonton Strathcona/Edmonton Strathcona"," 136","Edmonton",2,8,91,8,82,2,0,193,409
48019,"Edmonton Strathcona/Edmonton Strathcona"," 137","Edmonton",4,12,115,16,67,0,2,216,465
48019,"Edmonton Strathcona/Edmonton Strathcona"," 138","Edmonton",3,1,78,10,73,0,0,165,410
48019,"Edmonton Strathcona/Edmonton Strathcona"," 139","Edmonton",0,13,91,13,53,2,1,173,372
48019,"Edmonton Strathcona/Edmonton Strathcona"," 140","Edmonton",2,11,108,14,48,2,1,186,464
48019,"Edmonton Strathcona/Edmonton Strathcona"," 141","Edmonton",0,13,105,16,59,0,0,193,403
48019,"Edmonton Strathcona/Edmonton Strathcona"," 142","Edmonton",2,8,116,14,54,0,0,194,495
48019,"Edmonton Strathcona/Edmonton Strathcona"," 143","Edmonton",1,5,81,16,44,2,0,149,380
48019,"Edmonton Strathcona/Edmonton Strathcona"," 144","Edmonton",1,5,88,17,48,2,2,163,375
48019,"Edmonton Strathcona/Edmonton Strathcona"," 145","Edmonton",2,7,163,36,40,0,0,248,527
48019,"Edmonton Strathcona/Edmonton Strathcona"," 146","Edmonton",0,5,143,15,68,0,1,232,496
48019,"Edmonton Strathcona/Edmonton Strathcona"," 147","Edmonton",2,5,116,17,61,0,1,202,510
48019,"Edmonton Strathcona/Edmonton Strathcona"," 148","Edmonton",2,8,115,19,49,1,0,194,408
48019,"Edmonton Strathcona/Edmonton Strathcona"," 149","Edmonton",2,8,124,10,37,0,0,181,404
48019,"Edmonton Strathcona/Edmonton Strathcona"," 150","Edmonton",4,13,124,13,46,1,1,202,428
48019,"Edmonton Strathcona/Edmonton Strathcona"," 151","Edmonton",4,13,122,4,45,1,0,189,442
48019,"Edmonton Strathcona/Edmonton Strathcona"," 152","Edmonton",2,8,105,15,50,7,0,187,416
48019,"Edmonton Strathcona/Edmonton Strathcona"," 153","Edmonton",2,12,115,11,41,1,2,184,450
48019,"Edmonton Strathcona/Edmonton Strathcona"," 154","Edmonton",2,10,112,22,40,1,0,187,465
48019,"Edmonton Strathcona/Edmonton Strathcona"," 155","Edmonton",3,8,96,19,54,4,1,185,551
48019,"Edmonton Strathcona/Edmonton Strathcona"," 156","Edmonton",2,29,161,21,86,2,1,302,537
48019,"Edmonton Strathcona/Edmonton Strathcona"," 157","Edmonton",1,9,108,9,63,1,0,191,455
48019,"Edmonton Strathcona/Edmonton Strathcona"," 158","Edmonton",0,20,94,19,51,0,2,186,535
48019,"Edmonton Strathcona/Edmonton Strathcona"," 159","Edmonton",3,15,109,29,34,1,1,192,453
48019,"Edmonton Strathcona/Edmonton Strathcona"," 160","Edmonton",5,12,109,33,51,3,1,214,587
48019,"Edmonton Strathcona/Edmonton Strathcona"," 161","Edmonton",5,9,85,29,40,1,3,172,456
48019,"Edmonton Strathcona/Edmonton Strathcona"," 162","Edmonton",0,10,124,9,43,0,0,186,348
48019,"Edmonton Strathcona/Edmonton Strathcona"," 163","Edmonton",2,13,87,7,49,1,1,160,337
48019,"Edmonton Strathcona/Edmonton Strathcona"," 164","Edmonton",4,11,103,21,72,1,1,213,483
48019,"Edmonton Strathcona/Edmonton Strathcona"," 165","Edmonton",2,10,128,35,49,1,0,225,493
48019,"Edmonton Strathcona/Edmonton Strathcona"," 166","Edmonton",4,16,74,12,23,1,2,132,378
48019,"Edmonton Strathcona/Edmonton Strathcona"," 167","Edmonton",3,9,23,10,57,1,0,103,328
48019,"Edmonton Strathcona/Edmonton Strathcona"," 168","Edmonton",0,11,32,6,40,3,0,92,373
48019,"Edmonton Strathcona/Edmonton Strathcona"," 169","Edmonton",7,12,39,10,51,1,0,120,381
48019,"Edmonton Strathcona/Edmonton Strathcona"," 170","Edmonton",3,19,48,6,46,0,0,122,372
48019,"Edmonton Strathcona/Edmonton Strathcona"," 400","Edmonton",4,6,64,49,68,4,1,196,289
48019,"Edmonton Strathcona/Edmonton Strathcona"," 500","Mobile poll/Bureau itinérant",0,2,10,6,7,0,0,25,54
48019,"Edmonton Strathcona/Edmonton Strathcona"," 501","Mobile poll/Bureau itinérant",3,4,9,14,17,1,2,50,52
48019,"Edmonton Strathcona/Edmonton Strathcona"," 502","Mobile poll/Bureau itinérant",0,0,6,4,11,0,1,22,36
48019,"Edmonton Strathcona/Edmonton Strathcona"," 503","Mobile poll/Bureau itinérant",1,1,10,8,8,3,2,33,115
48019,"Edmonton Strathcona/Edmonton Strathcona"," 504","Mobile poll/Bureau itinérant",1,1,9,1,10,0,0,22,38
48019,"Edmonton Strathcona/Edmonton Strathcona"," 505","Mobile poll/Bureau itinérant",0,4,9,4,3,0,0,20,41
48019,"Edmonton Strathcona/Edmonton Strathcona"," 506","Mobile poll/Bureau itinérant",2,1,12,12,17,1,1,46,103
48019,"Edmonton Strathcona/Edmonton Strathcona"," 507","Mobile poll/Bureau itinérant",1,0,3,4,2,1,2,13,21
48019,"Edmonton Strathcona/Edmonton Strathcona"," 508","Mobile poll/Bureau itinérant",1,0,5,3,2,0,0,11,43
48019,"Edmonton Strathcona/Edmonton Strathcona"," 509","Mobile poll/Bureau itinérant",0,0,10,12,8,0,2,32,51
48019,"Edmonton Strathcona/Edmonton Strathcona"," 510","Mobile poll/Bureau itinérant",2,0,12,10,14,0,1,39,38
48019,"Edmonton Strathcona/Edmonton Strathcona"," 511","Mobile poll/Bureau itinérant",0,1,10,3,9,1,0,24,50
48019,"Edmonton Strathcona/Edmonton Strathcona"," 512","Mobile poll/Bureau itinérant",0,0,15,5,6,0,0,26,44
48019,"Edmonton Strathcona/Edmonton Strathcona"," 513","Mobile poll/Bureau itinérant",0,3,11,4,8,0,0,26,48
48019,"Edmonton Strathcona/Edmonton Strathcona"," 514","Mobile poll/Bureau itinérant",2,2,9,15,26,3,4,61,64
48019,"Edmonton Strathcona/Edmonton Strathcona"," 515","Mobile poll/Bureau itinérant",0,0,13,4,8,0,3,28,88
48019,"Edmonton Strathcona/Edmonton Strathcona"," 516","Mobile poll/Bureau itinérant",0,0,14,14,6,0,0,34,75
48019,"Edmonton Strathcona/Edmonton Strathcona"," 517","Mobile poll/Bureau itinérant",0,0,21,4,6,0,3,34,49
48019,"Edmonton Strathcona/Edmonton Strathcona"," 518","Mobile poll/Bureau itinérant",0,0,11,6,4,1,1,23,51
48019,"Edmonton Strathcona/Edmonton Strathcona"," 519","Mobile poll/Bureau itinérant",1,6,44,26,22,3,1,103,208
48019,"Edmonton Strathcona/Edmonton Strathcona"," 520","Mobile poll/Bureau itinérant",0,1,8,6,11,0,0,26,43
48019,"Edmonton Strathcona/Edmonton Strathcona"," 521","Mobile poll/Bureau itinérant",0,0,6,4,7,1,2,20,38
48019,"Edmonton Strathcona/Edmonton Strathcona"," 522","Mobile poll/Bureau itinérant",1,0,3,7,2,0,0,13,26
48019,"Edmonton Strathcona/Edmonton Strathcona"," 523","Mobile poll/Bureau itinérant",3,4,22,14,52,2,4,101,208
48019,"Edmonton Strathcona/Edmonton Strathcona"," 524","Mobile poll/Bureau itinérant",1,0,7,1,8,0,0,17,32
48019,"Edmonton Strathcona/Edmonton Strathcona"," 525","Mobile poll/Bureau itinérant",0,1,8,6,9,0,0,24,51
48019,"Edmonton Strathcona/Edmonton Strathcona"," 526","Mobile poll/Bureau itinérant",2,1,10,2,5,1,3,24,54
48019,"Edmonton Strathcona/Edmonton Strathcona"," 527","Mobile poll/Bureau itinérant",0,2,9,1,12,0,0,24,43
48019,"Edmonton Strathcona/Edmonton Strathcona"," 528","Mobile poll/Bureau itinérant",0,1,12,2,2,0,0,17,36
48019,"Edmonton Strathcona/Edmonton Strathcona"," 529","Mobile poll/Bureau itinérant",0,2,23,4,10,1,0,40,87
48019,"Edmonton Strathcona/Edmonton Strathcona"," 600","Edmonton",4,26,457,34,315,1,1,838,
48019,"Edmonton Strathcona/Edmonton Strathcona"," 601","Edmonton",3,26,389,37,221,1,0,677,
48019,"Edmonton Strathcona/Edmonton Strathcona"," 602","Edmonton",8,30,490,56,256,1,3,844,
48019,"Edmonton Strathcona/Edmonton Strathcona"," 603","Edmonton",12,32,720,68,287,5,4,1128,
48019,"Edmonton Strathcona/Edmonton Strathcona"," 604","Edmonton",4,29,637,68,238,1,2,979,
48019,"Edmonton Strathcona/Edmonton Strathcona"," 605","Edmonton",8,21,717,57,150,2,2,957,
48019,"Edmonton Strathcona/Edmonton Strathcona"," 606","Edmonton",5,32,604,64,99,4,5,813,
48019,"Edmonton Strathcona/Edmonton Strathcona"," 607","Edmonton",11,37,823,73,173,4,5,1126,
48019,"Edmonton Strathcona/Edmonton Strathcona"," 608","Edmonton",2,21,527,43,136,2,3,734,
48019,"Edmonton Strathcona/Edmonton Strathcona"," 609","Edmonton",12,17,757,54,225,1,5,1071,
48019,"Edmonton Strathcona/Edmonton Strathcona"," 610","Edmonton",4,25,656,74,273,2,3,1037,
48019,"Edmonton Strathcona/Edmonton Strathcona"," 611","Edmonton",3,23,615,60,235,2,5,943,
48019,"Edmonton Strathcona/Edmonton Strathcona"," 612","Edmonton",10,47,571,61,202,3,2,896,
48019,"Edmonton Strathcona/Edmonton Strathcona"," 613","Edmonton",7,33,593,62,262,3,1,961,
48019,"Edmonton Strathcona/Edmonton Strathcona"," 614","Edmonton",10,46,567,47,305,2,2,979,
48019,"Edmonton Strathcona/Edmonton Strathcona"," 615","Edmonton",6,63,453,44,313,0,8,887,
48019,"Edmonton Strathcona/Edmonton Strathcona",,Group 1/Groupe 1, 19,39,503,68,214,7,38,888,426
48019,"Edmonton Strathcona/Edmonton Strathcona",,Group 2/Groupe 2, 16,65,2036,177,462,4,82,2842,
