Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Florian Bors,Michelle Foxton,Steve Garrison,Blake Hamilton,Calvin Neufeld,Scott Reid,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35049,"Lanark--Frontenac--Kingston/Lanark--Frontenac--Kingston"," 210","South Frontenac",9,45,30,0,5,55,1,145,362
35049,"Lanark--Frontenac--Kingston/Lanark--Frontenac--Kingston"," 211","Kepler",3,22,17,1,1,48,0,92,199
35049,"Lanark--Frontenac--Kingston/Lanark--Frontenac--Kingston"," 212","Harrowsmith",13,51,50,0,6,77,5,202,456
35049,"Lanark--Frontenac--Kingston/Lanark--Frontenac--Kingston"," 213","Murvale",9,38,22,2,6,60,1,138,386
35049,"Lanark--Frontenac--Kingston/Lanark--Frontenac--Kingston"," 214","Kingston",9,43,34,0,5,56,1,148,363
35049,"Lanark--Frontenac--Kingston/Lanark--Frontenac--Kingston"," 215","Latimer",2,44,24,0,0,32,0,102,244
35049,"Lanark--Frontenac--Kingston/Lanark--Frontenac--Kingston"," 216","Kingston",11,69,53,0,2,73,0,208,431
35049,"Lanark--Frontenac--Kingston/Lanark--Frontenac--Kingston"," 217","Kingston",8,98,82,2,8,101,0,299,564
35049,"Lanark--Frontenac--Kingston/Lanark--Frontenac--Kingston"," 218","Kingston",6,103,41,1,2,74,2,229,391
35049,"Lanark--Frontenac--Kingston/Lanark--Frontenac--Kingston"," 219","Kingston",9,68,46,0,7,58,4,192,436
35049,"Lanark--Frontenac--Kingston/Lanark--Frontenac--Kingston"," 220","Kingston",6,92,45,2,5,78,4,232,466
35049,"Lanark--Frontenac--Kingston/Lanark--Frontenac--Kingston"," 221","Kingston",10,55,47,0,4,65,1,182,488
35049,"Lanark--Frontenac--Kingston/Lanark--Frontenac--Kingston"," 222","Kingston",7,53,32,0,0,48,2,142,420
35049,"Lanark--Frontenac--Kingston/Lanark--Frontenac--Kingston"," 223","Kingston",5,69,45,1,5,62,0,187,469
35049,"Lanark--Frontenac--Kingston/Lanark--Frontenac--Kingston"," 500","Mississippi Mills",Merged with No./Fusionné avec le n°2,,,,,,,,2
35049,"Lanark--Frontenac--Kingston/Lanark--Frontenac--Kingston"," 501","Mobile poll/Bureau itinérant",3,35,7,1,3,52,0,101,145
35049,"Lanark--Frontenac--Kingston/Lanark--Frontenac--Kingston"," 502","Mobile poll/Bureau itinérant",0,13,0,0,0,17,0,30,32
35049,"Lanark--Frontenac--Kingston/Lanark--Frontenac--Kingston"," 503","Mobile poll/Bureau itinérant",0,8,1,0,0,13,0,22,17
35049,"Lanark--Frontenac--Kingston/Lanark--Frontenac--Kingston"," 504","Mobile poll/Bureau itinérant",Electors voted by special ballot in Group 2./Les électeurs ont voté par bulletin de vote spécial dans le Groupe 2.,,,,,,,,51
35049,"Lanark--Frontenac--Kingston/Lanark--Frontenac--Kingston"," 505","Mobile poll/Bureau itinérant",0,15,3,0,0,27,0,45,79
35049,"Lanark--Frontenac--Kingston/Lanark--Frontenac--Kingston"," 506","Mobile poll/Bureau itinérant",1,1,1,1,0,13,0,17,24
35049,"Lanark--Frontenac--Kingston/Lanark--Frontenac--Kingston"," 507","Mobile poll/Bureau itinérant",1,2,0,0,0,14,0,17,23
35049,"Lanark--Frontenac--Kingston/Lanark--Frontenac--Kingston"," 508","Mobile poll/Bureau itinérant",2,7,3,0,0,22,1,35,60
35049,"Lanark--Frontenac--Kingston/Lanark--Frontenac--Kingston"," 509","Mobile poll/Bureau itinérant",1,4,3,0,1,18,1,28,55
35049,"Lanark--Frontenac--Kingston/Lanark--Frontenac--Kingston"," 510","Mobile poll/Bureau itinérant",0,5,0,0,0,13,0,18,25
35049,"Lanark--Frontenac--Kingston/Lanark--Frontenac--Kingston"," 511","Mobile poll/Bureau itinérant",1,8,2,0,1,10,0,22,33
35049,"Lanark--Frontenac--Kingston/Lanark--Frontenac--Kingston"," 512","Mobile poll/Bureau itinérant",1,9,3,0,4,8,2,27,34
35049,"Lanark--Frontenac--Kingston/Lanark--Frontenac--Kingston"," 513","Mobile poll/Bureau itinérant",0,6,3,0,0,7,0,16,60
35049,"Lanark--Frontenac--Kingston/Lanark--Frontenac--Kingston"," 514","Mobile poll/Bureau itinérant",0,9,10,0,1,24,1,45,60
35049,"Lanark--Frontenac--Kingston/Lanark--Frontenac--Kingston"," 515","Mobile poll/Bureau itinérant",0,21,4,0,1,19,0,45,85
35049,"Lanark--Frontenac--Kingston/Lanark--Frontenac--Kingston"," 516","Mobile poll/Bureau itinérant",2,4,2,0,0,6,0,14,14
35049,"Lanark--Frontenac--Kingston/Lanark--Frontenac--Kingston"," 517","Mobile poll/Bureau itinérant",0,4,0,0,0,5,1,10,11
35049,"Lanark--Frontenac--Kingston/Lanark--Frontenac--Kingston"," 518","Mobile poll/Bureau itinérant",4,9,5,1,0,13,0,32,52
35049,"Lanark--Frontenac--Kingston/Lanark--Frontenac--Kingston"," 600","Mississippi Mills",81,320,128,3,23,731,4,1290,
35049,"Lanark--Frontenac--Kingston/Lanark--Frontenac--Kingston"," 601","Mississippi Mills",81,503,227,2,46,1025,7,1891,
35049,"Lanark--Frontenac--Kingston/Lanark--Frontenac--Kingston"," 602","Carleton Place",83,389,204,6,33,875,5,1595,
35049,"Lanark--Frontenac--Kingston/Lanark--Frontenac--Kingston"," 603","Carleton Place",77,431,198,5,28,960,2,1701,
35049,"Lanark--Frontenac--Kingston/Lanark--Frontenac--Kingston"," 604","Montague",101,201,160,0,23,619,2,1106,
35049,"Lanark--Frontenac--Kingston/Lanark--Frontenac--Kingston"," 605","Smiths Falls",81,285,155,3,26,645,9,1204,
35049,"Lanark--Frontenac--Kingston/Lanark--Frontenac--Kingston"," 606","Carleton Place",103,319,170,4,27,910,8,1541,
35049,"Lanark--Frontenac--Kingston/Lanark--Frontenac--Kingston"," 607","Lanark",83,154,86,1,30,554,2,910,
35049,"Lanark--Frontenac--Kingston/Lanark--Frontenac--Kingston"," 608","Perth",90,390,172,3,38,991,9,1693,
35049,"Lanark--Frontenac--Kingston/Lanark--Frontenac--Kingston"," 609","Perth",38,292,92,1,23,590,8,1044,
35049,"Lanark--Frontenac--Kingston/Lanark--Frontenac--Kingston"," 610","Perth",83,434,196,3,54,798,11,1579,
35049,"Lanark--Frontenac--Kingston/Lanark--Frontenac--Kingston"," 611","Clyde Forks",60,194,81,4,37,427,0,803,
35049,"Lanark--Frontenac--Kingston/Lanark--Frontenac--Kingston"," 612","North Frontenac--Central Frontenac",29,138,46,3,3,208,0,427,
35049,"Lanark--Frontenac--Kingston/Lanark--Frontenac--Kingston"," 613","Crow Lake",42,227,59,1,9,339,1,678,
35049,"Lanark--Frontenac--Kingston/Lanark--Frontenac--Kingston"," 614","Verona",66,307,151,1,15,477,2,1019,
35049,"Lanark--Frontenac--Kingston/Lanark--Frontenac--Kingston"," 615","Harrowsmith",41,178,76,2,13,181,1,492,
35049,"Lanark--Frontenac--Kingston/Lanark--Frontenac--Kingston"," 616","Sydenham",38,267,103,1,11,314,6,740,
35049,"Lanark--Frontenac--Kingston/Lanark--Frontenac--Kingston"," 617","South Frontenac",17,180,115,1,6,273,1,593,
35049,"Lanark--Frontenac--Kingston/Lanark--Frontenac--Kingston"," 618","Keelerville",19,261,99,0,13,320,3,715,
35049,"Lanark--Frontenac--Kingston/Lanark--Frontenac--Kingston"," 619","Kingston",36,274,151,0,18,299,7,785,
35049,"Lanark--Frontenac--Kingston/Lanark--Frontenac--Kingston",,Group 1/Groupe 1, 21,204,127,2,30,267,31,682,188
35049,"Lanark--Frontenac--Kingston/Lanark--Frontenac--Kingston",,Group 2/Groupe 2, 148,1225,454,9,92,1654,61,3643,
