Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Dan Albas,Sarah Eves,Kathryn Mcdonald,Joan Phillip,Brennan Wauters,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 122","Kelowna",48,28,7,56,4,0,143,516
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 123A","Kelowna",Merged with No./Fusionné avec le n°121,,,,,,,108
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 123B","Kelowna",67,53,3,29,3,1,156,585
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 123C","Mobile poll/Bureau itinérant",24,11,0,3,1,0,39,55
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 124","Kelowna",43,32,13,33,6,2,129,511
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 125","Kelowna",59,55,15,54,11,1,195,555
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 126","Kelowna",59,35,7,25,5,0,131,424
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 127","Kelowna",40,34,15,49,6,1,145,440
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 128","Kelowna",46,43,16,52,12,0,169,574
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 129","Kelowna",41,31,15,44,7,0,138,438
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 130","Kelowna",43,34,17,61,5,0,160,480
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 131","Kelowna",66,22,3,47,3,1,142,565
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola"," 132","Kelowna",56,36,5,65,4,0,166,549
