Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Keira Gunn,Jasraj Singh Hallan,Dwayne Holub,Carey Rutherford,Jordan Stein,Jonathan Trautman,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 108","Calgary",19,25,3,2,43,0,0,92,391
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 109","Calgary",26,61,12,3,60,0,3,165,559
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 110","Calgary",20,52,2,1,31,3,0,109,367
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 111","Calgary",25,52,9,7,41,1,3,138,356
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 112","Calgary",24,46,13,0,29,0,4,116,444
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 113","Calgary",7,41,8,2,25,0,0,83,349
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 114","Calgary",31,62,12,3,33,1,2,144,467
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 115","Calgary",23,81,8,2,30,2,0,146,399
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 116","Calgary",45,51,5,3,19,1,1,125,410
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 117","Calgary",39,64,9,3,39,0,3,157,417
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 118","Calgary",25,66,10,4,27,3,2,137,393
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 119","Calgary",34,66,14,3,22,0,0,139,432
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 120","Calgary",35,71,7,6,44,1,0,164,472
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 121","Calgary",14,49,12,1,25,0,2,103,400
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 122","Calgary",27,59,13,4,24,1,1,129,472
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 123","Calgary",38,49,21,5,22,2,0,137,437
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 124","Calgary",32,52,11,8,21,0,1,125,342
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 125","Calgary",55,75,16,3,52,0,2,203,648
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 126","Calgary",19,34,10,1,34,1,2,101,381
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 127","Calgary",32,62,15,5,23,0,1,138,359
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 128","Calgary",19,43,9,1,20,0,2,94,368
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 129","Calgary",23,64,13,3,21,1,0,125,394
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 130","Calgary",23,60,10,3,25,0,0,121,386
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 131","Calgary",34,92,10,8,28,0,1,173,435
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 132","Calgary",17,34,6,0,13,1,1,72,309
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 133","Calgary",25,50,10,6,24,2,0,117,323
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 134","Calgary",24,57,11,5,35,3,0,135,395
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 135","Calgary",20,50,8,1,29,0,0,108,368
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 136","Calgary",20,54,9,3,31,1,1,119,361
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 137","Calgary",20,61,13,4,31,0,3,132,392
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 138","Calgary",21,71,8,5,37,0,2,144,412
