Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Chris Bittle,Rebecca Hahn,Trecia McLennon,Catharine Rhodes,Krystina Waler,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35089,"St. Catharines/St. Catharines"," 100B","St. Catharines",67,8,28,6,52,0,161,303
35089,"St. Catharines/St. Catharines"," 101","St. Catharines",75,9,31,3,94,2,214,487
35089,"St. Catharines/St. Catharines"," 102","St. Catharines",84,6,28,4,43,1,166,401
35089,"St. Catharines/St. Catharines"," 103","St. Catharines",68,7,15,1,54,0,145,417
35089,"St. Catharines/St. Catharines"," 104","St. Catharines",29,5,12,2,65,0,113,322
35089,"St. Catharines/St. Catharines"," 105","St. Catharines",69,21,49,0,49,2,190,591
35089,"St. Catharines/St. Catharines"," 106","St. Catharines",62,11,35,1,55,1,165,582
35089,"St. Catharines/St. Catharines"," 107","St. Catharines",50,10,40,5,46,0,151,465
35089,"St. Catharines/St. Catharines"," 108","St. Catharines",45,6,40,2,32,2,127,436
35089,"St. Catharines/St. Catharines"," 109","St. Catharines",51,14,45,5,56,0,171,482
35089,"St. Catharines/St. Catharines"," 110","St. Catharines",62,23,34,2,44,3,168,469
35089,"St. Catharines/St. Catharines"," 111","St. Catharines",80,17,72,1,64,0,234,532
35089,"St. Catharines/St. Catharines"," 112","St. Catharines",57,21,67,9,61,1,216,572
35089,"St. Catharines/St. Catharines"," 113","St. Catharines",59,16,47,5,44,0,171,465
35089,"St. Catharines/St. Catharines"," 114","St. Catharines",59,15,71,3,38,1,187,543
35089,"St. Catharines/St. Catharines"," 115","St. Catharines",56,19,73,4,43,4,199,632
35089,"St. Catharines/St. Catharines"," 116","St. Catharines",84,16,47,2,61,0,210,416
35089,"St. Catharines/St. Catharines"," 117","St. Catharines",59,19,44,3,39,0,164,490
35089,"St. Catharines/St. Catharines"," 118","St. Catharines",71,20,60,1,47,1,200,549
35089,"St. Catharines/St. Catharines"," 119","St. Catharines",103,19,70,4,69,4,269,648
35089,"St. Catharines/St. Catharines"," 120","St. Catharines",59,20,51,2,40,0,172,474
35089,"St. Catharines/St. Catharines"," 121","St. Catharines",34,14,30,7,51,1,137,363
35089,"St. Catharines/St. Catharines"," 122","St. Catharines",70,21,53,1,37,2,184,453
35089,"St. Catharines/St. Catharines"," 123","St. Catharines",43,14,63,2,42,1,165,537
35089,"St. Catharines/St. Catharines"," 124","St. Catharines",59,10,87,3,48,3,210,577
35089,"St. Catharines/St. Catharines"," 125","St. Catharines",49,12,64,5,38,4,172,495
35089,"St. Catharines/St. Catharines"," 126","St. Catharines",50,19,77,18,37,4,205,559
35089,"St. Catharines/St. Catharines"," 127","St. Catharines",73,13,65,2,51,0,204,571
35089,"St. Catharines/St. Catharines"," 128","St. Catharines",64,13,99,7,43,0,226,598
35089,"St. Catharines/St. Catharines"," 129","St. Catharines",64,12,92,8,33,1,210,555
35089,"St. Catharines/St. Catharines"," 130","St. Catharines",52,27,32,3,62,0,176,482
35089,"St. Catharines/St. Catharines"," 131","St. Catharines",72,8,27,2,39,0,148,413
35089,"St. Catharines/St. Catharines"," 132","St. Catharines",64,14,37,6,43,0,164,488
35089,"St. Catharines/St. Catharines"," 133","St. Catharines",51,11,47,4,40,1,154,402
35089,"St. Catharines/St. Catharines"," 134","St. Catharines",47,11,55,4,47,0,164,445
35089,"St. Catharines/St. Catharines"," 135","St. Catharines",52,9,42,4,37,1,145,474
35089,"St. Catharines/St. Catharines"," 136","St. Catharines",56,18,42,2,58,4,180,569
35089,"St. Catharines/St. Catharines"," 137","St. Catharines",45,15,63,5,38,0,166,549
35089,"St. Catharines/St. Catharines"," 138","St. Catharines",74,9,28,5,37,0,153,510
35089,"St. Catharines/St. Catharines"," 139","St. Catharines",50,9,48,6,31,2,146,511
35089,"St. Catharines/St. Catharines"," 140","St. Catharines",47,14,57,7,41,1,167,562
35089,"St. Catharines/St. Catharines"," 141","St. Catharines",66,12,67,11,26,0,182,473
35089,"St. Catharines/St. Catharines"," 142","St. Catharines",74,12,75,8,40,0,209,539
35089,"St. Catharines/St. Catharines"," 143","St. Catharines",83,7,28,5,74,1,198,509
35089,"St. Catharines/St. Catharines"," 144","St. Catharines",85,15,18,2,64,1,185,510
35089,"St. Catharines/St. Catharines"," 145","St. Catharines",100,12,47,3,79,0,241,747
35089,"St. Catharines/St. Catharines"," 146","St. Catharines",47,6,31,1,36,1,122,322
35089,"St. Catharines/St. Catharines"," 147","St. Catharines",57,11,34,2,65,0,169,437
35089,"St. Catharines/St. Catharines"," 148","St. Catharines",60,8,34,1,52,1,156,379
35089,"St. Catharines/St. Catharines"," 149","St. Catharines",67,7,34,0,51,0,159,425
35089,"St. Catharines/St. Catharines"," 150","St. Catharines",78,23,70,5,48,2,226,658
35089,"St. Catharines/St. Catharines"," 151","St. Catharines",85,22,63,7,53,1,231,535
35089,"St. Catharines/St. Catharines"," 152","St. Catharines",68,11,77,4,59,1,220,496
35089,"St. Catharines/St. Catharines"," 153","St. Catharines",63,10,59,2,55,0,189,517
35089,"St. Catharines/St. Catharines"," 154A","St. Catharines",45,4,23,2,45,3,122,380
35089,"St. Catharines/St. Catharines"," 154B","St. Catharines",28,4,12,0,107,5,156,234
35089,"St. Catharines/St. Catharines"," 155","St. Catharines",55,21,63,4,31,1,175,723
35089,"St. Catharines/St. Catharines"," 156","St. Catharines",56,13,73,1,34,0,177,485
35089,"St. Catharines/St. Catharines"," 157","St. Catharines",58,6,54,3,43,0,164,481
35089,"St. Catharines/St. Catharines"," 158","St. Catharines",57,14,59,5,38,2,175,482
35089,"St. Catharines/St. Catharines"," 159","St. Catharines",63,16,54,2,45,1,181,478
35089,"St. Catharines/St. Catharines"," 160","St. Catharines",57,20,64,9,54,1,205,545
35089,"St. Catharines/St. Catharines"," 161","St. Catharines",46,11,50,4,43,0,154,455
35089,"St. Catharines/St. Catharines"," 162","St. Catharines",42,9,43,4,52,1,151,472
35089,"St. Catharines/St. Catharines"," 163","St. Catharines",66,17,52,5,46,0,186,498
35089,"St. Catharines/St. Catharines"," 164","St. Catharines",58,20,53,1,44,1,177,461
35089,"St. Catharines/St. Catharines"," 165","St. Catharines",60,20,60,6,48,0,194,533
35089,"St. Catharines/St. Catharines"," 166","St. Catharines",55,20,45,2,50,0,172,450
35089,"St. Catharines/St. Catharines"," 167","St. Catharines",51,26,84,5,69,0,235,657
35089,"St. Catharines/St. Catharines"," 168","St. Catharines",84,18,53,5,58,1,219,634
35089,"St. Catharines/St. Catharines"," 169","St. Catharines",56,11,48,1,49,0,165,443
35089,"St. Catharines/St. Catharines"," 170","St. Catharines",72,7,44,3,53,1,180,442
35089,"St. Catharines/St. Catharines"," 171","St. Catharines",53,33,83,4,36,1,210,658
35089,"St. Catharines/St. Catharines"," 172","St. Catharines",98,13,21,1,96,5,234,545
35089,"St. Catharines/St. Catharines"," 173","St. Catharines",116,22,45,1,64,9,257,596
35089,"St. Catharines/St. Catharines"," 174","St. Catharines",70,6,42,5,59,0,182,401
35089,"St. Catharines/St. Catharines"," 175","St. Catharines",51,13,41,5,45,0,155,421
35089,"St. Catharines/St. Catharines"," 176","St. Catharines",52,7,44,2,54,4,163,473
35089,"St. Catharines/St. Catharines"," 177A","St. Catharines",61,2,30,4,42,1,140,285
