Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,André Blanchette,Yanick Caisse,Catherine Gauvin,Eric Pettersen,Louis Plamondon,Nathalie Rochefort,David Turcotte,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24009,"Bécancour--Nicolet--Saurel/Bécancour--Nicolet--Saurel"," 189","Sainte-Victoire-de-Sorel",2,23,6,7,120,29,1,4,192,446
24009,"Bécancour--Nicolet--Saurel/Bécancour--Nicolet--Saurel"," 190","Sainte-Victoire-de-Sorel",0,18,8,2,60,12,1,4,105,254
24009,"Bécancour--Nicolet--Saurel/Bécancour--Nicolet--Saurel"," 191","Sainte-Victoire-de-Sorel",3,24,11,4,71,16,0,6,135,283
24009,"Bécancour--Nicolet--Saurel/Bécancour--Nicolet--Saurel"," 192","Sainte-Victoire-de-Sorel",7,30,7,6,142,30,3,6,231,492
24009,"Bécancour--Nicolet--Saurel/Bécancour--Nicolet--Saurel"," 193","Sainte-Victoire-de-Sorel",3,35,6,6,114,23,4,6,197,411
24009,"Bécancour--Nicolet--Saurel/Bécancour--Nicolet--Saurel"," 194","Sainte-Victoire-de-Sorel",1,7,5,0,60,24,3,0,100,220
24009,"Bécancour--Nicolet--Saurel/Bécancour--Nicolet--Saurel"," 195","Saint-Aimé",7,31,14,9,113,32,4,2,212,394
24009,"Bécancour--Nicolet--Saurel/Bécancour--Nicolet--Saurel"," 196","Massueville",4,29,13,8,124,34,6,10,228,430
24009,"Bécancour--Nicolet--Saurel/Bécancour--Nicolet--Saurel"," 197","Saint-Roch-de-Richelieu",6,19,14,3,92,23,5,0,162,364
24009,"Bécancour--Nicolet--Saurel/Bécancour--Nicolet--Saurel"," 198A","Saint-Roch-de-Richelieu",4,27,23,10,82,27,1,6,180,341
24009,"Bécancour--Nicolet--Saurel/Bécancour--Nicolet--Saurel"," 198B","Saint-Roch-de-Richelieu",2,24,9,3,118,34,8,7,205,369
24009,"Bécancour--Nicolet--Saurel/Bécancour--Nicolet--Saurel"," 199","Saint-Roch-de-Richelieu",8,12,12,6,82,22,0,5,147,284
24009,"Bécancour--Nicolet--Saurel/Bécancour--Nicolet--Saurel"," 200","Saint-Roch-de-Richelieu",7,14,8,5,85,27,2,3,151,300
24009,"Bécancour--Nicolet--Saurel/Bécancour--Nicolet--Saurel"," 201","Saint-Roch-de-Richelieu",7,17,13,11,141,35,4,4,232,469
24009,"Bécancour--Nicolet--Saurel/Bécancour--Nicolet--Saurel"," 202","Saint-Ours",2,22,5,0,102,34,2,1,168,387
24009,"Bécancour--Nicolet--Saurel/Bécancour--Nicolet--Saurel"," 203","Saint-Ours",2,14,12,3,58,19,1,4,113,354
24009,"Bécancour--Nicolet--Saurel/Bécancour--Nicolet--Saurel"," 204","Saint-Ours",5,26,6,1,90,19,2,6,155,329
24009,"Bécancour--Nicolet--Saurel/Bécancour--Nicolet--Saurel"," 205","Saint-Ours",6,19,9,5,99,23,5,7,173,401
24009,"Bécancour--Nicolet--Saurel/Bécancour--Nicolet--Saurel"," 500","Mobile poll/Bureau itinérant",Void/Supprimé,,,,,,,,,
24009,"Bécancour--Nicolet--Saurel/Bécancour--Nicolet--Saurel"," 501","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°5,,,,,,,,,14
24009,"Bécancour--Nicolet--Saurel/Bécancour--Nicolet--Saurel"," 502","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°7,,,,,,,,,47
24009,"Bécancour--Nicolet--Saurel/Bécancour--Nicolet--Saurel"," 503","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°7,,,,,,,,,10
24009,"Bécancour--Nicolet--Saurel/Bécancour--Nicolet--Saurel"," 504","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°15,,,,,,,,,33
24009,"Bécancour--Nicolet--Saurel/Bécancour--Nicolet--Saurel"," 505","Bécancour",Merged with No./Fusionné avec le n°26,,,,,,,,,1
24009,"Bécancour--Nicolet--Saurel/Bécancour--Nicolet--Saurel"," 506","Bécancour",Merged with No./Fusionné avec le n°26,,,,,,,,,2
24009,"Bécancour--Nicolet--Saurel/Bécancour--Nicolet--Saurel"," 507","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°31,,,,,,,,,32
24009,"Bécancour--Nicolet--Saurel/Bécancour--Nicolet--Saurel"," 508","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°48,,,,,,,,,20
24009,"Bécancour--Nicolet--Saurel/Bécancour--Nicolet--Saurel"," 509","Mobile poll/Bureau itinérant",7,5,1,0,58,45,0,2,118,202
24009,"Bécancour--Nicolet--Saurel/Bécancour--Nicolet--Saurel"," 510","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°59,,,,,,,,,27
24009,"Bécancour--Nicolet--Saurel/Bécancour--Nicolet--Saurel"," 511","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°59,,,,,,,,,71
24009,"Bécancour--Nicolet--Saurel/Bécancour--Nicolet--Saurel"," 512","Mobile poll/Bureau itinérant",2,2,0,0,19,12,0,7,42,82
24009,"Bécancour--Nicolet--Saurel/Bécancour--Nicolet--Saurel"," 513","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°55,,,,,,,,,30
24009,"Bécancour--Nicolet--Saurel/Bécancour--Nicolet--Saurel"," 514","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°72,,,,,,,,,28
24009,"Bécancour--Nicolet--Saurel/Bécancour--Nicolet--Saurel"," 515","Mobile poll/Bureau itinérant",1,0,0,0,10,14,0,4,29,13
24009,"Bécancour--Nicolet--Saurel/Bécancour--Nicolet--Saurel"," 516","Mobile poll/Bureau itinérant",3,6,2,0,40,22,0,14,87,114
24009,"Bécancour--Nicolet--Saurel/Bécancour--Nicolet--Saurel"," 517","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°165,,,,,,,,,20
24009,"Bécancour--Nicolet--Saurel/Bécancour--Nicolet--Saurel"," 518","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°149,,,,,,,,,16
24009,"Bécancour--Nicolet--Saurel/Bécancour--Nicolet--Saurel"," 519","Mobile poll/Bureau itinérant",6,10,0,0,37,37,0,7,97,133
24009,"Bécancour--Nicolet--Saurel/Bécancour--Nicolet--Saurel"," 520","Mobile poll/Bureau itinérant",1,6,2,0,16,19,1,1,46,63
24009,"Bécancour--Nicolet--Saurel/Bécancour--Nicolet--Saurel"," 521","Mobile poll/Bureau itinérant",1,2,1,0,21,14,1,8,48,62
24009,"Bécancour--Nicolet--Saurel/Bécancour--Nicolet--Saurel"," 522","Mobile poll/Bureau itinérant",Void/Supprimé,,,,,,,,,
24009,"Bécancour--Nicolet--Saurel/Bécancour--Nicolet--Saurel"," 523","Mobile poll/Bureau itinérant",4,1,0,0,13,6,0,0,24,77
24009,"Bécancour--Nicolet--Saurel/Bécancour--Nicolet--Saurel"," 524","Mobile poll/Bureau itinérant",5,10,0,0,33,21,1,4,74,141
24009,"Bécancour--Nicolet--Saurel/Bécancour--Nicolet--Saurel"," 525","Mobile poll/Bureau itinérant",Results combined with no. 139/Résultats combinés au n° 139,,,,,,,,,16
24009,"Bécancour--Nicolet--Saurel/Bécancour--Nicolet--Saurel"," 526","Mobile poll/Bureau itinérant",0,0,0,0,0,0,0,0,0,20
24009,"Bécancour--Nicolet--Saurel/Bécancour--Nicolet--Saurel"," 527","Mobile poll/Bureau itinérant",0,1,0,0,5,6,0,1,13,16
24009,"Bécancour--Nicolet--Saurel/Bécancour--Nicolet--Saurel"," 600","Saint-Pierre-les-Becquets",23,142,37,10,339,102,7,4,664,
24009,"Bécancour--Nicolet--Saurel/Bécancour--Nicolet--Saurel"," 601","Bécancour",26,184,35,17,400,103,10,11,786,
24009,"Bécancour--Nicolet--Saurel/Bécancour--Nicolet--Saurel"," 602","Lemieux--Saint-Sylvère",6,58,4,5,118,39,2,3,235,
24009,"Bécancour--Nicolet--Saurel/Bécancour--Nicolet--Saurel"," 603","Aston-Jonction",32,145,24,18,398,113,21,13,764,
24009,"Bécancour--Nicolet--Saurel/Bécancour--Nicolet--Saurel"," 604","Saint-Léonard-d'Aston--Sainte-Monique",8,75,14,13,138,47,7,6,308,
24009,"Bécancour--Nicolet--Saurel/Bécancour--Nicolet--Saurel"," 605","Bécancour",20,271,70,20,625,270,11,11,1298,
24009,"Bécancour--Nicolet--Saurel/Bécancour--Nicolet--Saurel"," 606","Nicolet",33,150,27,9,482,120,17,16,854,
24009,"Bécancour--Nicolet--Saurel/Bécancour--Nicolet--Saurel"," 607","Nicolet",27,119,34,17,555,208,14,20,994,
24009,"Bécancour--Nicolet--Saurel/Bécancour--Nicolet--Saurel"," 608","Baie-du-Febvre--Saint-Zéphirin-de-Courval",7,29,15,8,152,39,1,8,259,
24009,"Bécancour--Nicolet--Saurel/Bécancour--Nicolet--Saurel"," 609","Pierreville",18,108,34,12,646,159,10,15,1002,
24009,"Bécancour--Nicolet--Saurel/Bécancour--Nicolet--Saurel"," 610","Sainte-Anne-de-Sorel",16,121,20,7,426,149,11,12,762,
24009,"Bécancour--Nicolet--Saurel/Bécancour--Nicolet--Saurel"," 611","Yamaska",11,62,9,6,213,89,4,7,401,
24009,"Bécancour--Nicolet--Saurel/Bécancour--Nicolet--Saurel"," 612","Sainte-Victoire-de-Sorel",13,117,24,10,446,94,2,21,727,
24009,"Bécancour--Nicolet--Saurel/Bécancour--Nicolet--Saurel"," 613","Sorel-Tracy",23,156,32,11,671,168,9,32,1102,
24009,"Bécancour--Nicolet--Saurel/Bécancour--Nicolet--Saurel"," 614","Sorel-Tracy",16,132,21,9,480,173,4,24,859,
24009,"Bécancour--Nicolet--Saurel/Bécancour--Nicolet--Saurel"," 615","Saint-Joseph-de-Sorel",28,115,27,27,588,134,6,14,939,
24009,"Bécancour--Nicolet--Saurel/Bécancour--Nicolet--Saurel"," 616","Sorel-Tracy",26,113,25,15,560,210,7,21,977,
24009,"Bécancour--Nicolet--Saurel/Bécancour--Nicolet--Saurel"," 617","Sorel-Tracy",17,151,23,14,535,161,5,1,907,
24009,"Bécancour--Nicolet--Saurel/Bécancour--Nicolet--Saurel"," 618","Sorel-Tracy",20,127,30,12,599,176,17,18,999,
24009,"Bécancour--Nicolet--Saurel/Bécancour--Nicolet--Saurel"," 619","Sorel-Tracy",16,180,38,12,647,202,12,11,1118,
24009,"Bécancour--Nicolet--Saurel/Bécancour--Nicolet--Saurel"," 620","Saint-Ours",18,51,22,5,329,82,12,6,525,
24009,"Bécancour--Nicolet--Saurel/Bécancour--Nicolet--Saurel",,Group 1/Groupe 1, 3,13,16,3,75,27,1,5,143,39
24009,"Bécancour--Nicolet--Saurel/Bécancour--Nicolet--Saurel",,Group 2/Groupe 2, 39,310,40,22,1972,482,10,71,2946,
