Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Robert M. Bowers,Michelle Ferreri,Joy Lachica,Paul Lawton,Maryam Monsef,Chanté White,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 238","Peterborough",1,82,53,16,75,4,1,232,525
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 400","Peterborough",0,46,26,4,40,5,3,124,177
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 401","Peterborough",Merged with No./Fusionné avec le n°154,,,,,,,,167
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 402","Peterborough",Merged with No./Fusionné avec le n°196,,,,,,,,133
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 500","Mobile poll/Bureau itinérant",3,6,7,1,16,2,0,35,94
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 501","Mobile poll/Bureau itinérant",1,13,4,2,13,0,0,33,95
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 502","Mobile poll/Bureau itinérant",1,14,5,0,19,0,0,39,103
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 503","Mobile poll/Bureau itinérant",0,25,6,3,27,1,0,62,242
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 504","Peterborough",Merged with No./Fusionné avec le n°133,,,,,,,,89
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 505","Mobile poll/Bureau itinérant",0,29,7,2,29,1,1,69,103
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 506","Mobile poll/Bureau itinérant",0,22,6,0,38,2,1,69,113
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 507","Mobile poll/Bureau itinérant",0,10,3,1,21,0,0,35,57
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 508","Mobile poll/Bureau itinérant",1,9,2,0,19,1,1,33,41
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 509","Peterborough",Merged with No./Fusionné avec le n°142A,,,,,,,,91
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 510","Mobile poll/Bureau itinérant",0,20,4,0,20,0,0,44,63
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 511","Mobile poll/Bureau itinérant",1,4,2,0,14,5,0,26,31
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 512","Mobile poll/Bureau itinérant",1,10,4,1,19,0,0,35,98
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 513","Mobile poll/Bureau itinérant",0,16,7,3,23,1,2,52,98
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 514","Peterborough",Merged with No./Fusionné avec le n°198,,,,,,,,14
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 515","Mobile poll/Bureau itinérant",2,6,3,2,23,1,7,44,132
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 516","Mobile poll/Bureau itinérant",1,16,9,0,48,1,6,81,117
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 517","Peterborough",Merged with No./Fusionné avec le n°171,,,,,,,,124
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 518","Mobile poll/Bureau itinérant",0,17,6,1,55,1,1,81,117
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 519","Mobile poll/Bureau itinérant",0,37,8,1,44,1,6,97,127
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 520","Mobile poll/Bureau itinérant",1,20,10,3,33,1,5,73,65
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 521","Mobile poll/Bureau itinérant",1,14,6,6,22,1,1,51,191
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 522","Mobile poll/Bureau itinérant",2,29,5,0,30,0,7,73,101
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 523","Mobile poll/Bureau itinérant",1,20,3,0,22,2,2,50,67
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 600","Trent Lakes",3,407,82,41,237,7,3,780,
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 601","Apsley",0,367,57,67,180,14,2,687,
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 602","Trent Lakes",0,402,55,25,238,12,5,737,
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 603","Ennismore",6,630,83,48,351,21,3,1142,
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 604","Selwyn--Curve Lake First Nation 35",2,137,29,14,97,5,1,285,
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 605","Youngs Point",0,516,69,29,269,12,5,900,
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 606","Lakefield",3,633,182,59,497,30,8,1412,
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 607","Bridgenorth",1,578,101,56,355,16,0,1107,
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 608","Peterborough",6,693,184,53,546,33,7,1522,
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 609","Peterborough",4,490,253,35,507,20,5,1314,
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 610","Peterborough",2,145,251,36,242,13,3,692,
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 611","Peterborough",6,321,296,55,607,18,4,1307,
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 612","Peterborough",4,811,202,47,840,20,6,1930,
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 613","Peterborough",3,673,220,73,677,32,10,1688,
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 614","Peterborough",2,438,139,38,299,19,1,936,
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 615","Peterborough",2,282,192,47,397,19,2,941,
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 616","Peterborough",2,321,155,37,298,20,5,838,
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 617","Peterborough",0,404,186,64,355,15,3,1027,
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 618","Peterborough",0,321,243,39,465,20,6,1094,
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 619","Peterborough",2,485,142,64,500,27,17,1237,
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 620","Peterborough",3,550,173,24,613,18,6,1387,
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 621","Warsaw",0,483,100,53,239,16,4,895,
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 622","Havelock-Belmont-Methuen",1,326,39,50,148,6,0,570,
35084,"Peterborough--Kawartha/Peterborough--Kawartha"," 623","Havelock-Belmont-Methuen",4,374,83,56,147,19,5,688,
35084,"Peterborough--Kawartha/Peterborough--Kawartha",,Group 1/Groupe 1, 0,142,135,14,231,7,14,543,213
35084,"Peterborough--Kawartha/Peterborough--Kawartha",,Group 2/Groupe 2, 3,1405,770,66,1919,61,55,4279,
