Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Rayna Boychuk,Michael Chang,Kaija Farstad,Kim Richter,Tako Van Popta,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59016,"Langley--Aldergrove/Langley--Aldergrove"," 135","Langley",7,44,7,69,161,0,288,608
59016,"Langley--Aldergrove/Langley--Aldergrove"," 136","Langley",20,32,7,66,125,0,250,565
59016,"Langley--Aldergrove/Langley--Aldergrove"," 137","Langley",11,21,3,39,78,0,152,415
59016,"Langley--Aldergrove/Langley--Aldergrove"," 138","Langley",13,56,14,60,173,2,318,497
59016,"Langley--Aldergrove/Langley--Aldergrove"," 139","Abbotsford",29,61,10,73,223,3,399,554
59016,"Langley--Aldergrove/Langley--Aldergrove"," 140","Langley",Merged with No./Fusionné avec le n°138,,,,,,,481
59016,"Langley--Aldergrove/Langley--Aldergrove"," 141","Abbotsford",Merged with No./Fusionné avec le n°139,,,,,,,394
59016,"Langley--Aldergrove/Langley--Aldergrove"," 142","Langley",15,56,2,52,148,0,273,712
59016,"Langley--Aldergrove/Langley--Aldergrove"," 143","Langley",1,32,3,35,44,0,115,366
59016,"Langley--Aldergrove/Langley--Aldergrove"," 144","Langley",10,29,8,52,65,0,164,456
59016,"Langley--Aldergrove/Langley--Aldergrove"," 145","Langley",11,16,6,35,115,1,184,466
59016,"Langley--Aldergrove/Langley--Aldergrove"," 146","Langley",17,20,8,44,89,1,179,454
59016,"Langley--Aldergrove/Langley--Aldergrove"," 147","Langley",13,26,8,68,82,0,197,473
59016,"Langley--Aldergrove/Langley--Aldergrove"," 148","Langley",11,26,9,74,120,2,242,613
59016,"Langley--Aldergrove/Langley--Aldergrove"," 149","Langley",11,31,9,56,101,0,208,543
59016,"Langley--Aldergrove/Langley--Aldergrove"," 150A","Langley",12,44,7,64,156,0,283,106
59016,"Langley--Aldergrove/Langley--Aldergrove"," 150B","Langley",14,41,12,57,156,4,284,116
59016,"Langley--Aldergrove/Langley--Aldergrove"," 150C","Langley",17,50,7,61,137,0,272,94
59016,"Langley--Aldergrove/Langley--Aldergrove"," 150D","Langley",13,36,4,66,129,2,250,89
59016,"Langley--Aldergrove/Langley--Aldergrove"," 150E","Langley",9,25,5,37,86,0,162,86
59016,"Langley--Aldergrove/Langley--Aldergrove"," 151A","Langley",Merged with No./Fusionné avec le n°150A,,,,,,,88
