Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Benoit Bourassa,Ariane Croteau,Jean-Denis Garon,Mario Guay,Catherine Lefebvre,François Loza,Christian Montpetit,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24048,"Mirabel/Mirabel"," 609","Mirabel",74,25,563,22,154,280,22,21,1161,
24048,"Mirabel/Mirabel"," 610","Mirabel",42,16,520,8,133,213,12,15,959,
24048,"Mirabel/Mirabel"," 611","Mirabel",47,14,459,16,155,167,27,15,900,
24048,"Mirabel/Mirabel"," 612","Saint-Placide",26,7,335,11,75,108,13,11,586,
24048,"Mirabel/Mirabel"," 613","Oka",52,10,447,19,88,249,28,10,903,
24048,"Mirabel/Mirabel"," 614","Saint-Joseph-du-Lac",57,9,420,9,135,187,20,13,850,
24048,"Mirabel/Mirabel"," 615","Saint-Joseph-du-Lac",56,18,426,18,141,188,23,28,898,
24048,"Mirabel/Mirabel"," 616","Pointe-Calumet",39,21,323,12,72,146,25,16,654,
24048,"Mirabel/Mirabel"," 617","Sainte-Marthe-sur-le-Lac",57,20,435,10,156,314,23,20,1035,
24048,"Mirabel/Mirabel"," 618","Sainte-Marthe-sur-le-Lac",56,25,502,11,145,340,46,32,1157,
24048,"Mirabel/Mirabel"," 619","Sainte-Marthe-sur-le-Lac",60,15,448,15,114,297,17,14,980,
24048,"Mirabel/Mirabel"," 620","Mirabel",23,5,178,8,65,81,8,8,376,
24048,"Mirabel/Mirabel"," 621","Sainte-Anne-des-Plaines",61,17,613,20,186,258,54,22,1231,
24048,"Mirabel/Mirabel"," 622","Mirabel",39,3,174,5,32,98,26,6,383,
24048,"Mirabel/Mirabel"," 623","Mirabel",45,9,373,11,97,141,14,11,701,
24048,"Mirabel/Mirabel",,Group 1/Groupe 1, 40,1,112,11,45,81,5,23,318,36
24048,"Mirabel/Mirabel",,Group 2/Groupe 2, 84,15,427,10,141,246,27,62,1012,
