Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Wayne Baker,Brendan Knight,Kevin Kruchkywich,John Nater,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35083,"Perth--Wellington/Perth--Wellington"," 88","Stratford",7,60,16,88,1,172,499
35083,"Perth--Wellington/Perth--Wellington"," 89","Stratford",5,57,45,86,2,195,556
35083,"Perth--Wellington/Perth--Wellington"," 90","Stratford",5,89,31,71,0,196,529
35083,"Perth--Wellington/Perth--Wellington"," 91","Stratford",11,71,46,72,3,203,533
35083,"Perth--Wellington/Perth--Wellington"," 92","Stratford",10,72,38,71,0,191,512
35083,"Perth--Wellington/Perth--Wellington"," 93","Stratford",28,84,70,137,1,320,759
35083,"Perth--Wellington/Perth--Wellington"," 94","Stratford",12,76,46,62,0,196,648
35083,"Perth--Wellington/Perth--Wellington"," 95","Stratford",5,77,46,39,0,167,511
35083,"Perth--Wellington/Perth--Wellington"," 96","Stratford",13,66,45,52,0,176,527
35083,"Perth--Wellington/Perth--Wellington"," 97","Stratford",7,63,53,50,0,173,512
35083,"Perth--Wellington/Perth--Wellington"," 98","Stratford",20,84,53,53,1,211,565
35083,"Perth--Wellington/Perth--Wellington"," 99","Stratford",12,59,20,39,0,130,557
35083,"Perth--Wellington/Perth--Wellington"," 100","West Perth",Merged with No./Fusionné avec le n°101,,,,,,453
35083,"Perth--Wellington/Perth--Wellington"," 101","Mitchell",21,52,46,232,2,353,524
35083,"Perth--Wellington/Perth--Wellington"," 102","Mitchell",15,31,16,63,1,126,446
35083,"Perth--Wellington/Perth--Wellington"," 103","Mitchell",9,16,23,95,0,143,483
35083,"Perth--Wellington/Perth--Wellington"," 104","Mitchell",16,28,29,86,0,159,496
35083,"Perth--Wellington/Perth--Wellington"," 105","Mitchell",15,23,33,107,2,180,537
35083,"Perth--Wellington/Perth--Wellington"," 106","Mitchell",11,30,26,118,0,185,561
35083,"Perth--Wellington/Perth--Wellington"," 107","Mitchell",9,27,23,77,2,138,471
35083,"Perth--Wellington/Perth--Wellington"," 108","West Perth",30,27,23,172,0,252,410
35083,"Perth--Wellington/Perth--Wellington"," 109","Perth East",24,30,16,75,0,145,267
35083,"Perth--Wellington/Perth--Wellington"," 110","Perth East",34,51,58,128,0,271,527
35083,"Perth--Wellington/Perth--Wellington"," 111","West Perth",15,26,24,86,0,151,388
35083,"Perth--Wellington/Perth--Wellington"," 112","Sebringville",27,57,42,166,0,292,479
35083,"Perth--Wellington/Perth--Wellington"," 113","Perth East",22,47,18,122,0,209,436
35083,"Perth--Wellington/Perth--Wellington"," 114","Perth East",37,52,24,123,1,237,418
35083,"Perth--Wellington/Perth--Wellington"," 115","Perth East",42,71,59,149,0,321,504
35083,"Perth--Wellington/Perth--Wellington"," 116","Perth East",34,47,39,144,0,264,471
35083,"Perth--Wellington/Perth--Wellington"," 117","Perth East",34,46,37,166,0,283,444
35083,"Perth--Wellington/Perth--Wellington"," 118","Dublin",23,25,21,109,0,178,319
35083,"Perth--Wellington/Perth--Wellington"," 119","West Perth",10,20,20,91,0,141,272
35083,"Perth--Wellington/Perth--Wellington"," 120","West Perth",12,15,15,91,1,134,267
35083,"Perth--Wellington/Perth--Wellington"," 121","Stratford",13,95,76,43,1,228,536
35083,"Perth--Wellington/Perth--Wellington"," 122","Stratford",19,64,55,71,4,213,541
35083,"Perth--Wellington/Perth--Wellington"," 123","Stratford",9,73,54,39,2,177,562
35083,"Perth--Wellington/Perth--Wellington"," 124","Stratford",29,61,71,62,2,225,565
35083,"Perth--Wellington/Perth--Wellington"," 125","Stratford",26,62,75,61,0,224,611
35083,"Perth--Wellington/Perth--Wellington"," 126","Stratford",21,50,84,53,1,209,573
35083,"Perth--Wellington/Perth--Wellington"," 127","Stratford",18,62,62,77,1,220,815
35083,"Perth--Wellington/Perth--Wellington"," 128","Stratford",11,63,70,34,2,180,512
35083,"Perth--Wellington/Perth--Wellington"," 129","Stratford",8,88,109,58,0,263,609
35083,"Perth--Wellington/Perth--Wellington"," 130","Stratford",5,98,74,49,4,230,570
35083,"Perth--Wellington/Perth--Wellington"," 131","Stratford",23,67,111,60,0,261,535
35083,"Perth--Wellington/Perth--Wellington"," 132","Stratford",0,22,19,26,0,67,136
35083,"Perth--Wellington/Perth--Wellington"," 133","Stratford",25,53,63,78,2,221,548
35083,"Perth--Wellington/Perth--Wellington"," 134","Stratford",23,55,48,80,1,207,560
35083,"Perth--Wellington/Perth--Wellington"," 135","Perth East",25,44,23,123,0,215,508
35083,"Perth--Wellington/Perth--Wellington"," 136","Stratford",9,65,32,81,0,187,505
35083,"Perth--Wellington/Perth--Wellington"," 137","Stratford",7,78,80,97,3,265,616
35083,"Perth--Wellington/Perth--Wellington"," 138","Stratford",16,72,47,77,3,215,617
35083,"Perth--Wellington/Perth--Wellington"," 139","Stratford",19,37,63,59,0,178,514
35083,"Perth--Wellington/Perth--Wellington"," 140","Stratford",16,66,84,62,0,228,540
35083,"Perth--Wellington/Perth--Wellington"," 141","Stratford",28,54,83,85,2,252,571
35083,"Perth--Wellington/Perth--Wellington"," 142","Stratford",30,63,81,87,3,264,634
35083,"Perth--Wellington/Perth--Wellington"," 143","Stratford",26,47,61,85,0,219,517
35083,"Perth--Wellington/Perth--Wellington"," 144","Stratford",15,56,63,87,3,224,561
35083,"Perth--Wellington/Perth--Wellington"," 145","Stratford",20,74,82,85,4,265,599
35083,"Perth--Wellington/Perth--Wellington"," 146","Stratford",13,46,58,104,2,223,598
35083,"Perth--Wellington/Perth--Wellington"," 147","Stratford",12,64,58,92,0,226,576
35083,"Perth--Wellington/Perth--Wellington"," 148","Stratford",27,52,67,64,1,211,533
35083,"Perth--Wellington/Perth--Wellington"," 149","Perth South",12,26,24,107,0,169,337
35083,"Perth--Wellington/Perth--Wellington"," 150","West Perth",Merged with No./Fusionné avec le n°108,,,,,,347
35083,"Perth--Wellington/Perth--Wellington"," 151","Perth South",Merged with No./Fusionné avec le n°152,,,,,,337
35083,"Perth--Wellington/Perth--Wellington"," 152","Perth South",38,74,53,227,4,396,336
