Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Ted Falk,Nöel Gautron,Janine G. Gibson,Trevor Kirczenow,Rick Loewen,Serina Pottinger,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
46008,"Provencher/Provencher"," 35","Lorette",80,32,4,57,5,51,2,231,563
46008,"Provencher/Provencher"," 36","Lorette",80,19,4,40,2,34,4,183,440
46008,"Provencher/Provencher"," 37","Lorette",72,16,8,36,2,30,1,165,470
46008,"Provencher/Provencher"," 38","Lorette",68,7,2,47,2,30,2,158,372
46008,"Provencher/Provencher"," 39","Rosewood",81,26,6,37,8,46,0,204,565
46008,"Provencher/Provencher"," 40","Lorette",57,16,1,51,1,49,0,175,479
46008,"Provencher/Provencher"," 41","Lorette",39,20,2,29,6,31,0,127,372
46008,"Provencher/Provencher"," 42","Lorette",89,38,7,44,4,35,1,218,565
46008,"Provencher/Provencher"," 43A","Lorette",52,12,0,28,1,14,0,107,294
46008,"Provencher/Provencher"," 43B","Lorette",44,10,2,21,2,22,2,103,291
46008,"Provencher/Provencher"," 44","Ste-Geneviève",116,37,11,46,5,53,0,268,528
46008,"Provencher/Provencher"," 45","Ste-Geneviève",108,53,9,78,6,56,4,314,638
46008,"Provencher/Provencher"," 46","Prairie Grove",100,22,4,60,7,26,1,220,510
46008,"Provencher/Provencher"," 47","Ile des Chênes",100,27,11,61,3,43,2,247,514
46008,"Provencher/Provencher"," 48A","Ile des Chênes",44,17,2,30,2,23,0,118,282
46008,"Provencher/Provencher"," 48B","Ile des Chênes",57,14,8,28,1,22,1,131,282
46008,"Provencher/Provencher"," 49","Ile des Chênes",38,7,4,28,3,21,1,102,222
46008,"Provencher/Provencher"," 50","Ile des Chênes",69,13,3,38,1,41,1,166,435
46008,"Provencher/Provencher"," 51A","Ile des Chênes",66,26,6,52,5,36,0,191,438
46008,"Provencher/Provencher"," 51B","Ile des Chênes",76,21,2,38,5,48,0,190,443
46008,"Provencher/Provencher"," 52","Oak Island Settlement",98,21,9,49,6,41,1,225,456
46008,"Provencher/Provencher"," 53","St. Adolphe",123,17,11,84,9,45,1,290,504
46008,"Provencher/Provencher"," 54","St. Adolphe",77,19,2,54,5,26,2,185,345
46008,"Provencher/Provencher"," 55","St. Adolphe",66,14,6,72,0,36,4,198,393
46008,"Provencher/Provencher"," 56","St. Adolphe",79,11,6,77,3,56,0,232,399
46008,"Provencher/Provencher"," 57","Glenlea",138,16,9,79,5,36,1,284,583
46008,"Provencher/Provencher"," 58","Taché",136,42,8,43,22,32,0,283,507
46008,"Provencher/Provencher"," 59","Landmark",101,33,6,31,16,26,0,213,378
46008,"Provencher/Provencher"," 60","Taché",81,29,1,30,20,22,0,183,342
46008,"Provencher/Provencher"," 61","Linden",97,36,9,24,23,25,0,214,489
46008,"Provencher/Provencher"," 62","Ste. Anne",62,41,5,30,0,21,0,159,489
46008,"Provencher/Provencher"," 63","Ste. Anne",46,21,5,31,4,26,1,134,416
46008,"Provencher/Provencher"," 64","Ste. Anne",84,45,6,44,2,54,1,236,734
46008,"Provencher/Provencher"," 65","Ste. Anne",69,9,3,37,1,32,1,152,397
46008,"Provencher/Provencher"," 66","Ste. Anne",47,28,5,40,2,27,2,151,369
46008,"Provencher/Provencher"," 67","Paradise Village",97,9,4,51,3,27,1,192,332
46008,"Provencher/Provencher"," 68","Ste. Anne",98,35,11,51,9,57,1,262,634
46008,"Provencher/Provencher"," 69","Paradise Village",95,19,3,48,6,32,0,203,421
46008,"Provencher/Provencher"," 70","Falcon Lake",128,7,10,63,1,44,2,255,404
46008,"Provencher/Provencher"," 71","Richer",61,33,6,34,1,33,6,174,357
46008,"Provencher/Provencher"," 72","Richer",136,61,13,61,5,50,2,328,683
46008,"Provencher/Provencher"," 73","Prawda",38,13,2,11,1,12,0,77,181
46008,"Provencher/Provencher"," 74","Niverville",76,25,4,20,9,28,0,162,349
46008,"Provencher/Provencher"," 75","Niverville",81,30,8,33,7,39,3,201,557
46008,"Provencher/Provencher"," 76","Niverville",72,29,6,20,4,30,1,162,406
46008,"Provencher/Provencher"," 77","Niverville",95,22,5,22,4,19,0,167,524
46008,"Provencher/Provencher"," 78","Niverville",77,12,4,51,6,36,0,186,448
46008,"Provencher/Provencher"," 79A","Niverville",102,30,6,31,8,26,1,204,402
46008,"Provencher/Provencher"," 79B","Niverville",71,25,6,29,5,28,3,167,375
46008,"Provencher/Provencher"," 80","Niverville",89,10,4,41,2,29,0,175,443
46008,"Provencher/Provencher"," 81A","Niverville",86,32,5,31,9,19,0,182,382
46008,"Provencher/Provencher"," 81B","Niverville",66,16,2,27,7,33,1,152,351
46008,"Provencher/Provencher"," 82","Blumenort",156,45,0,14,4,19,4,242,477
46008,"Provencher/Provencher"," 83","Blumenort",186,74,3,19,6,33,1,322,569
46008,"Provencher/Provencher"," 84","Ste. Anne",183,60,4,22,14,14,3,300,582
46008,"Provencher/Provencher"," 85","New Bothwell",114,58,6,15,8,14,0,215,395
46008,"Provencher/Provencher"," 86","New Bothwell",170,74,7,35,4,34,4,328,656
46008,"Provencher/Provencher"," 87","Ste. Agathe",103,24,13,83,7,43,0,273,408
46008,"Provencher/Provencher"," 88","Ste. Agathe",98,23,7,75,10,34,3,250,438
46008,"Provencher/Provencher"," 89","Giroux",148,35,10,50,11,27,1,282,581
46008,"Provencher/Provencher"," 90","Hadashville",43,6,8,12,1,5,0,75,236
46008,"Provencher/Provencher"," 91","Randolph",132,55,3,12,12,15,2,231,506
46008,"Provencher/Provencher"," 92","Mitchell",122,45,2,27,8,27,2,233,409
46008,"Provencher/Provencher"," 93","Mitchell",77,38,2,7,4,12,0,140,276
46008,"Provencher/Provencher"," 94","Mitchell",148,42,6,20,6,22,1,245,462
46008,"Provencher/Provencher"," 95","Mitchell",142,61,2,18,5,14,0,242,550
46008,"Provencher/Provencher"," 96","Hanover",144,59,3,14,6,18,3,247,545
46008,"Provencher/Provencher"," 97","Steinbach",107,36,5,37,17,26,1,229,593
46008,"Provencher/Provencher"," 98","Steinbach",131,43,3,15,6,12,1,211,539
46008,"Provencher/Provencher"," 99","Steinbach",79,21,6,18,11,11,3,149,437
46008,"Provencher/Provencher"," 100A","Steinbach",70,4,1,10,20,7,1,113,386
46008,"Provencher/Provencher"," 100B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°512,,,,,,,,41
46008,"Provencher/Provencher"," 100C","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°512,,,,,,,,54
46008,"Provencher/Provencher"," 101","Steinbach",51,17,5,10,4,14,1,102,421
46008,"Provencher/Provencher"," 102","Steinbach",84,27,8,23,16,29,1,188,476
46008,"Provencher/Provencher"," 103","Steinbach",58,30,1,22,8,11,0,130,393
46008,"Provencher/Provencher"," 104","Steinbach",53,37,5,10,4,16,2,127,443
46008,"Provencher/Provencher"," 105","Steinbach",138,36,3,36,22,33,1,269,767
46008,"Provencher/Provencher"," 106","Steinbach",102,17,5,23,25,20,0,192,492
46008,"Provencher/Provencher"," 107","Steinbach",131,62,4,20,21,24,1,263,618
46008,"Provencher/Provencher"," 108","Otterburne",128,28,6,42,10,31,0,245,380
46008,"Provencher/Provencher"," 109","Steinbach",78,28,4,24,4,26,0,164,522
46008,"Provencher/Provencher"," 110","Steinbach",122,35,3,18,10,34,0,222,634
46008,"Provencher/Provencher"," 111","Steinbach",105,34,5,23,10,19,0,196,614
46008,"Provencher/Provencher"," 112","Steinbach",56,17,3,16,2,8,0,102,343
46008,"Provencher/Provencher"," 113","Steinbach",91,20,5,28,14,19,0,177,526
46008,"Provencher/Provencher"," 114","Steinbach",85,39,3,18,6,11,1,163,490
46008,"Provencher/Provencher"," 115","Steinbach",88,37,4,30,18,27,0,204,548
46008,"Provencher/Provencher"," 116","Steinbach",73,18,5,19,12,23,0,150,503
46008,"Provencher/Provencher"," 117","Steinbach",63,11,5,18,6,13,0,116,453
46008,"Provencher/Provencher"," 118","Steinbach",99,41,4,32,11,27,1,215,620
46008,"Provencher/Provencher"," 119","Steinbach",95,49,6,25,7,13,0,195,542
46008,"Provencher/Provencher"," 120","Steinbach",68,34,3,24,11,8,1,149,526
46008,"Provencher/Provencher"," 121","Kleefeld",181,63,3,14,10,24,0,295,561
46008,"Provencher/Provencher"," 122","Hochstadt",130,43,8,14,8,12,2,217,460
46008,"Provencher/Provencher"," 123","Hochstadt",183,82,9,42,8,29,2,355,667
46008,"Provencher/Provencher"," 124","La Broquerie",107,45,11,76,8,21,0,268,552
46008,"Provencher/Provencher"," 125","La Broquerie",69,31,7,45,5,35,1,193,416
46008,"Provencher/Provencher"," 126","La Broquerie",97,66,4,27,8,10,0,212,543
46008,"Provencher/Provencher"," 127","La Broquerie",112,62,17,38,6,14,3,252,497
46008,"Provencher/Provencher"," 128","Bristol",140,45,1,10,5,17,1,219,442
46008,"Provencher/Provencher"," 129","Friedensfeld",137,48,3,20,19,12,1,240,482
46008,"Provencher/Provencher"," 130","Rat River Settlement",97,35,10,49,6,24,2,223,497
46008,"Provencher/Provencher"," 131","St-Pierre-Jolys",83,41,9,74,5,51,0,263,411
46008,"Provencher/Provencher"," 132","St-Pierre-Jolys",76,42,11,64,6,45,0,244,411
46008,"Provencher/Provencher"," 133A","Marchand",79,75,4,21,4,19,3,205,344
46008,"Provencher/Provencher"," 133B","Marchand",90,72,4,16,2,22,1,207,358
