Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Leslie Bory,Larry Brock,Karleigh Csordas,Alison Macdonald,Adrienne Roberts,Cole Squire,John The Engineer Turmel,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35013,"Brantford--Brant/Brantford--Brant"," 167","Brantford",1,48,4,36,65,21,1,0,176,463
35013,"Brantford--Brant/Brantford--Brant"," 168","Brantford",0,89,8,83,69,26,0,2,277,494
35013,"Brantford--Brant/Brantford--Brant"," 169","Brantford",1,86,14,45,41,27,0,0,214,542
35013,"Brantford--Brant/Brantford--Brant"," 170","Brantford",0,74,5,51,41,13,0,0,184,464
35013,"Brantford--Brant/Brantford--Brant"," 171","Brantford",0,57,10,32,46,32,0,0,177,567
35013,"Brantford--Brant/Brantford--Brant"," 172","Brantford",1,94,8,69,94,27,0,1,294,545
35013,"Brantford--Brant/Brantford--Brant"," 173","Brantford",0,122,6,80,48,14,1,0,271,532
35013,"Brantford--Brant/Brantford--Brant"," 174","Brant",0,146,7,83,31,12,1,0,280,645
35013,"Brantford--Brant/Brantford--Brant"," 175","Brantford",0,93,1,79,39,10,2,0,224,502
35013,"Brantford--Brant/Brantford--Brant"," 176","Brantford",1,107,5,75,44,5,0,3,240,506
35013,"Brantford--Brant/Brantford--Brant"," 177","Brantford",1,38,3,59,50,14,0,0,165,476
35013,"Brantford--Brant/Brantford--Brant"," 178","Brantford",0,90,7,72,64,11,0,0,244,556
35013,"Brantford--Brant/Brantford--Brant"," 179","Brantford",1,83,8,50,34,17,0,0,193,486
35013,"Brantford--Brant/Brantford--Brant"," 180","Brantford",0,79,4,71,38,20,0,0,212,597
35013,"Brantford--Brant/Brantford--Brant"," 181","Brantford",0,87,6,129,54,14,0,3,293,724
35013,"Brantford--Brant/Brantford--Brant"," 182","Brantford",0,89,3,133,42,19,1,7,294,872
35013,"Brantford--Brant/Brantford--Brant"," 183","Brant",1,72,11,54,29,8,0,0,175,510
35013,"Brantford--Brant/Brantford--Brant"," 184","Brant",1,142,7,46,24,21,1,0,242,478
35013,"Brantford--Brant/Brantford--Brant"," 185","Brant",0,128,7,44,51,19,0,0,249,486
35013,"Brantford--Brant/Brantford--Brant"," 186","Brant",1,168,12,49,55,14,0,1,300,493
35013,"Brantford--Brant/Brantford--Brant"," 187","Brant",1,114,9,53,40,12,2,2,233,484
35013,"Brantford--Brant/Brantford--Brant"," 188","Six Nations 40",Merged with No./Fusionné avec le n°189,,,,,,,,,1031
35013,"Brantford--Brant/Brantford--Brant"," 189","Six Nations 40",0,9,3,47,54,8,1,1,123,1420
35013,"Brantford--Brant/Brantford--Brant"," 190","Six Nations 40",0,19,0,33,64,12,0,0,128,974
35013,"Brantford--Brant/Brantford--Brant"," 191","Six Nations 40",Merged with No./Fusionné avec le n°190,,,,,,,,,931
35013,"Brantford--Brant/Brantford--Brant"," 192","Brant",0,140,6,60,28,24,0,3,261,588
35013,"Brantford--Brant/Brantford--Brant"," 193","Brant",0,118,8,80,35,21,1,1,264,645
35013,"Brantford--Brant/Brantford--Brant"," 194","Brant",2,126,10,56,33,30,1,0,258,682
35013,"Brantford--Brant/Brantford--Brant"," 195","Brant",1,151,13,52,31,16,0,1,265,552
35013,"Brantford--Brant/Brantford--Brant"," 196","Brant",0,131,6,64,46,26,3,2,278,447
