Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Jason Henry,Jeremy Hull,Kevin Mitchell,Sudit Ranade,Lianne Rood,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35048,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 93","Strathroy-Caradoc",56,3,29,37,71,0,196,495
35048,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 94","Strathroy-Caradoc",40,3,15,25,73,1,157,466
35048,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 95","Strathroy-Caradoc",25,2,13,26,69,1,136,467
35048,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 96","Strathroy-Caradoc",39,3,18,28,61,1,150,389
35048,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 97","Strathroy-Caradoc",40,4,14,32,77,0,167,370
35048,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 98","Strathroy-Caradoc",43,6,19,50,57,1,176,436
35048,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 99","Strathroy-Caradoc",21,1,8,32,50,0,112,284
35048,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 100","Strathroy-Caradoc",45,6,21,42,46,0,160,433
35048,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 101","Strathroy-Caradoc",9,1,4,17,62,2,95,281
35048,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 102","Strathroy-Caradoc",46,0,14,32,39,1,132,444
35048,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 103","Strathroy-Caradoc",45,6,20,38,64,2,175,448
35048,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 104","Strathroy-Caradoc",54,1,18,31,77,4,185,447
35048,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 105","Strathroy-Caradoc",38,4,12,50,67,2,173,450
35048,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 106","Strathroy-Caradoc",53,3,13,37,71,1,178,416
35048,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 107","Strathroy-Caradoc",40,1,24,24,42,0,131,360
35048,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 108","Strathroy-Caradoc",41,3,12,29,61,1,147,387
35048,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 109","Strathroy",62,9,29,57,111,5,273,603
35048,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 110","Strathroy",32,1,19,32,58,0,142,440
35048,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 111","Warwick",40,3,44,49,184,1,321,328
35048,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 112","Warwick",Merged with No./Fusionné avec le n°111,,,,,,,329
35048,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 113","Watford",75,4,56,65,144,3,347,778
35048,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 114","Warwick",24,3,41,28,101,0,197,415
35048,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 115","Watford",44,3,28,27,82,3,187,490
35048,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 116","Warwick",25,3,29,21,104,0,182,383
35048,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 117","Mount Brydges",46,2,19,29,113,0,209,498
35048,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 118","Mount Brydges",38,2,14,41,68,0,163,444
35048,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 119","Mount Brydges",54,4,26,58,105,2,249,748
35048,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 120","Mount Brydges",34,2,13,30,65,0,144,383
35048,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 121","Mount Brydges",32,2,11,40,63,0,148,371
35048,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 122","Mount Brydges",46,7,12,46,84,1,196,520
35048,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 123","Mount Brydges",45,6,20,47,101,0,219,501
35048,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 124A","Adelaide-Metcalfe",26,1,22,28,78,1,156,381
35048,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 124B","Mobile poll/Bureau itinérant",7,1,2,18,34,2,64,119
35048,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 125","Strathroy-Caradoc",38,3,26,37,68,1,173,458
35048,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 126","Strathroy-Caradoc",40,3,19,49,98,4,213,475
35048,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 127","Adelaide-Metcalfe",32,1,20,39,106,4,202,494
35048,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 128","Delaware",32,2,8,44,62,0,148,333
35048,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 129","Delaware",39,6,10,35,75,1,166,404
35048,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 130A","Delaware",32,8,15,51,87,2,195,391
35048,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 130B","Mobile poll/Bureau itinérant",4,3,4,3,15,0,29,35
35048,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 131","Delaware",34,4,9,49,77,0,173,407
35048,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 132","Delaware West",37,8,6,35,63,0,149,333
35048,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 133","Middlesex Centre",13,2,24,35,83,1,158,348
35048,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 134","Mount Brydges",49,3,26,28,76,2,184,580
35048,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 135","Oneida 41",94,1,9,11,3,0,118,937
35048,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 136","Chippewas of the Thames First Nation 42",43,4,32,17,103,1,200,497
35048,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 137","Chippewas of the Thames First Nation 42",70,2,1,8,4,0,85,248
35048,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 138","Southwest Middlesex",36,15,30,29,100,1,211,502
35048,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 139","Muncee-Delaware Nation 1",21,0,3,2,0,0,26,82
35048,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 140","Southwest Middlesex",65,7,31,38,132,2,275,452
35048,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 141","Brooke-Alvinston",59,4,36,50,113,1,263,426
35048,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 142","Brooke-Alvinston",56,6,23,34,115,0,234,447
35048,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 143","Brooke-Alvinston",28,3,24,32,114,2,203,412
35048,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 144","Brooke-Alvinston",49,7,34,39,120,1,250,446
35048,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 145","Southwest Middlesex",36,3,17,28,95,1,180,424
35048,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 146","Glencoe",35,6,15,23,82,3,164,421
35048,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 147","Ekfrid",32,3,21,31,85,0,172,446
35048,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 148","Glencoe",32,8,20,47,56,0,163,460
35048,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 149","Glencoe",49,4,21,41,65,0,180,486
35048,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 150","Glencoe",36,11,31,43,87,2,210,470
35048,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 151","Southwest Middlesex",34,7,25,19,76,0,161,423
35048,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 152","Newbury",49,3,55,39,100,2,248,463
35048,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 153","Wardsville",44,13,48,36,118,2,261,497
35048,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 154","Dawn-Euphemia",30,1,24,21,123,1,200,358
35048,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 155","Dawn-Euphemia",17,2,43,19,129,3,213,480
35048,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 156","Dawn-Euphemia",26,0,31,24,71,4,156,346
35048,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 157","Dawn-Euphemia",28,3,45,26,113,8,223,390
35048,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 158","Chatham-Kent",32,1,43,27,90,1,194,362
35048,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 159","Chatham-Kent",36,1,25,31,93,1,187,412
35048,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 160","Dawn-Euphemia",47,1,53,32,100,1,234,398
35048,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 161","Chatham-Kent",38,1,21,15,68,0,143,415
35048,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 162","Chatham-Kent",22,3,26,35,98,0,184,523
35048,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 163","Chatham-Kent",32,2,23,26,71,1,155,443
35048,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 164","Chatham-Kent",Merged with No./Fusionné avec le n°160,,,,,,,360
35048,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 165","Chatham-Kent",46,2,25,25,69,0,167,432
35048,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 166","Chatham-Kent",24,2,28,32,80,1,167,503
35048,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 167","Chatham-Kent",19,3,25,31,94,0,172,466
35048,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 168","Chatham-Kent",19,1,32,37,105,2,196,463
35048,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 169","Chatham-Kent",17,5,14,28,68,0,132,389
35048,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 170","Chatham-Kent",35,3,22,27,77,0,164,410
35048,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 171","Chatham-Kent",13,1,18,23,75,0,130,342
35048,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 172","Chatham-Kent",24,3,20,9,55,0,111,339
35048,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 173","Chatham-Kent",13,4,37,20,95,0,169,423
35048,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 174","Chatham-Kent",45,2,36,64,112,4,263,323
35048,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 175","Chatham-Kent",29,5,27,52,125,3,241,434
35048,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 176","Chatham-Kent",42,2,24,23,98,1,190,392
35048,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 177","Chatham-Kent",30,3,15,31,51,2,132,418
35048,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 178","Chatham-Kent",12,1,16,19,68,2,118,327
35048,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 179","Chatham-Kent",28,3,20,31,85,1,168,343
35048,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 180","Chatham-Kent",Merged with No./Fusionné avec le n°174,,,,,,,309
35048,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 181","Chatham-Kent",28,0,28,13,41,2,112,329
