Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Glenn Etchegary,Dana Metcalfe,Mary Shortall,Joanne Thompson,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
10006,"St. John's East/St. John's-Est"," 140","Portugal Cove-St. Philip's",104,7,62,124,0,297,460
10006,"St. John's East/St. John's-Est"," 141","Portugal Cove-St. Philip's",60,4,89,84,0,237,355
10006,"St. John's East/St. John's-Est"," 142","Portugal Cove-St. Philip's",Merged with No./Fusionné avec le n°140,,,,,,414
10006,"St. John's East/St. John's-Est"," 143","Portugal Cove-St. Philip's",Merged with No./Fusionné avec le n°141,,,,,,323
10006,"St. John's East/St. John's-Est"," 144","Paradise",20,2,47,62,1,132,439
10006,"St. John's East/St. John's-Est"," 145","Paradise",61,0,53,81,1,196,642
10006,"St. John's East/St. John's-Est"," 146","Paradise",42,4,29,39,0,114,361
10006,"St. John's East/St. John's-Est"," 147","Paradise",16,0,44,66,0,126,386
10006,"St. John's East/St. John's-Est"," 148","Paradise",24,3,48,52,1,128,385
10006,"St. John's East/St. John's-Est"," 149","Paradise",26,5,39,48,3,121,336
10006,"St. John's East/St. John's-Est"," 150","Paradise",18,1,31,15,0,65,312
10006,"St. John's East/St. John's-Est"," 151","Paradise",31,2,34,42,1,110,424
10006,"St. John's East/St. John's-Est"," 152","Paradise",26,2,43,67,1,139,376
10006,"St. John's East/St. John's-Est"," 153","Wabana",16,9,21,8,1,55,263
10006,"St. John's East/St. John's-Est"," 154","Wabana",34,4,13,17,2,70,308
10006,"St. John's East/St. John's-Est"," 155","Freshwater",31,4,9,20,0,64,271
10006,"St. John's East/St. John's-Est"," 156","Paradise",29,2,41,91,1,164,540
10006,"St. John's East/St. John's-Est"," 157","Paradise",39,0,61,96,1,197,575
10006,"St. John's East/St. John's-Est"," 158","St. John's",34,5,40,75,0,154,499
10006,"St. John's East/St. John's-Est"," 500","Mobile poll/Bureau itinérant",8,2,7,22,1,40,67
10006,"St. John's East/St. John's-Est"," 501","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°40,,,,,,179
10006,"St. John's East/St. John's-Est"," 502","Mobile poll/Bureau itinérant",17,4,8,28,4,61,173
10006,"St. John's East/St. John's-Est"," 503","Mobile poll/Bureau itinérant",13,2,2,22,1,40,71
10006,"St. John's East/St. John's-Est"," 504","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°68,,,,,,168
10006,"St. John's East/St. John's-Est"," 505","Mobile poll/Bureau itinérant",1,0,8,11,0,20,61
10006,"St. John's East/St. John's-Est"," 506","Mobile poll/Bureau itinérant",2,0,4,15,1,22,47
10006,"St. John's East/St. John's-Est"," 507","Mobile poll/Bureau itinérant",7,0,10,20,1,38,58
10006,"St. John's East/St. John's-Est"," 508","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°97,,,,,,111
10006,"St. John's East/St. John's-Est"," 509","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°103,,,,,,26
10006,"St. John's East/St. John's-Est"," 600","Pouch Cove",98,7,71,107,6,289,
10006,"St. John's East/St. John's-Est"," 601","Bauline--Flatrock--Torbay",67,2,78,90,10,247,
10006,"St. John's East/St. John's-Est"," 602","Torbay",116,10,161,224,1,512,
10006,"St. John's East/St. John's-Est"," 603","Logy Bay-Middle Cove-Outer Cove--Torbay",108,4,135,243,0,490,
10006,"St. John's East/St. John's-Est"," 604","St. John's",70,5,201,311,0,587,
10006,"St. John's East/St. John's-Est"," 605","St. John's",63,15,352,252,11,693,
10006,"St. John's East/St. John's-Est"," 606","St. John's",102,7,264,318,7,698,
10006,"St. John's East/St. John's-Est"," 607","St. John's",139,7,260,508,15,929,
