Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Florence Gagnon,Manon Girard,Simon King,Jacinthe Lafrenaye,Mildred Murray,Boukare Tall,Denis Trudel,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 515","Mobile poll/Bureau itinérant",Results combined with no. 158/Résultats combinés au n° 158,,,,,,,,,16
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 516","Longueuil",Merged with No./Fusionné avec le n°7,,,,,,,,,69
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 600","Longueuil",342,21,26,3,57,61,574,18,1102,
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 601","Longueuil",518,15,27,2,67,104,555,10,1298,
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 602","Longueuil",645,25,26,9,63,120,835,15,1738,
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 603","Longueuil",331,1,7,0,24,73,321,3,760,
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 604","Longueuil",443,26,24,3,72,97,660,23,1348,
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 605","Longueuil",224,9,8,1,19,40,241,11,553,
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 606","Longueuil",379,14,28,4,93,59,628,26,1231,
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 607","Longueuil",465,26,26,5,75,63,641,23,1324,
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 608","Longueuil",277,14,30,4,41,66,396,15,843,
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 609","Longueuil",297,19,35,6,85,48,535,19,1044,
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 610","Longueuil",295,15,22,4,32,60,370,12,810,
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 611","Longueuil",365,30,25,3,57,58,449,20,1007,
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 612","Longueuil",273,10,11,3,57,72,434,13,873,
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 613","Longueuil",314,11,21,0,46,55,343,14,804,
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 614","Longueuil",220,20,16,0,36,41,238,1,572,
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 615","Longueuil",529,26,29,7,61,116,718,20,1506,
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 616","Longueuil",563,34,26,6,79,132,704,21,1565,
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 617","Longueuil",559,30,23,4,74,112,671,40,1513,
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 618","Longueuil",323,17,17,0,28,51,419,7,862,
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 619","Longueuil",251,12,13,2,25,36,346,6,691,
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 620","Longueuil",213,17,11,3,37,34,196,11,522,
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 621","Longueuil",284,14,13,1,33,31,269,11,656,
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert"," 622","Longueuil",294,17,17,2,46,83,395,13,867,
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert",,Group 1/Groupe 1, 156,7,18,2,27,47,150,30,437,97
24043,"Longueuil--Saint-Hubert/Longueuil--Saint-Hubert",,Group 2/Groupe 2, 712,20,38,2,115,141,810,70,1908,
