Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Jordan Craig Larouche,Emma Elbourne-Weinstock,Sam Fairbrother,David Freiheit,Marc Garneau,Rachel Hoffman,Mathew Kaminski,Geofryde Wandji,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24053,"Notre-Dame-de-Grâce--Westmount/Notre-Dame-de-Grâce--Westmount"," 605","Montréal",98,143,32,36,493,3,98,0,11,914,
24053,"Notre-Dame-de-Grâce--Westmount/Notre-Dame-de-Grâce--Westmount"," 606","Montréal",62,208,31,19,374,0,100,1,6,801,
24053,"Notre-Dame-de-Grâce--Westmount/Notre-Dame-de-Grâce--Westmount"," 607","Montréal",62,235,34,21,403,1,58,0,0,814,
24053,"Notre-Dame-de-Grâce--Westmount/Notre-Dame-de-Grâce--Westmount"," 608","Montréal",147,260,36,22,667,0,125,1,5,1263,
24053,"Notre-Dame-de-Grâce--Westmount/Notre-Dame-de-Grâce--Westmount"," 609","Montréal",46,198,30,28,409,5,64,0,3,783,
24053,"Notre-Dame-de-Grâce--Westmount/Notre-Dame-de-Grâce--Westmount"," 610","Montréal",86,194,32,29,613,2,104,1,12,1073,
24053,"Notre-Dame-de-Grâce--Westmount/Notre-Dame-de-Grâce--Westmount"," 611","Montréal",12,89,18,27,331,5,55,0,2,539,
24053,"Notre-Dame-de-Grâce--Westmount/Notre-Dame-de-Grâce--Westmount"," 612","Montréal",34,96,19,5,325,2,67,0,3,551,
24053,"Notre-Dame-de-Grâce--Westmount/Notre-Dame-de-Grâce--Westmount"," 613","Montréal",51,218,35,37,622,4,107,0,10,1084,
24053,"Notre-Dame-de-Grâce--Westmount/Notre-Dame-de-Grâce--Westmount"," 614","Montréal",50,189,39,34,754,1,153,0,5,1225,
24053,"Notre-Dame-de-Grâce--Westmount/Notre-Dame-de-Grâce--Westmount"," 615","Montréal-Ouest",15,78,24,16,254,1,81,1,2,472,
24053,"Notre-Dame-de-Grâce--Westmount/Notre-Dame-de-Grâce--Westmount"," 616","Montréal-Ouest",6,51,16,5,240,0,89,0,2,409,
24053,"Notre-Dame-de-Grâce--Westmount/Notre-Dame-de-Grâce--Westmount"," 617","Montréal",36,126,31,22,346,1,59,0,2,623,
24053,"Notre-Dame-de-Grâce--Westmount/Notre-Dame-de-Grâce--Westmount",,Group 1/Groupe 1, 32,177,26,24,420,1,70,1,39,790,629
24053,"Notre-Dame-de-Grâce--Westmount/Notre-Dame-de-Grâce--Westmount",,Group 2/Groupe 2, 108,437,88,23,1460,5,318,3,55,2497,
