Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Madelaine Dwyer,Doug Eyolfson,Marty Morantz,Vanessa Parks,Angela Van Hussen,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
46002,"Charleswood--St. James--Assiniboia--Headingley/Charleswood--St. James--Assiniboia--Headingley"," 607","Winnipeg",69,384,264,17,29,2,765,
46002,"Charleswood--St. James--Assiniboia--Headingley/Charleswood--St. James--Assiniboia--Headingley"," 608","Winnipeg",86,398,398,30,19,2,933,
46002,"Charleswood--St. James--Assiniboia--Headingley/Charleswood--St. James--Assiniboia--Headingley"," 609","Winnipeg",72,410,512,16,27,2,1039,
46002,"Charleswood--St. James--Assiniboia--Headingley/Charleswood--St. James--Assiniboia--Headingley"," 610","Winnipeg",175,644,685,20,47,7,1578,
46002,"Charleswood--St. James--Assiniboia--Headingley/Charleswood--St. James--Assiniboia--Headingley"," 611","Winnipeg",182,761,813,25,47,7,1835,
46002,"Charleswood--St. James--Assiniboia--Headingley/Charleswood--St. James--Assiniboia--Headingley"," 612","Winnipeg",36,126,361,2,23,1,549,
46002,"Charleswood--St. James--Assiniboia--Headingley/Charleswood--St. James--Assiniboia--Headingley"," 613","Winnipeg",140,483,550,30,43,1,1247,
46002,"Charleswood--St. James--Assiniboia--Headingley/Charleswood--St. James--Assiniboia--Headingley"," 614","Winnipeg",125,565,719,19,64,13,1505,
46002,"Charleswood--St. James--Assiniboia--Headingley/Charleswood--St. James--Assiniboia--Headingley"," 615","Winnipeg",117,577,564,19,30,6,1313,
46002,"Charleswood--St. James--Assiniboia--Headingley/Charleswood--St. James--Assiniboia--Headingley",,Group 1/Groupe 1, 91,170,243,19,18,22,563,166
46002,"Charleswood--St. James--Assiniboia--Headingley/Charleswood--St. James--Assiniboia--Headingley",,Group 2/Groupe 2, 299,1339,1202,39,62,95,3036,
