Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Arshad Awan,Mark Holland,Monique Hughes,Leigh Paulseth,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35001,"Ajax/Ajax"," 65","Ajax",75,143,49,6,3,276,404
35001,"Ajax/Ajax"," 66","Ajax",Merged with No./Fusionné avec le n°65,,,,,,377
35001,"Ajax/Ajax"," 67","Ajax",42,173,32,2,1,250,403
35001,"Ajax/Ajax"," 68","Ajax",Merged with No./Fusionné avec le n°67,,,,,,356
35001,"Ajax/Ajax"," 69","Ajax",Merged with No./Fusionné avec le n°71,,,,,,400
35001,"Ajax/Ajax"," 70","Ajax",71,120,33,4,5,233,591
35001,"Ajax/Ajax"," 71","Ajax",77,171,53,10,1,312,504
35001,"Ajax/Ajax"," 72","Ajax",56,80,36,3,0,175,510
35001,"Ajax/Ajax"," 73","Ajax",74,182,49,10,7,322,469
35001,"Ajax/Ajax"," 74","Ajax",Merged with No./Fusionné avec le n°73,,,,,,451
35001,"Ajax/Ajax"," 75","Ajax",98,200,75,12,2,387,517
35001,"Ajax/Ajax"," 76","Ajax",Merged with No./Fusionné avec le n°75,,,,,,490
35001,"Ajax/Ajax"," 77","Ajax",47,163,58,3,0,271,508
35001,"Ajax/Ajax"," 78","Ajax",Merged with No./Fusionné avec le n°77,,,,,,416
35001,"Ajax/Ajax"," 79","Ajax",52,125,44,3,1,225,523
35001,"Ajax/Ajax"," 80","Ajax",Merged with No./Fusionné avec le n°47,,,,,,405
35001,"Ajax/Ajax"," 81","Ajax",Merged with No./Fusionné avec le n°79,,,,,,485
35001,"Ajax/Ajax"," 82","Ajax",78,179,63,14,9,343,513
35001,"Ajax/Ajax"," 83","Ajax",Merged with No./Fusionné avec le n°82,,,,,,400
35001,"Ajax/Ajax"," 84","Ajax",Merged with No./Fusionné avec le n°85,,,,,,479
35001,"Ajax/Ajax"," 85","Ajax",65,207,64,13,7,356,527
35001,"Ajax/Ajax"," 86","Ajax",79,149,46,6,3,283,471
35001,"Ajax/Ajax"," 87","Ajax",Merged with No./Fusionné avec le n°86,,,,,,448
35001,"Ajax/Ajax"," 88","Ajax",92,162,49,4,10,317,510
35001,"Ajax/Ajax"," 89","Ajax",Merged with No./Fusionné avec le n°88,,,,,,481
35001,"Ajax/Ajax"," 90","Ajax",86,168,53,9,4,320,551
35001,"Ajax/Ajax"," 91","Ajax",Merged with No./Fusionné avec le n°90,,,,,,541
35001,"Ajax/Ajax"," 92","Ajax",Merged with No./Fusionné avec le n°107,,,,,,441
35001,"Ajax/Ajax"," 93","Ajax",Merged with No./Fusionné avec le n°94,,,,,,466
35001,"Ajax/Ajax"," 94","Ajax",80,192,59,7,0,338,467
35001,"Ajax/Ajax"," 95","Ajax",Merged with No./Fusionné avec le n°96,,,,,,505
35001,"Ajax/Ajax"," 96","Ajax",104,224,57,17,1,403,523
35001,"Ajax/Ajax"," 97","Ajax",101,190,53,9,5,358,518
35001,"Ajax/Ajax"," 98","Ajax",31,125,39,1,5,201,586
35001,"Ajax/Ajax"," 99","Ajax",Merged with No./Fusionné avec le n°97,,,,,,467
35001,"Ajax/Ajax"," 100","Ajax",Merged with No./Fusionné avec le n°101,,,,,,407
35001,"Ajax/Ajax"," 101","Ajax",83,169,46,3,2,303,414
35001,"Ajax/Ajax"," 102","Ajax",88,166,59,3,0,316,526
35001,"Ajax/Ajax"," 103","Ajax",Merged with No./Fusionné avec le n°102,,,,,,414
35001,"Ajax/Ajax"," 104","Ajax",Merged with No./Fusionné avec le n°105,,,,,,450
35001,"Ajax/Ajax"," 105","Ajax",96,199,77,11,5,388,552
35001,"Ajax/Ajax"," 106","Ajax",46,120,23,4,2,195,526
35001,"Ajax/Ajax"," 107","Ajax",100,195,50,13,6,364,517
35001,"Ajax/Ajax"," 108","Ajax",69,117,28,4,0,218,559
35001,"Ajax/Ajax"," 109","Ajax",94,179,47,18,0,338,524
35001,"Ajax/Ajax"," 110","Ajax",Merged with No./Fusionné avec le n°109,,,,,,502
35001,"Ajax/Ajax"," 111","Ajax",138,224,44,10,2,418,528
35001,"Ajax/Ajax"," 112","Ajax",Merged with No./Fusionné avec le n°111,,,,,,461
