Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Xavier Barsalou-Duval,Alexandre Blais,Laurent de Casanove,Jean-François Filion,Vincent Kunda,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24055,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 602","Saint-Denis-sur-Richelieu--Saint-Charles-sur-Richelieu",447,8,322,15,76,9,877,
24055,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 603","Saint-Mathieu-de-Beloeil",451,7,429,21,138,9,1055,
24055,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 604","Saint-Amable",454,7,342,23,169,13,1008,
24055,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 605","Saint-Amable",557,10,321,27,166,6,1087,
24055,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 606","Verchères",809,15,353,18,110,20,1325,
24055,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 607","Varennes",795,4,539,21,113,10,1482,
24055,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 608","Varennes",779,13,603,30,126,11,1562,
24055,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 609","Varennes",811,3,612,31,151,15,1623,
24055,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 610","Boucherville",620,10,654,36,72,12,1404,
24055,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 611","Boucherville",560,4,567,27,93,58,1309,
24055,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 612","Boucherville",558,4,614,24,81,6,1287,
24055,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 613","Boucherville",771,7,1030,26,128,15,1977,
24055,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 614","Boucherville",759,16,1248,35,150,15,2223,
24055,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 615","Boucherville",506,7,931,24,149,11,1628,
24055,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères"," 616","Boucherville",522,5,870,24,124,10,1555,
24055,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères",,Group 1/Groupe 1, 229,3,275,36,65,38,646,120
24055,"Pierre-Boucher--Les Patriotes--Verchères/Pierre-Boucher--Les Patriotes--Verchères",,Group 2/Groupe 2, 474,2,546,21,96,15,1154,
