Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Division Number/Numéro de section de vote,Polling Division Name/Nom de section de vote,Sat Anand,Amandeep Judge,Ruby Sahota,Ruby Zaman,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35012,"Brampton North--Caledon/Brampton-Nord--Caledon"," 133","Caledon",5,144,100,7,5,261,639
35012,"Brampton North--Caledon/Brampton-Nord--Caledon"," 500","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°501,,,,,,70
35012,"Brampton North--Caledon/Brampton-Nord--Caledon"," 501","Mobile poll/Bureau itinérant",2,19,39,2,2,64,85
35012,"Brampton North--Caledon/Brampton-Nord--Caledon"," 502","Mobile poll/Bureau itinérant",1,39,43,2,5,90,103
35012,"Brampton North--Caledon/Brampton-Nord--Caledon"," 503","Mobile poll/Bureau itinérant",4,20,36,6,4,70,108
35012,"Brampton North--Caledon/Brampton-Nord--Caledon"," 504","Mobile poll/Bureau itinérant",Combined with No./Résultats combinés à ceux du n°503,,,,,,45
35012,"Brampton North--Caledon/Brampton-Nord--Caledon"," 600","Caledon",18,683,590,30,0,1321,
35012,"Brampton North--Caledon/Brampton-Nord--Caledon"," 601","Brampton",15,550,663,14,7,1249,
35012,"Brampton North--Caledon/Brampton-Nord--Caledon"," 602","Brampton",18,761,932,44,9,1764,
35012,"Brampton North--Caledon/Brampton-Nord--Caledon"," 603","Brampton",18,786,1133,33,10,1980,
35012,"Brampton North--Caledon/Brampton-Nord--Caledon"," 604","Brampton",13,522,724,26,3,1288,
35012,"Brampton North--Caledon/Brampton-Nord--Caledon"," 605","Brampton",15,440,617,26,6,1104,
35012,"Brampton North--Caledon/Brampton-Nord--Caledon"," 606","Brampton",14,560,851,27,24,1476,
35012,"Brampton North--Caledon/Brampton-Nord--Caledon"," 607","Brampton",20,626,651,32,2,1331,
35012,"Brampton North--Caledon/Brampton-Nord--Caledon"," 608","Brampton",8,650,658,18,13,1347,
35012,"Brampton North--Caledon/Brampton-Nord--Caledon"," 609","Caledon",6,129,161,63,0,359,
35012,"Brampton North--Caledon/Brampton-Nord--Caledon"," 610","Caledon",12,520,523,22,5,1082,
35012,"Brampton North--Caledon/Brampton-Nord--Caledon"," 611","Caledon",19,998,848,24,15,1904,
35012,"Brampton North--Caledon/Brampton-Nord--Caledon"," 612","Caledon",14,730,522,24,2,1292,
35012,"Brampton North--Caledon/Brampton-Nord--Caledon",,Group 1/Groupe 1, 4,223,336,16,32,611,166
35012,"Brampton North--Caledon/Brampton-Nord--Caledon",,Group 2/Groupe 2, 7,270,389,11,18,695,
